Partner,Value
Afghanistan,43738.700734421
Albania,1856.059544702
Algeria,553211.889413909
Angola,14490.690366988
Argentina,1064251.977013995
Armenia,471.666296233
Aruba,21909.744037665
Australia,526546.768321277
Austria,283569.39757773
Azerbaijan,6554.270390481
Bahrain,862591.714947039
Bangladesh,258590.959937893
Belarus,4886.065814806
Belgium,779189.0425029041
Benin,587.3409684119999
Bolivia,1300.701681598
Bosnia and Herzegovina,10008.231679192999
Brazil,1600157.469835815
Brunei,68.495789032
Bulgaria,125154.26008520601
Burkina Faso,1018.811481556
Burundi,261.138083008
Cambodia,11439.878458712
Cameroon,9737.133030713001
Canada,621869.6136911829
Chad,7413.249444106
Chile,50947.344501757005
China,15572015.695474721
Colombia,72338.616599557
"Congo, Dem. Rep.",20.25352538
"Congo, Rep.",1306.7115420149998
Costa Rica,8730.953946176
Cote d'Ivoire,8357.211614168998
Croatia,48676.06656
Cuba,268.611324014
Cyprus,66411.92943946
Czech Republic,168262.68744783298
Denmark,367710.050458531
Djibouti,9211.238554078
Dominica,4400.836135443
Ecuador,28098.407309115002
"Egypt, Arab Rep.",4105391.1128361784
El Salvador,2022.4088754099998
Eritrea,22.535216
Estonia,12256.250461136
Ethiopia(excludes Eritrea),117947.398008385
Fiji,264.387379465
Finland,322487.374764588
France,1914867.872544704
Free Zones,5618212.016443992
Gabon,717.4832492630001
"Gambia, The",1674.02852056
Georgia,3214.59222436
Germany,3866592.934519557
Ghana,12309.027937007999
Greece,281717.039442256
Guatemala,118460.786848591
Guinea,5586.301173123
Haiti,7285.105755224
Honduras,3505.8415812969997
"Hong Kong, China",115914.468004005
Hungary,144540.66979015397
Iceland,1768.673610858
India,6956855.396150595
Indonesia,1089991.8232644321
"Iran, Islamic Rep.",191968.964257136
Iraq,3116328.367104876
Ireland,401570.42094948905
Israel,577330.240957635
Italy,2846415.4357752847
Jamaica,1024.617116578
Japan,2045975.881767521
Kazakhstan,2197.138489568
Kenya,95995.483539329
"Korea, Rep.",1911091.375976992
Kuwait,1495674.523950739
Kyrgyz Republic,7346.932528771
Lao PDR,96.02818918
Latvia,9116.899097647
Lebanon,1051523.281383223
Liberia,2101.973680851
Libya,210290.286414472
Lithuania,9785.990787452
Luxembourg,53269.883017659
"Macedonia, FYR",2181.122993247
Madagascar,1482.360874676
Malawi,12858.098474848
Malaysia,669290.216607254
Maldives,1043.515712096
Mali,2839.4315821960004
Malta,10878.313552050999
Mauritania,9656.027379878
Mauritius,2898.335819918
Mexico,1013161.2155807121
Moldova,6868.976090372001
Mongolia,536.936732475
Morocco,137656.572569846
Mozambique,50782.955734841
Myanmar,2222.3230018990002
Namibia,1169.6819357739998
Nepal,2069.98635019
Netherlands,1244752.567031787
New Zealand,256321.25946125604
Nicaragua,13694.316960312999
Niger,425.570511905
Nigeria,36326.017487617
Norway,36729.907713279004
Occ.Pal.Terr,927760.0962380299
Oman,440981.946127316
"Other Asia, nes",1632095.731472426
Pakistan,213328.632122947
Panama,19032.977236361003
Papua New Guinea,7554.486093484
Paraguay,4943.17005215
Peru,14458.726979994
Philippines,58257.374205877
Poland,518619.258205796
Portugal,197580.67811165197
Qatar,612947.982240176
Romania,1303670.73855953
Russian Federation,961413.49767144
Rwanda,7584.204409583999
Saudi Arabia,16655168.618711434
Senegal,2717.807612993
"Serbia, FR(Serbia/Montenegro)",16091.209012956
Sierra Leone,2777.35269592
Singapore,697455.218296551
Slovak Republic,72450.150425796
Slovenia,33749.416946531
Somalia,19408.001258778
South Africa,256605.266563151
South Sudan,1259.753785675
Spain,1640464.319145322
Sri Lanka,158583.00372495898
St. Vincent and the Grenadines,315616.590223132
Sudan,495561.292800244
Sweden,302647.53820385697
Switzerland,619294.193432035
Syrian Arab Republic,602741.3998151041
Tajikistan,1714.7285291070002
Tanzania,12350.415269643
Thailand,745818.6481711791
Togo,236.91413425899998
Tunisia,116467.507556763
Turkey,3408668.163707488
Uganda,27537.928318175
Ukraine,807325.838552475
United Arab Emirates,3667904.805471115
United Kingdom,1139466.851964045
United States,16341427.944375215
Uruguay,12025.146187252
Uzbekistan,3086.1781128860002
Venezuela,2244.096245908
Vietnam,1106835.481731177
Yemen,330117.990451524
Zambia,5389.929300899001
Zimbabwe,1267.734069041
