Partner,Value
Afghanistan,189629.42496808
Albania,90312.52279485
Algeria,2655231.101913
American Samoa,9586.18433688
Andorra,1010.02471805
Angola,392027.0271614
Anguila,18309.41007352
Antigua and Barbuda,92310.97873605999
Argentina,5519835.11401097
Armenia,209563.04385060997
Australia,248279819.4724341
Austria,15671542.53926836
Azerbaijan,316369.37993711996
BLM,9368.0876827
"Bahamas, The",6741043.8648885405
Bahrain,7714659.52799973
Bangladesh,13527296.12612234
Barbados,310201.52757077
Belarus,282866.94488547
Belgium,50790542.63979562
Belize,100524.61014122999
Benin,25501.62953979
Bermuda,38509.0513872
Bhutan,33058.212415379996
Bolivia,1941181.84255675
Bosnia and Herzegovina,60114.69587751001
Botswana,266971.28402291
Br. Antr. Terr,22.063638349999998
Brazil,50628625.80080581
British Virgin Islands,15661.1353305
Brunei,10366627.531152532
Bulgaria,1384847.1293335
Burkina Faso,226549.93129486
Burundi,50521.189172980005
Cambodia,10760223.8555701
Cameroon,232549.6869399
Canada,91019556.59460011
Cape Verde,18662.958874
Cayman Islands,69012.92315451
Central African Republic,11226.64109926
Chad,21423.80560172
Chile,36096843.16035648
China,1409817807.6045704
Colombia,7798362.57244083
Comoros,8929.49457321
"Congo, Dem. Rep.",374814.27462427004
"Congo, Rep.",37663.44579268
Cook Islands,59585.07891699
Costa Rica,2863620.21052035
Cote d'Ivoire,294581.52159141
Croatia,717997.14282181
Cuba,224050.53918154
Curaçao,115601.17133871
Cyprus,646177.91173312
Czech Republic,12240481.05453291
Denmark,13073390.297382198
Djibouti,228612.7014423
Dominica,44521.279971829994
Dominican Republic,1864215.2909831898
East Timor,77045.37861478
Ecuador,6843096.20232328
"Egypt, Arab Rep.",4909297.37338531
El Salvador,646178.5641117401
Equatorial Guinea,135557.11021478
Eritrea,4087.43031
Estonia,1530752.569362
Ethiopia(excludes Eritrea),946491.2178964199
Faeroe Islands,54980.35692996
Falkland Island,12274.744918139999
Fiji,533763.41401898
Finland,9973640.02583343
France,87288975.7916414
French Polynesia,385858.62819113
Gabon,379792.41565882997
"Gambia, The",16015.77487422
Georgia,1635048.07748325
Germany,210186042.69788665
Ghana,1013004.68349677
Gibraltar,438372.03793148
Greece,4987291.243285321
Greenland,309743.73062826
Grenada,41065.216992199996
Guam,1005977.20886821
Guatemala,1798036.19897215
Guinea,50072.29548623999
Guinea-Bissau,5456.4448039
Guyana,322191.96893602004
Haiti,123479.63188814999
Holy See,46.340480400000004
Honduras,669020.6702187
"Hong Kong, China",145252719.0756283
Hungary,12185560.091200111
Iceland,842569.0159642601
India,73902347.42798004
Indonesia,142139488.86858246
"Iran, Islamic Rep.",4941874.29266895
Iraq,7440799.88201108
Ireland,36694529.05225828
Israel,13318562.072073473
Italy,73793652.65902326
Jamaica,1279719.44478746
Jordan,2623399.8522883505
Kazakhstan,6209657.01113169
Kenya,4264438.2769789
Kiribati,55706.3401743
"Korea, Dem. Rep.",87.92428688
"Korea, Rep.",335243778.7249428
Kuwait,35975056.54376075
Kyrgyz Republic,82786.59717277
Lao PDR,1166901.6374625498
Latvia,572356.04428265
Lebanon,2276958.1056772005
Lesotho,48331.25430366999
Liberia,10805171.23717533
Libya,153640.24527902002
Lithuania,2185813.99627224
Luxembourg,2732013.1943625202
Macao,1494560.8173290798
"Macedonia, FYR",116775.02546106
Madagascar,1236530.16642461
Malawi,179038.36320034
Malaysia,135611906.41257256
Maldives,128714.36703634
Mali,63891.96601049
Malta,1533068.77244586
Marshall Islands,6562433.562604471
Mauritania,1030546.64802746
Mauritius,670686.1650125801
Mexico,76092022.72041407
"Micronesia, Fed. Sts.",137378.12448828
Moldova,140000.57925893
Mongolia,2936703.60196847
Montenegro,25218.435184410002
Montserrat,1701.42225615
Morocco,2116418.7033406
Mozambique,1695456.68103372
Myanmar,9732828.81966753
Namibia,121853.73362375001
Nauru,22795.1747932
Nepal,218439.80602414
Netherlands,69767849.70904133
New Caledonia,1066567.4597430401
New Zealand,21624739.98664374
Nicaragua,272572.23358026997
