Partner,Value
Afghanistan,1618121.18245
Albania,9279.48811
Algeria,370258.94661000004
Andorra,0.004
Angola,151.68616
Anguila,3.0020999999999995
Antigua and Barbuda,18.73395
Argentina,79158.18248
Armenia,66578.88807
Australia,321119.40011
Austria,850667.44643
Azerbaijan,747081.9804
BLM,84.46145
"Bahamas, The",0.94912
Bahrain,8751.67811
Bangladesh,177656.82950000002
Barbados,165.30656
Belarus,3341808.6584
Belgium,1497179.3192599998
Belize,5.0
Benin,9182.01092
Bermuda,21.93888
Bolivia,35.50786
Bosnia and Herzegovina,2057.9612700000002
Botswana,57.5242
Brazil,1432551.9852800001
British Virgin Islands,234000.17172
Brunei,453550.70371000003
Bulgaria,1383231.8334100002
Cambodia,34589.53913
Cameroon,131.72556
Canada,2078874.66021
Cape Verde,4.53585
Cayman Islands,26.82
Central African Republic,4.0376
Chad,4.2152
Chile,48521.15762
China,61205133.19437
Cocos (Keeling) Islands,12.265
Colombia,17350.85183
"Congo, Dem. Rep.",32856.0534
"Congo, Rep.",354.26645
Costa Rica,8211.27565
Cote d'Ivoire,11819.817669999999
Croatia,486219.50396
Cuba,1354.4123599999998
Cyprus,174171.82859
Czech Republic,1529335.10782
Denmark,309474.92582999996
Djibouti,25.0
Dominican Republic,28983.037790000002
Ecuador,126788.71038
"Egypt, Arab Rep.",472322.99936
El Salvador,132.49255
Equatorial Guinea,46.14741
Estonia,75348.77917
Ethiopia(excludes Eritrea),5932.819230000001
Faeroe Islands,109.47208
Fiji,0.71928
Finland,1556510.2676499998
France,17967124.4144
Gabon,176.23046
"Gambia, The",103.72500000000001
Georgia,296483.02537
Germany,8374701.045510001
Ghana,38524.75185
Gibraltar,83.38369999999999
Greece,5525469.24429
Guam,0.46712
Guatemala,703.1301599999999
Guinea,0.70084
Guyana,1.02876
Haiti,17.322689999999998
Honduras,188.2602
"Hong Kong, China",95075.10041000001
Hungary,471954.15908
Iceland,16075.109279999999
India,7708585.901140001
Indonesia,1728418.69913
"Iran, Islamic Rep.",1544375.62161
Iraq,10277.999880000001
Ireland,533507.50884
Israel,2086740.04504
Italy,41024705.49882
Jamaica,161.70517
Japan,6428414.9083
Jordan,153433.74455
Kenya,241338.75123
"Korea, Dem. Rep.",473.81352
"Korea, Rep.",29007681.54595
Kuwait,3454.84747
Kyrgyz Republic,3586973.9516999996
Lao PDR,4652.54701
Latvia,396909.76957999996
Lebanon,29667.65044
Lesotho,21.21015
Libya,253.17539
Lithuania,1704372.15013
Luxembourg,27733.63861
Macao,40.70422
"Macedonia, FYR",10609.957550000001
Madagascar,2089.3612
Malawi,1931.66657
Malaysia,2632598.21975
Mali,948.20815
Malta,52621.76904
Mauritania,19.85687
Mauritius,1399.8246100000001
Mexico,326337.56755
Moldova,176539.10065
Mongolia,241577.14221000002
Montenegro,36074.35527
Morocco,337777.44509000005
Mozambique,13095.33259
Myanmar,17500.71087
Namibia,10351.65858
Nauru,0.13504
Nepal,85.66834999999999
Netherlands,18715447.255499996
New Caledonia,0.0848
New Zealand,14991.20577
Nicaragua,174.58520000000001
Niger,140.27783
Nigeria,3605.9308100000003
Niue,0.26739999999999997
Norway,373569.59709
Occ.Pal.Terr,17.54944
Oman,1958.6717899999999
"Other Asia, nes",276182.92955
Pakistan,121288.29256
Palau,0.026250000000000002
Panama,101.65371999999999
Papua New Guinea,5.09322
Paraguay,4144.3002400000005
Peru,9703.9979
Philippines,72375.517
Poland,3717154.7613299997
Portugal,1055700.16322
Qatar,9526.706670000001
Romania,7397189.52946
Russian Federation,84882013.80416
Rwanda,3125.16797
Samoa,0.48332
San Marino,4555.0111799999995
Saudi Arabia,37192.42023
Senegal,61061.40546
"Serbia, FR(Serbia/Montenegro)",87901.73108
Seychelles,28.52968
Sierra Leone,43567.00616
Singapore,1175866.43229
Slovak Republic,194538.0647
Slovenia,525746.95146
South Africa,216285.80053
South Sudan,1.296
Spain,9602684.1578
Sri Lanka,36390.68126
St. Lucia,34.13065
Suriname,9.41845
Swaziland,11.31334
Sweden,1265077.4886
Switzerland,11333162.31503
Syrian Arab Republic,15.109119999999999
Tajikistan,3054199.942229999
Tanzania,4424.17291
Thailand,625664.3579800001
Tokelau,0.1124
Trinidad and Tobago,5809.4932499999995
Tunisia,151648.21949000002
Turkey,13067283.25863
Turkmenistan,617323.8914
Turks and Caicos Isl.,3.03108
Uganda,257.79264
Ukraine,5580132.3351
United Arab Emirates,2194078.16317
United Kingdom,4287846.04232
United States,10033509.70252
Unspecified,1.9225500000000002
Uruguay,12804.24698
Uzbekistan,11425169.65022
Venezuela,2.7115299999999998
Vietnam,1837916.88891
Zambia,465.05176
Zimbabwe,650.15028
