Partner,Value
Afghanistan,142637.29409
Albania,205.22841
Algeria,6406.97971
American Samoa,111540.53693999999
Angola,3217.7782500000003
Anguila,3.80216
Antigua and Barbuda,12.88043
Argentina,590086.18757
Armenia,197.53607
Aruba,17.56136
Australia,318050.16927
Austria,204266.18158
Azerbaijan,2427.2982500000003
"Bahamas, The",0.7872
Bahrain,52725.0202
Bangladesh,116314.07868
Barbados,274.07924
Belarus,6723.9488
Belgium,935766.3195099998
Belize,42.93268
Benin,742.0629799999999
Bermuda,7.6763200000000005
Bolivia,161.60644999999997
Bosnia and Herzegovina,12259.11308
Botswana,12228.68924
Brazil,238839.04259
Brunei,4325.15488
Bulgaria,22375.07346
Bunkers,81222.58373
Burkina Faso,5004.92965
Burundi,288278.37342
Cambodia,54818.36497
Cameroon,7689.47314
Canada,734689.97063
Cape Verde,37.03659
Cayman Islands,103.62971
Central African Republic,4959.91781
Chad,39803.09222
Chile,266528.83514
China,17294876.07905
Christmas Island,1.96256
Colombia,5195.728999999999
Comoros,9690.25781
"Congo, Dem. Rep.",633381.0915799999
"Congo, Rep.",583.17841
Costa Rica,2070.60169
Cote d'Ivoire,25706.253249999998
Croatia,4814.33495
Cuba,293.98597
Cyprus,11258.72045
Czech Republic,98675.12522999999
Denmark,230260.61385
Djibouti,34123.75036
Dominican Republic,437.98052
Ecuador,1943.6152200000001
"Egypt, Arab Rep.",2536187.41575
El Salvador,351.47119
Equatorial Guinea,17.465
Eritrea,6253.93688
Estonia,5438.345259999999
Ethiopia(excludes Eritrea),331608.02891
Fiji,42.15153
Finland,196742.04815
France,1419552.32435
Gabon,8854.0619
"Gambia, The",335.22602
Georgia,25228.83138
Germany,2526443.7546
Ghana,32254.29235
Gibraltar,7454.96817
Greece,56090.18686
Grenada,29.28293
Guam,27.49588
Guatemala,55.58367
Guinea,8132.36479
Guinea-Bissau,110.25345
Guyana,29.19821
Haiti,165.79584
Honduras,2451.3920200000002
"Hong Kong, China",314336.03799
Hungary,118755.94754
Iceland,1994.89408
India,7974844.890859998
Indonesia,1998441.8213
"Iran, Islamic Rep.",321658.99066
Iraq,9430.41181
Ireland,542740.46199
Israel,249386.95993999997
Italy,1054963.40201
Jamaica,6091.08718
Japan,4753056.4028900005
Jordan,106560.66253999999
Kazakhstan,126793.89499999999
"Korea, Dem. Rep.",7789.1294
"Korea, Rep.",741711.39574
Kuwait,25364.65745
Kyrgyz Republic,5554.90313
Lao PDR,4.2806
Latvia,122456.43109000001
Lebanon,15227.4064
Lesotho,665.5743
Liberia,1413.9755499999999
Libya,5682.92132
Lithuania,63159.00909
Luxembourg,11865.89133
Macao,214.3758
"Macedonia, FYR",2.5799499999999997
Madagascar,113423.86219
Malawi,277605.42415
Malaysia,1082070.10183
Maldives,1045.38185
Mali,10042.14475
Malta,14883.342100000002
Marshall Islands,63.3742
Mauritania,2165.1686099999997
Mauritius,378025.92741
Mexico,116663.88214
Moldova,784.96377
Mongolia,26.148500000000002
Morocco,50971.33184
Mozambique,268259.84283
Myanmar,28120.55274
Namibia,7791.44284
Nepal,124.06617
Netherlands,3353261.06405
New Caledonia,790.45939
New Zealand,31349.92725
Nicaragua,0.17056
Niger,10686.57823
Nigeria,167337.10625
Norway,206955.59158
Oman,462187.61338
"Other Asia, nes",651484.2857599999
Pakistan,2828010.9384
Panama,1766.7087
Papua New Guinea,5692.8223800000005
Paraguay,4.17476
Peru,778.08267
Philippines,85676.7707
Poland,340025.04481
Portugal,91975.3083
Qatar,414964.61806
Romania,80490.01027
Russian Federation,1561120.9986999999
Rwanda,1044004.18442
San Marino,4.428
Sao Tome and Principe,4.43404
Saudi Arabia,5610968.30535
Senegal,8315.961800000001
"Serbia, FR(Serbia/Montenegro)",9503.44449
Seychelles,8742.075110000002
Sierra Leone,4033.2412600000002
Singapore,369046.95194
Slovak Republic,12105.00999
Slovenia,24539.61694
Solomon Islands,0.34044
Somalia,504394.22923
South Africa,3053104.75581
South Sudan,511941.77410000004
Spain,682063.95558
Sri Lanka,87825.98709000001
St. Lucia,27.76332
Sudan,358011.48355
Suriname,1315.75712
Swaziland,455841.84118
Sweden,334387.63547
Switzerland,457145.0969
Syrian Arab Republic,5157.11585
Tajikistan,19.33112
Tanzania,2611396.7795992233
Thailand,946067.73606
Togo,3329.3140000000003
Tokelau,9.37555
Trinidad and Tobago,17765.50274
Tunisia,17039.90513
Turkey,903052.19223
Turkmenistan,411.36048
Uganda,3986025.1534700003
Ukraine,291848.39528
United Arab Emirates,8224626.35563
United Kingdom,3016353.0882
United States,5100215.32125
Unspecified,120773.72936999999
Uruguay,2728.86658
Uzbekistan,9599.79399
Venezuela,26.22629
Vietnam,242339.92815999998
Yemen,196170.44357
Zambia,443935.58909
Zimbabwe,195669.60317000002
