Partner,Value
Afghanistan,7801.597
Albania,2315.335
Algeria,385.68100000000004
American Samoa,540.0
Anguila,154.8
Argentina,3718.587
Armenia,3671.308
Australia,8407.019
Austria,53416.733
Azerbaijan,27924.727000000003
Bahrain,204.344
Bangladesh,17647.463
Barbados,3.516
Belarus,270719.792
Belgium,69858.115
Bolivia,1.432
Bosnia and Herzegovina,2435.477
Botswana,15.208
Brazil,1211.778
British Virgin Islands,134.822
Brunei,14.08
Bulgaria,76716.49100000001
Cambodia,3321.4700000000003
Canada,42693.893
Chile,2126.669
China,8348940.623
Colombia,15.780000000000001
"Congo, Rep.",53.184
Costa Rica,644.5300000000001
Croatia,1198.636
Cuba,97.064
Cyprus,16348.255000000001
Czech Republic,41126.067
Denmark,10920.900000000001
Dominica,326.59
Dominican Republic,809.366
Ecuador,26617.511
"Egypt, Arab Rep.",20538.994000000002
Estonia,6384.511
Ethiopia(excludes Eritrea),144.58
Finland,15955.992
France,184952.58000000002
"Gambia, The",2.136
Georgia,40299.331
Germany,372608.92
Ghana,34.992000000000004
Greece,10802.833
Guatemala,21.236
Guyana,8.852
Honduras,2.245
"Hong Kong, China",9445.818
Hungary,34160.140999999996
Iceland,21.502
India,215386.10799999998
Indonesia,10384.325
"Iran, Islamic Rep.",140108.739
Iraq,15511.746000000001
Ireland,10559.708
Israel,12985.078
Italy,115938.61399999999
Jamaica,2.492
Japan,114241.815
Jordan,22929.645
Kazakhstan,4191647.75
Kenya,9789.749
"Korea, Dem. Rep.",54.285
"Korea, Rep.",160098.109
Kuwait,912.996
Lao PDR,37.12
Latvia,41094.517
Lebanon,13.69
Lithuania,218616.733
Luxembourg,239.334
"Macedonia, FYR",12486.826
Madagascar,48.005
Malaysia,18664.058999999997
Maldives,0.005
Malta,6119.796
Mexico,24602.264
Moldova,11320.845000000001
Mongolia,9835.779999999999
Montenegro,3045.952
Morocco,777.114
Myanmar,1048.982
Nepal,62.06400000000001
Netherlands,58919.367
New Zealand,550.073
Nigeria,3.424
Norway,7313.354
Oman,124.034
"Other Asia, nes",15284.872
Pakistan,31656.481999999996
Peru,3479.5
Philippines,4114.327
Poland,122391.971
Portugal,2146.025
Qatar,912.706
Romania,19800.977
Russian Federation,7095749.489
Rwanda,18.372
Saudi Arabia,15242.564
"Serbia, FR(Serbia/Montenegro)",46712.897
Sierra Leone,17.994
Singapore,5232.972
Slovak Republic,8545.476999999999
Slovenia,56649.497
South Africa,72704.53199999999
Spain,34916.671
Sri Lanka,5472.784
St. Kitts and Nevis,0.356
Sudan,535.744
Sweden,42101.33
Switzerland,51200.644
Syrian Arab Republic,8874.04
Tajikistan,285501.048
Tanzania,15.958
Thailand,19280.355
Trinidad and Tobago,1.036
Tunisia,663.592
Turkey,1428799.3499999999
Turkmenistan,35730.202000000005
Ukraine,278817.42100000003
United Arab Emirates,108486.672
United Kingdom,2574517.364
United States,437627.35500000004
Unspecified,77926.277
Uzbekistan,1493532.864
Venezuela,7.567
Vietnam,39150.75
