Partner,Value
Afghanistan,264.94402
Albania,14.452079999999999
Algeria,335.07921
American Samoa,21.37369
Angola,405.44980000000004
Anguila,92.53035
Argentina,283952.16286
Armenia,32.93624
Australia,918944.8332
Austria,221140.56428999998
Azerbaijan,56.88152
"Bahamas, The",26.88145
Bahrain,2817.2897000000003
Bangladesh,82152.30754000001
Barbados,11.6175
Belarus,7733.87044
Belgium,2813664.60618
Belize,2822.33089
Benin,248.05385
Bhutan,25.380000000000003
Bolivia,980.8805299999999
Bosnia and Herzegovina,2794.73706
Botswana,8682.19748
Brazil,230734.94608999998
Brunei,57309.5837
Bulgaria,42491.304260000004
Burkina Faso,124.7904
Cameroon,190.01157
Canada,4635095.14386
Cape Verde,89.82239
Central African Republic,55.5729
Chile,173851.96731
China,40180137.52286
Colombia,48148.62499
Comoros,364.608
"Congo, Rep.",1291.4398
Costa Rica,7516.408939999999
Cote d'Ivoire,6968.63786
Croatia,14513.957279999999
Cuba,307.25592
Cyprus,5802.421780000001
Czech Republic,559436.47554
Denmark,1359270.36262
Dominica,208.58448
Dominican Republic,7774.93966
East Timor,1306.0152799999998
Ecuador,2396.22852
"Egypt, Arab Rep.",13405.080899999999
El Salvador,1918.41513
Estonia,10812.773519999999
Ethiopia(excludes Eritrea),75.151
Fiji,2970.3034
Finland,144334.41518
France,2400010.76405
French Polynesia,471.08028
Gabon,124665.59608
Georgia,617.6005799999999
Germany,5835801.63792
Ghana,15218.6482
Greece,85481.91286
Grenada,50.53
Guam,302.02016
Guatemala,2140.1342
Guinea,4355.85517
Haiti,359.41562
Holy See,5.79839
Honduras,3804.54306
"Hong Kong, China",3681046.169769999
Hungary,15436.32677
Iceland,354.18895999999995
India,1215905.1342
Indonesia,3345487.9461
"Iran, Islamic Rep.",352.43128
Iraq,140.1698
Ireland,234010.39771999998
Israel,102482.36007
Italy,1816912.2777699998
Jamaica,17.36439
Japan,9847396.82604
Jordan,5694.45127
Kazakhstan,67.90212
Kenya,3911.4741
"Korea, Dem. Rep.",527.1863
"Korea, Rep.",4180317.01333
Kuwait,685.7317800000001
Lao PDR,44316.824380000005
Latvia,1360.71711
Lebanon,2328.30504
Lesotho,36.1918
Liberia,6.0253
Libya,1078.29835
Lithuania,10654.297480000001
Luxembourg,130312.47874
Macao,8168.093330000001
"Macedonia, FYR",434.77053
Madagascar,782.96234
Malawi,4017.3579600000003
Malaysia,3025818.49056
Maldives,169.83828
Mali,935.7343400000001
Malta,11885.53238
Marshall Islands,9012.64924
Mauritania,0.156
Mauritius,4829.9808
Mexico,484757.9655399999
Moldova,736.0676
Mongolia,382.48563
Morocco,23205.785109999997
Mozambique,21814.44513
Myanmar,58210.55954
Namibia,637.7888
Nepal,136.14104
Netherlands,2362696.58111
New Caledonia,17.37164
New Zealand,94085.86423
Nicaragua,4113.93889
Niger,1680.1998
Nigeria,3169.53867
Norfolk Island,316.44268
Northern Mariana Islands,62.76528
Norway,67934.4864
Oman,3690.32688
"Other Asia, nes",4114504.191000001
Pakistan,195132.28562
Palau,24.10412
Panama,57647.17969999999
Papua New Guinea,2820.66961
Paraguay,3731.40807
Peru,58173.88153
Philippines,348539.99667
Poland,705955.8539699999
Portugal,78173.95558
Qatar,14199.067790000001
Romania,16145.31833
Russian Federation,265894.76149
Rwanda,9.838940000000001
Saudi Arabia,76604.14911
Senegal,1472.76284
"Serbia, FR(Serbia/Montenegro)",12880.73215
Seychelles,533.9927
Sierra Leone,5.2332
Singapore,3474146.2076
Slovak Republic,35942.81298
Slovenia,25091.952980000002
Somalia,198.09249999999997
South Africa,135811.56462000002
Spain,2611691.13038
Sri Lanka,22306.73699
St. Vincent and the Grenadines,0.20301
Sudan,260.1
Suriname,324.84
Swaziland,5325.80436
Sweden,388621.50895
Switzerland,190724.0085
Syrian Arab Republic,158.82408
Tanzania,4526.92582
Thailand,16549749.06887
Togo,7699.68988
Tokelau,450.11618
Tonga,165.9
Trinidad and Tobago,909.26972
Tunisia,2019.6786000000002
Turkey,187275.32900000003
Turkmenistan,840.21912
Uganda,195.86501
Ukraine,20741.95906
United Arab Emirates,360177.37529
United Kingdom,5172298.8938500015
United States,21612552.41099
Unspecified,33724.96222
Uruguay,22166.25866
Uzbekistan,5.04862
Venezuela,478.69174
Vietnam,13492017.310490001
Yemen,10.837499999999999
Zambia,134.66948
Zimbabwe,1283.2262
