Partner,Value
Afghanistan,235867.92
Albania,113894.166
Algeria,10429549.36
American Samoa,42317.656
Andorra,7891.181
Angola,1131003.329
Anguila,4056.697
Antarctica,15678.345999999998
Antigua and Barbuda,46227.835999999996
Argentina,5115883.8149999995
Armenia,137366.812
Aruba,51822.12100000001
Australia,118161170.134
Austria,11587447.035999998
Azerbaijan,393463.377
BLM,4218.822
"Bahamas, The",13967148.016
Bahrain,3473786.011
Bangladesh,7823290.723
Barbados,50259.607
Belarus,499956.172
Belgium,18891202.389999997
Belize,16526.502
Benin,247520.308
Bermuda,1094060.034
Bhutan,9960.93
Bolivia,1950669.4100000001
Bosnia and Herzegovina,130637.28
Botswana,23962.204
Bouvet Island,397.625
Brazil,40868716.462
British Indian Ocean Ter.,3.5549999999999997
British Virgin Islands,6529.013000000001
Brunei,1994105.4349999998
Bulgaria,1877423.8159999999
Burkina Faso,172646.217
Burundi,4658.669
Cambodia,4853929.422
Cameroon,263511.849
Canada,50774421.19600001
Cape Verde,20055.619
Cayman Islands,529137.023
Central African Republic,2954.286
Chad,8140.592
Chile,22101586.699
China,1152350134.246
Christmas Island,2.9029999999999996
Cocos (Keeling) Islands,8.738
Colombia,8427044.038999999
Comoros,2911.3720000000003
"Congo, Dem. Rep.",1824186.572
"Congo, Rep.",139371.495
Cook Islands,2880.4700000000003
Costa Rica,1606554.065
Cote d'Ivoire,699054.481
Croatia,1305750.3739999998
Cuba,205644.853
Curaçao,48958.626
Cyprus,404789.404
Czech Republic,14039617.818999998
Denmark,6256200.311
Djibouti,207032.916
Dominica,24387.374
Dominican Republic,1626905.604
East Timor,14736.307999999999
Ecuador,3232201.616
"Egypt, Arab Rep.",8581876.280000001
El Salvador,817878.9199999999
Equatorial Guinea,628965.414
Eritrea,468662.822
Estonia,703477.685
Ethiopia(excludes Eritrea),677744.728
Faeroe Islands,2399.887
Falkland Island,60.82
Fiji,1253822.876
Finland,6711169.437000001
France,43238766.793
French Polynesia,109942.185
Gabon,1355051.2959999999
"Gambia, The",35363.083
Georgia,485438.39100000006
Germany,137335035.308
Ghana,1115251.67
Gibraltar,486566.823
Greece,10317105.063000001
Greenland,2052.472
Grenada,13297.588
Guam,822605.769
Guatemala,1325083.332
Guinea,345222.21499999997
Guinea-Bissau,11857.869999999999
Guyana,71848.134
Haiti,313494.044
Holy See,3.736
Honduras,881067.099
"Hong Kong, China",164009062.697
Hungary,14425380.109000001
Iceland,560924.844
India,93902694.95699999
Indonesia,71864537.17
"Iran, Islamic Rep.",9862518.546999998
Iraq,41279692.06
Ireland,8768046.358
Israel,10991338.651
Italy,46702935.701000005
Jamaica,184713.13
Japan,346797839.036
Jordan,3056659.782
Kazakhstan,19484775.514
Kenya,880946.575
Kiribati,87705.861
Kuwait,47638086.808
Kyrgyz Republic,524157.84500000003
Lao PDR,533614.069
Latvia,846947.133
Lebanon,2459333.7750000004
Lesotho,682.635
Liberia,8667926.252999999
Libya,4007794.29
Lithuania,2011092.4060000002
Luxembourg,417358.379
Macao,161321.15899999999
"Macedonia, FYR",67654.735
Madagascar,614627.627
Malawi,113116.267
Malaysia,80952468.94999999
Maldives,35252.531
Mali,126798.123
Malta,3546217.4689999996
Marshall Islands,17955082.558000002
Mauritania,207018.54700000002
Mauritius,238613.109
Mexico,77247310.925
"Micronesia, Fed. Sts.",33919.005
Moldova,141037.722
Mongolia,1470470.016
Montenegro,16975.400999999998
Montserrat,395.70300000000003
Morocco,2270394.434
Mozambique,1093386.707
Myanmar,5840219.339
Namibia,281740.397
Nauru,30031.782
Nepal,239812.843
Netherlands,40024791.898
New Caledonia,1232606.331
New Zealand,11400137.639
Nicaragua,431850.708
Niger,70492.91200000001
Nigeria,6480641.146
Niue,15328.963
Norfolk Island,118.38
Northern Mariana Islands,77584.02300000002
Norway,14723817.171
Occ.Pal.Terr,251419.375
Oman,13746869.068
"Other Asia, nes",148072954.7
Pakistan,5688747.839
Palau,98228.597
Panama,8868930.712
Papua New Guinea,1754416.427
Paraguay,857660.4229999998
Peru,12826613.956
Philippines,55711855.483
Pitcairn,18.651
Poland,29213058.336999997
Portugal,3721000.861
Qatar,54030823.893
Romania,4778767.641
Russian Federation,96044177.59400001
Rwanda,71694.87
Saint Helena,11985.796000000002
Saint Maarten (Dutch part),175.79
Samoa,160351.706
San Marino,13380.374
Sao Tome and Principe,4129.495
Saudi Arabia,105501167.026
Senegal,606445.4940000001
"Serbia, FR(Serbia/Montenegro)",1657667.1949999998
Seychelles,124840.359
Sierra Leone,104999.238
Singapore,90059142.15900001
Slovak Republic,13648946.657000002
Slovenia,8885455.715
Solomon Islands,242391.874
Somalia,152468.527
South Africa,12998315.986
South Georgia and the South Sa,44.599999999999994
South Sudan,1790.3149999999998
Spain,25283927.189999998
Sri Lanka,1562380.357
St. Kitts and Nevis,5176.466
St. Lucia,16578.931
St. Vincent and the Grenadines,5809.262000000001
Sudan,919316.559
Suriname,111575.627
Swaziland,94774.288
