Partner,Value
Afghanistan,2275.925
Albania,11095.217
Algeria,74333.47200000001
American Samoa,194.338
Andorra,514.644
Angola,45223.619000000006
Anguila,0.124
Antigua and Barbuda,289.611
Argentina,340358.805
Armenia,6034.7
Aruba,569.834
Australia,1562432.908
Austria,847911.896
Azerbaijan,1521.306
"Bahamas, The",79.917
Bahrain,2376055.212
Bangladesh,389921.74399999995
Barbados,20.681
Belarus,22754.299
Belgium,1075781.196
Belize,7.78
Benin,4300.296
Bhutan,6.4510000000000005
Bolivia,3160.532
Bosnia and Herzegovina,13444.408
Botswana,52.814
Brazil,1096386.5790000001
British Virgin Islands,9.757000000000001
Brunei,3018.761
Bulgaria,126600.383
Burkina Faso,899.441
Burundi,256.133
Cambodia,139720.28900000002
Cameroon,15091.444
Canada,1288221.27
Cape Verde,30.875999999999998
Central African Republic,432.978
Chad,238.985
Chile,51086.05
China,32476991.79
Colombia,54147.600999999995
Comoros,182.892
"Congo, Dem. Rep.",952.867
"Congo, Rep.",1791.909
Cook Islands,9.203
Costa Rica,31401.288
Cote d'Ivoire,19179.114
Croatia,18297.549
Cuba,246.112
Cyprus,98165.959
Czech Republic,534130.945
Denmark,600776.055
Djibouti,9069.332
Dominica,1801.472
Dominican Republic,27735.948000000004
East Timor,161.99200000000002
Ecuador,149751.409
"Egypt, Arab Rep.",1835235.748
El Salvador,3296.946
Equatorial Guinea,14.745000000000001
Eritrea,55.03099999999999
Estonia,23624.285
Ethiopia(excludes Eritrea),30034.737
Fiji,1525.3580000000002
Finland,155907.179
France,3668254.7600000007
Free Zones,1136.871
French Polynesia,0.012
"Gambia, The",379.891
Georgia,27869.802
Germany,8279417.38
Ghana,32397.887000000002
Greece,194701.17
Greenland,17.009999999999998
Grenada,103.381
Guam,5.909
Guatemala,68890.45700000001
Guinea,9597.54
Guinea-Bissau,11.08
Guyana,1078.326
Haiti,977.966
Holy See,6.622
Honduras,5205.575
"Hong Kong, China",315525.998
Hungary,466409.993
Iceland,2474.83
India,12384383.553
Indonesia,1354446.5640000002
"Iran, Islamic Rep.",1168583.935
Iraq,4319416.871
Ireland,1039606.844
Italy,6741262.404000002
Jamaica,140.22500000000002
Japan,10418301.294
Jordan,1311045.628
Kazakhstan,1786.488
Kenya,46116.485
Kiribati,7.73
"Korea, Dem. Rep.",57.841
"Korea, Rep.",4350884.6620000005
Kyrgyz Republic,1093.354
Lao PDR,17289.998
Latvia,52985.78200000001
Lebanon,1171295.299
Lesotho,128.627
Liberia,1043.233
Libya,7016.112
Lithuania,62662.682
Luxembourg,19516.76
Macao,946.77
"Macedonia, FYR",14568.42
Madagascar,18862.639
Malawi,281.019
Malaysia,1296504.3820000002
Maldives,328.33099999999996
Mali,393.914
Malta,19884.444
Marshall Islands,9.528
Mauritania,1957.528
Mauritius,19359.703
Mexico,1346795.825
Moldova,13953.09
Mongolia,219.45
Montenegro,300.132
Montserrat,1.0310000000000001
Morocco,178235.507
Mozambique,3552.332
Myanmar,70434.59
Namibia,1400.037
Nauru,7.465
Nepal,6586.767
Netherlands,1997521.3839999998
New Caledonia,528.8
New Zealand,392469.578
Nicaragua,1865.047
Niger,9630.094000000001
Nigeria,153099.061
Norway,166570.75400000002
Occ.Pal.Terr,25702.59
Oman,1959195.821
"Other Asia, nes",1114384.1940000001
Pakistan,1683116.516
Panama,361.095
Papua New Guinea,44.912
Paraguay,82029.737
Peru,21014.311
Philippines,327953.728
Poland,816466.711
Portugal,392056.94800000003
Qatar,1870200.289
Romania,424913.147
Russian Federation,627106.248
Rwanda,128.769
Saint Helena,4.204
Samoa,133.543
San Marino,2758.504
Sao Tome and Principe,10.896
Saudi Arabia,11873397.152999999
Senegal,12135.555
Seychelles,116.76
Sierra Leone,1026.4279999999999
Singapore,776096.2779999999
Slovak Republic,520935.098
Slovenia,100889.37
Somalia,10779.887
South Africa,762324.5680000001
Spain,1876847.635
Sri Lanka,234823.528
St. Kitts and Nevis,1.752
St. Vincent and the Grenadines,6.227
Sudan,109858.13
Suriname,366.94399999999996
Swaziland,438.848
Sweden,620691.485
Switzerland,2472881.2569999998
Syrian Arab Republic,160875.879
Tajikistan,35.417
Tanzania,8373.449
Thailand,2150432.563
Togo,8051.897
Tokelau,1.02
Trinidad and Tobago,573.202
Tunisia,142943.739
Turkey,3288136.101000001
Turkmenistan,29.872
Turks and Caicos Isl.,8.538
Tuvalu,1.4449999999999998
Uganda,2021.692
Ukraine,216877.449
United Arab Emirates,14185131.55
United Kingdom,4222114.701
United States,14500856.296
Unspecified,234860358.28199998
Uruguay,3953.509
Uzbekistan,913.079
Vanuatu,38.815
Venezuela,1057.239
Vietnam,2121457.906
Wallis and Futura Isl.,0.152
Yemen,86097.68000000001
Zambia,158945.386
Zimbabwe,435.639
