Partner,Value
Algeria,2.5772
Andorra,4.38992
Argentina,3180.25988
Armenia,17.5
Australia,269493.52525
Austria,51640.482729999996
"Bahamas, The",1.7
Bahrain,188.0
Bangladesh,5883.40059
Belarus,67.6608
Belgium,168806.09946
Belize,446.50092
Bosnia and Herzegovina,110.838
Brazil,17874.47508
Brunei,172.12535
Bulgaria,3039.4261
Burkina Faso,1.5
Cambodia,69249.61487864
Cameroon,88.10628
Canada,82769.44129
Cape Verde,3.1888499999999995
Central African Republic,26.242
Chile,4268.01416
China,14547411.397340797
Christmas Island,1.0
Cocos (Keeling) Islands,109.5108
Colombia,261.27864
Costa Rica,113.57568
Croatia,27124.5336
Cuba,49.28
Curaçao,2902.30895
Czech Republic,9046.01385
Denmark,81932.44434
Dominica,0.57005
East Timor,17.5
Ecuador,3.21496
"Egypt, Arab Rep.",31.705
Eritrea,50.72
Ethiopia(excludes Eritrea),22.5
Falkland Island,6.96
Finland,6353.84385
France,92491.61642
Georgia,35.6
Germany,546908.87679
Ghana,511.825
Gibraltar,591.36
Greece,1007.8125
Grenada,17.166
Guatemala,301.5225
Guinea,10.297360000000001
Haiti,81.328
Holy See,651.95656
"Hong Kong, China",348459.08358
Hungary,6996.693950000001
Iceland,465.51560000000006
India,431717.59132999997
Indonesia,155338.67244999998
"Iran, Islamic Rep.",12.0548
Ireland,1660.0120200000001
Israel,584.81458
Italy,153947.97873
Japan,993710.40121
Kazakhstan,30.43
Kenya,20.0
"Korea, Dem. Rep.",378.0435
"Korea, Rep.",367654.87638000003
Kuwait,23.17
Kyrgyz Republic,158.65
Latvia,89.85849
Liberia,496.1642
Lithuania,677.8804
Luxembourg,175.76635
Macao,65.1228
Madagascar,2678.1000000000004
Malawi,1742.1858
Malaysia,179279.79761399998
Maldives,1688.2128
Mali,3.75615
Mexico,22985.79535
Moldova,1178.1999999999998
Mongolia,573.0848000000001
Morocco,1277.08775
Mozambique,248.2908
Myanmar,19967.948930799997
Namibia,29101.50752
Nepal,55.912
Netherlands,86081.94593
New Caledonia,25.0
New Zealand,2383.716
Nicaragua,17.855
Niger,36.25
Nigeria,33.02
Norway,339.64522999999997
Oman,112.128
"Other Asia, nes",122664.53391
Pakistan,19515.75493
Panama,1953.0926000000002
Papua New Guinea,469.79314999999997
Peru,103.67948
Philippines,9107.051950000001
Poland,17476.24724
Portugal,62718.03711
Qatar,90.678
Romania,1070.43526
Russian Federation,50418.56588
Saudi Arabia,553.94385
"Serbia, FR(Serbia/Montenegro)",316.605
Seychelles,3726.984
Sierra Leone,138.9
Singapore,428256.97603
Slovak Republic,2287.5288
Slovenia,4516.40848
Somalia,55.0
South Africa,9085.70952
South Georgia and the South Sa,0.095
Spain,30012.082690000003
Sri Lanka,34.53
Sudan,4208.93736
Swaziland,11727.267090000001
Sweden,118311.64778
Switzerland,200128.2648
Tajikistan,2.57
Tanzania,148.564
Thailand,22679375.203087386
Togo,28.82248
Trinidad and Tobago,181.1932
Tunisia,163.008
Turkey,31958.190500000004
Turks and Caicos Isl.,20.23125
Uganda,64.86064999999999
Ukraine,3384.29176
United Arab Emirates,68502.67657
United Kingdom,266363.93338
United States,473977.27097000007
Unspecified,53.256
Uruguay,3052.63
Vietnam,6281622.018915484
Western Sahara,1281.6204
Yemen,1601.807
Zambia,1845.36
Zimbabwe,16979.22496
