Partner,Value
Afghanistan,6506.63589
Albania,7271.95357
Algeria,290101.87932
American Samoa,449.30912
Andorra,3096.2524
Angola,49890.7814
Anguila,2439.0347699999998
Antarctica,4.97345
Antigua and Barbuda,0.15392
Argentina,451056.74150999996
Armenia,6222.23747
Aruba,459.24665999999996
Australia,210210.00169
Austria,370563.45591
Azerbaijan,21770.533020000003
"Bahamas, The",1330.61125
Bahrain,163176.02302
Bangladesh,367274.32556
Barbados,669.87128
Belarus,25397.27176
Belgium,1903750.81037
Belize,0.07696
Benin,18530.877829999998
Bermuda,938.39165
Bolivia,1980.968
Bosnia and Herzegovina,6903.7862000000005
Botswana,6.0
Bouvet Island,2.2464999999999997
Brazil,1288311.57575
British Indian Ocean Ter.,6.458500000000001
British Virgin Islands,54.07777
Brunei,669.33779
Bulgaria,390348.56451
Burkina Faso,24476.05029
Burundi,100.09867
Cambodia,60642.80659
Cameroon,51184.10071999999
Canada,659074.71334
Cape Verde,1653.79162
Central African Republic,14250.82667
Chad,717.26861
Chile,36407.8681
China,7572907.31488
Christmas Island,46.74477
Cocos (Keeling) Islands,126.14839
Colombia,102391.38440000001
Comoros,1187.51348
"Congo, Rep.",177067.57948000001
Costa Rica,19287.59175
Cote d'Ivoire,163059.30208
Croatia,133892.94692000002
Cuba,9861.89404
Curaçao,0.3196
Cyprus,332080.8506
Czech Republic,295381.44368
Denmark,534409.6002599999
Djibouti,4721.34687
Dominica,536.27927
Dominican Republic,20439.79622
Ecuador,11505.07599
"Egypt, Arab Rep.",2076227.124530001
El Salvador,812.01224
Equatorial Guinea,8365.28837
Eritrea,22.11792
Estonia,73785.71929
Ethiopia(excludes Eritrea),14412.794750000001
Faeroe Islands,884.08492
Falkland Island,6.022919999999999
Fiji,90.46135000000001
Finland,434374.7069599999
France,3669290.35917
Free Zones,220275.24842999998
French Polynesia,267.32831
Gabon,46305.42264999999
"Gambia, The",13544.83286
Georgia,65694.53212
Germany,4685558.70947
Ghana,112388.02033
Greece,5893343.01974
Grenada,5.27363
Guam,0.38536
Guatemala,17053.24808
Guinea,93026.88991
Guinea-Bissau,574.01253
Guyana,939.64586
Haiti,131.27945
Holy See,1.26784
Honduras,948.68223
"Hong Kong, China",240527.65714
Hungary,340251.77793
Iceland,2499.72874
India,1525936.06738
Indonesia,398193.4646899999
"Iran, Islamic Rep.",255262.32488
Iraq,688365.4221499999
Ireland,781017.39763
Italy,5797375.2147
Jamaica,454.24309
Japan,1406373.4496699998
Jordan,1162072.2936900002
Kazakhstan,233160.46869999997
Kenya,20184.44544
"Korea, Dem. Rep.",2022.62781
"Korea, Rep.",831832.08717
Kuwait,2521766.2615
Kyrgyz Republic,689.11916
Lao PDR,872.93561
Latvia,26061.826680000002
Lesotho,872.18355
Liberia,224299.92413
Libya,509910.95347
Lithuania,34980.63807
Luxembourg,15387.106949999998
Macao,230.18239
"Macedonia, FYR",5541.36524
Madagascar,5221.0207
Malawi,2006.08282
Malaysia,449842.5123599999
Maldives,6087.4276
Mali,31087.562869999998
Malta,534501.67978
Marshall Islands,36.4848
Mauritania,6894.28362
Mauritius,5013.04565
Mexico,344176.89261
"Micronesia, Fed. Sts.",160.05028
Moldova,96003.45515
Mongolia,476.77517
Montenegro,165.75991
Montserrat,6.140820000000001
Morocco,390518.67217000003
Mozambique,22193.62659
Myanmar,24007.10239
Namibia,433.65009
Nauru,5.6777
Nepal,1967.92256
Netherlands,1317024.9548300002
New Caledonia,0.1824
New Zealand,31983.218890000004
Nicaragua,1666.09571
Niger,5451.80011
Nigeria,173138.49824000002
Niue,16.2788
Northern Mariana Islands,19.66984
Norway,371259.09054
Occ.Pal.Terr,1862.88029
Oman,224613.09298000002
"Other Asia, nes",318156.72376
Pakistan,95124.33978
Palau,29.00645
Panama,4931.0462400000015
Paraguay,78665.73963999999
Peru,23270.761400000003
Philippines,38355.86943
Pitcairn,2.021
Poland,569223.57185
Portugal,350145.66832
Qatar,682358.29379
Romania,1257412.2506799998
Russian Federation,5422589.002970001
Rwanda,746.1672599999999
San Marino,21999.905
Sao Tome and Principe,462.21656
Saudi Arabia,2589466.9601800004
Senegal,91342.62152
"Serbia, FR(Serbia/Montenegro)",61415.79556
Seychelles,1612.1549499999999
Sierra Leone,34518.116819999996
Singapore,129201.19021999999
Slovak Republic,175325.74803
Slovenia,69556.58482
Solomon Islands,7.12325
Somalia,2441.57444
South Africa,243049.22915000003
Spain,2442187.80774
Sri Lanka,95301.51447
St. Kitts and Nevis,1.59152
Sudan,194789.86875
Suriname,159.41344999999998
Swaziland,1592.20116
Sweden,432125.94151000003
Switzerland,4516545.015869999
Syrian Arab Republic,1246381.8215700001
Tajikistan,831.2816599999999
Tanzania,18372.915780000003
Thailand,714215.65919
Togo,90673.69095
Tokelau,62.38553
Trinidad and Tobago,301.87594
Tunisia,329278.39939000004
Turkey,4250313.304759999
Turkmenistan,265.27411
Turks and Caicos Isl.,6.42472
Tuvalu,6.97816
Uganda,23065.01774
Ukraine,1161795.13311
United Arab Emirates,4055737.71558
United Kingdom,2232687.81295
United States,7688540.38104
Unspecified,140682.70958999998
Uruguay,1910.5231999999999
Uzbekistan,1274.92375
Venezuela,48748.89419
Vietnam,722019.0165900001
Wallis and Futura Isl.,35.80688
Yemen,44956.849440000005
Zambia,21143.68388
Zimbabwe,7377.20167
