Partner,Value
Afghanistan,2.7903000000000002
Albania,0.80684
Andorra,79.44658
Anguila,221.91603
Antigua and Barbuda,13292.521260000001
Argentina,2449.92179
Aruba,579.66104
Australia,8534.81078
Austria,1180.08021
BLM,1782.39908
"Bahamas, The",621.7701
Bahrain,0.39996
Bangladesh,53.27611
Barbados,101764.90619000001
Belgium,16090.46005
Belize,13831.555199999999
Bermuda,3262.7653800000003
Bolivia,2.7917699999999996
Bosnia and Herzegovina,130.53354
Brazil,16912.26198
British Virgin Islands,1768.0642699999999
Bulgaria,117.18897
Cambodia,22.639969999999998
Cameroon,4.12265
Canada,41755.48792
Cape Verde,0.47868
Cayman Islands,321.92283999999995
Chile,9254.32333
China,152961.67101000002
Colombia,18783.82652
Costa Rica,9869.60971
Cote d'Ivoire,1.20064
Cuba,298.42608
Curaçao,5293.296739999999
Cyprus,149.99489
Czech Republic,230.02983
Denmark,4599.3978
Djibouti,0.84985
Dominica,32132.869310000002
Dominican Republic,27116.52626
Ecuador,988.90328
"Egypt, Arab Rep.",118.84752
El Salvador,320.19188
Eritrea,11.05385
Estonia,23.1976
Faeroe Islands,0.90415
Falkland Island,7.9388
Finland,11723.01346
France,74979.19918000001
Gabon,8.17408
"Gambia, The",1.4455
Georgia,968.8344099999999
Germany,22412.971579999998
Ghana,3.03412
Gibraltar,111.60792
Greece,643.02125
Grenada,18699.03695
Guatemala,7585.0769
Guinea,3.43823
Guyana,40326.19606
Haiti,2071.00704
Holy See,2.0997
Honduras,10622.95904
"Hong Kong, China",9029.0363
Hungary,8075.940070000001
Iceland,4.04723
India,15491.97169
Indonesia,8869.52475
"Iran, Islamic Rep.",173.06617
Ireland,6743.17224
Israel,111.01975
Italy,12910.194280000002
Jamaica,37770.04163000001
Japan,107561.02268000001
Jordan,0.6613
"Korea, Dem. Rep.",2972.4356300000004
"Korea, Rep.",14242.32695
Kyrgyz Republic,17.71472
Latvia,32.92267
Lithuania,122.09789
Luxembourg,62.19883
Macao,1.02256
"Macedonia, FYR",21.280299999999997
Madagascar,15.23206
Malawi,2.60323
Malaysia,4793.65167
Maldives,28.39189
Mali,15.28524
Malta,10.44996
Mauritania,39.5757
Mauritius,0.15905
Mexico,43857.79493
Montserrat,171.03596
Morocco,2.63727
Namibia,26.753
Netherlands,33290.37651
New Zealand,13938.46637
Nicaragua,1.61901
Niger,119.31472000000001
Nigeria,62.85794
Norway,3021.0093399999996
"Other Asia, nes",4703.84584
Pakistan,865.3844799999999
Panama,20681.36984
Paraguay,15.09365
Peru,14039.02339
Philippines,338.50856
Poland,2470.89615
Portugal,1415.01452
Romania,18.5754
Russian Federation,1199.8863099999999
Saint Maarten (Dutch part),1717.6111
San Marino,15.773060000000001
Saudi Arabia,681.29899
Senegal,0.2776
"Serbia, FR(Serbia/Montenegro)",0.2848
Sierra Leone,5.18342
Singapore,1207.38428
Slovak Republic,138.51353999999998
Slovenia,262.41107
South Africa,1376.71703
Spain,10606.67108
Sri Lanka,366.55978999999996
St. Kitts and Nevis,10719.18228
St. Vincent and the Grenadines,28747.67874
Sudan,0.9457500000000001
Suriname,8479.00891
Swaziland,24.94788
Sweden,1611.93525
Switzerland,4043.8425899999997
Syrian Arab Republic,51.69496
Thailand,33672.702040000004
Tokelau,3.5339
Trinidad and Tobago,438685.56914000004
Tunisia,1.06256
Turkey,12768.0206
Turks and Caicos Isl.,654.4487
Ukraine,1386.9766
United Arab Emirates,1202.38334
United Kingdom,162470.69183
United States,1292093.7362100002
Unspecified,27056.45388
Uruguay,492.92003
Venezuela,822.28151
Vietnam,8016.45617
