Partner,Value
Afghanistan,2920.0237042118497
Albania,33174.84143488458
Algeria,7289.58232126668
American Samoa,211.60040168147
Andorra,1231.06751431557
Angola,17020.743843469038
Anguila,1.46666405744
Antarctica,2.38639937035
Antigua and Barbuda,1265.69103219822
Argentina,74007.484667073
Armenia,1876.13689951489
Aruba,0.5289936290999999
Australia,1551790.409703198
Austria,767120.3674001836
Azerbaijan,229002.653270277
"Bahamas, The",151.34457506951
Bahrain,206892.90030975195
Bangladesh,943106.808564812
Barbados,972.90564630307
Belarus,175759.61798252285
Belgium,2008569.53298828
Belize,2480.2703456059203
Benin,963.75476509235
Bermuda,5.9118131395799995
Bhutan,0.5464925327900001
Bolivia,35069.83827900279
Bosnia and Herzegovina,6202.37240021863
Botswana,315.5526969056
Brazil,417305.2971189332
British Indian Ocean Ter.,1.25831025
British Virgin Islands,78.07356811473
Brunei,16182.76080441148
Bulgaria,58505.25600046455
Burkina Faso,4243.2687766689
Burundi,1798.04385710379
Cambodia,29377.03068042925
Cameroon,2839.87487733354
Canada,2052012.7043680302
Cape Verde,254.70169876761
Cayman Islands,4.70601322512
Central African Republic,11644.022918277149
Chad,323.15517473448
Chile,218651.37922881666
China,20224136.286431953
Christmas Island,7.9934354368400005
Cocos (Keeling) Islands,5.519312268349999
Colombia,59948.21607548425
Comoros,2.11490362222
"Congo, Rep.",12880.95499272175
Cook Islands,13.68811400152
Costa Rica,17148.80514262085
Cote d'Ivoire,22275.69579507229
Croatia,9858.006851236409
Cuba,102.20076963512999
Curaçao,112.76928811061
Cyprus,106844.6038764961
Czech Republic,157919.00741854118
Denmark,318780.02602331236
Djibouti,2255.74576435989
Dominica,284.33526829947
Dominican Republic,9465.202090358729
East Timor,705.01567118073
Ecuador,74147.82008279173
"Egypt, Arab Rep.",160991.91853532253
El Salvador,8135.17854360613
Equatorial Guinea,51.97860577008
Eritrea,107.85589255970001
Estonia,39625.03119839667
Ethiopia(excludes Eritrea),93344.52069311096
Faeroe Islands,0.07722110192
Falkland Island,8.8862988353
Fiji,16395.0781230188
Finland,96427.51087982306
France,1904054.3466986017
French Polynesia,6639.84974739081
Gabon,1186.78784601801
"Gambia, The",13779.0360626251
Georgia,20286.53696984212
Germany,4918225.020544518
Ghana,52085.02104994691
Gibraltar,2.2249950891
Greece,64146.39124005953
Grenada,183.54171992995
Guam,37.961216464299994
Guatemala,47280.965252308786
Guinea,42563.07754966346
Guinea-Bissau,1462.26464717472
Guyana,1108.77050109639
Haiti,83740.57622977855
Holy See,7.78212896279
Honduras,7255.30269367721
"Hong Kong, China",2260938.7940904414
Hungary,214558.3988848087
Iceland,1778.79850663054
India,20638779.8091633
Indonesia,2024929.994174618
"Iran, Islamic Rep.",488313.7881793922
Iraq,696391.3041896084
Ireland,494277.81434855284
Israel,840100.8897840274
Italy,4060763.398008045
Jamaica,5567.49921558072
Japan,5551320.24283028
Jordan,156795.62264537267
Kazakhstan,31921.82249123467
Kenya,118022.12144145549
Kiribati,177.48862327441
"Korea, Dem. Rep.",3768.50650662825
"Korea, Rep.",1566875.0936664524
Kuwait,189032.68940766036
Kyrgyz Republic,18701.3887017743
Lao PDR,249.75352894418998
Latvia,32794.09625109935
Lebanon,100616.2035364971
Lesotho,2449.6181498001097
Liberia,2918.81146454925
Libya,184767.39204258524
Lithuania,54982.226220555545
Luxembourg,8719.5610984583
Macao,3796.22189374947
"Macedonia, FYR",1398.67954717319
Madagascar,205095.77546389794
Malawi,6837.39833678834
Malaysia,4015867.1449679644
Maldives,615780.7117866862
Mali,1478.61752024059
Malta,13145.17955518644
Marshall Islands,441.41752527099
Mauritania,2738.6250161604603
Mauritius,31021.645464158573
Mexico,782408.6014411008
"Micronesia, Fed. Sts.",3.51428524764
Moldova,2436.2196302523603
Mongolia,21018.22327944601
Montenegro,5185.167411992031
Morocco,46746.808941546384
Mozambique,8419.79738324173
Myanmar,259440.24147017347
Namibia,1462.91311786203
Nauru,21.01648794016
Nepal,37052.72693465669
Netherlands,1954226.5461910963
New Caledonia,1120.98337189023
New Zealand,1221802.169856629
Nicaragua,6587.0568895591405
Niger,724.45479972493
Nigeria,50546.03463562003
Northern Mariana Islands,1.14018343905
Norway,125412.37581432611
Oman,807437.5120715654
"Other Asia, nes",2181949.57688804
Pakistan,2024134.4508979467
Panama,61809.17091352408
Papua New Guinea,9304.13348478534
Paraguay,17487.03147458089
Peru,112358.75853056273
Philippines,238381.11941236834
Pitcairn,30.065785489
Poland,391134.69911835884
Portugal,83937.3858218219
Qatar,281571.4425948038
Romania,111027.75296317527
Russian Federation,1555175.7224890282
Rwanda,5001.96093142028
Saint Helena,191.83774822821
Saint Pierre and Miquelon,0.0560926747
San Marino,975.0292812283001
Sao Tome and Principe,23.1150931458
Saudi Arabia,1866652.1212547906
Senegal,28948.63997953538
"Serbia, FR(Serbia/Montenegro)",10549.359863334059
Seychelles,30214.95598156331
Sierra Leone,60149.22287759176
Singapore,3819536.061206638
Slovak Republic,173448.4707910785
Slovenia,46590.8267807269
Solomon Islands,1269.28322933163
Somalia,2430.50124021688
South Africa,889361.4993853974
Spain,768952.0760735645
St. Kitts and Nevis,1.96727576652
St. Lucia,24.55493863932
St. Vincent and the Grenadines,7.851632260400001
Sudan,14495.18685275433
Suriname,6816.057769067849
Swaziland,21669.16252886426
Sweden,574954.2076265864
Switzerland,1125673.222448327
Syrian Arab Republic,221754.42553726363
Tajikistan,1148.41572730103
Tanzania,30076.01956430894
Thailand,2372074.762425511
Togo,2445.65950498637
Tokelau,467.45748188854
Tonga,34.490500091550004
Trinidad and Tobago,5277.8826227011505
Tunisia,22582.57610341525
Turkey,1359395.0332807808
Turkmenistan,1685.8371808289203
Turks and Caicos Isl.,19.2258842281
Uganda,55879.19427297711
Ukraine,418145.186213525
United Arab Emirates,7543190.897893744
United Kingdom,6565375.945711813
United States,17666626.38074152
United States Minor Outlying I,79.37699603843
Unspecified,336083.1360585833
Uruguay,13753.986847469048
Uzbekistan,29535.4722111424
Vanuatu,2624.42942546594
Venezuela,22074.326497328373
Vietnam,1763341.9520065733
Wallis and Futura Isl.,15.13380922655
Western Sahara,6.795628649999999
Yemen,26847.800708109724
Zambia,24005.801093552138
Zimbabwe,2609.0029311153
