Partner,Value
Angola,40.90137
Argentina,15.247200000000001
Australia,2838.6313999999998
Austria,654.93523
Bahrain,1.7637099999999999
Bangladesh,31211.68687
Belgium,450696.3126
Benin,0.21928
Bosnia and Herzegovina,1.4586999999999999
Botswana,16962.53043
Brazil,248.25181
Bulgaria,0.41773
Cambodia,206.56089000000003
Cameroon,26.42986
Canada,18365.26082
Chile,472.85324
China,500539.89729
Colombia,0.1688
Comoros,0.1733
"Congo, Rep.",0.62773
Cote d'Ivoire,1.33545
Croatia,106.6614
Cuba,4.19435
Curaçao,36.0563
Cyprus,1496.8761
Czech Republic,7.79342
Denmark,6645.02499
"Egypt, Arab Rep.",51.854020000000006
El Salvador,15.129649999999998
Ethiopia(excludes Eritrea),1.60926
Finland,4.99076
France,6408.969359999999
Germany,25396.570890000003
Ghana,51.12537
Greece,0.57948
Grenada,36.707100000000004
Guatemala,135.7488
Guinea,8.0275
Haiti,421.0344
"Hong Kong, China",80730.10657833607
Hungary,0.0998
India,178287.11244000003
Indonesia,1239.52315
Ireland,1405.29888
Israel,1155.4273
Italy,7899.6431299999995
Jamaica,1.99113
Japan,126171.06455
Jordan,66.20188
Kenya,1164.91182
"Korea, Rep.",1437.61434
Kuwait,45.76829
Liberia,1.2957400000000001
Lithuania,0.91215
Madagascar,1611.3854000000001
Malawi,49.54742
Malaysia,5219.67181
Mauritius,4125.54804
Mexico,11257.99533
Moldova,84.62886
Mozambique,6469.42304
Myanmar,1.06256
Netherlands,15578.46277
New Zealand,2093.0677400000004
Nigeria,172.79116000000002
Norway,33.80764
"Other Asia, nes",413172.2502988243
Pakistan,38042.75537
Panama,13.57996
Papua New Guinea,0.15492
Paraguay,0.00065
Philippines,595.2622200000001
Poland,88.10746
Qatar,65.8626
Rwanda,0.9722
Saudi Arabia,15.17932
"Serbia, FR(Serbia/Montenegro)",274.91924
Seychelles,0.51131
Sierra Leone,17.56315
Singapore,3983.25104
Slovak Republic,0.21766000000000002
Slovenia,24.415960000000002
South Africa,5709516.27906
Spain,41283.84968000001
Sri Lanka,4418.27956
Sudan,4.57915
Swaziland,43202.06176
Sweden,2284.29194
Switzerland,2369.58762
Tanzania,5451.377579999999
Thailand,8730.66496
Togo,5.09914
Turkey,12221.009600000001
Uganda,530.38341
Ukraine,644.8146100000001
United Arab Emirates,6358.83673
United Kingdom,11710.258460000001
United States,1237519.5499999998
Unspecified,8863.89462
Vietnam,27545.413829999998
Zambia,44597.359359999995
Zimbabwe,23133.355
