Partner,Value
Afghanistan,25487.761
Albania,28739.546
Algeria,196951.421
Andorra,9119.096
Angola,65271.63999999999
Antigua and Barbuda,7.7700000000000005
Argentina,363390.253
Armenia,108729.419
Aruba,684.8439999999999
Australia,286037.08900000004
Austria,2811032.549
Azerbaijan,219956.926
BLM,374.11
"Bahamas, The",2002.39
Bahrain,5435.275
Bangladesh,70108.282
Barbados,1238.642
Belarus,9616932.173999999
Belgium,7073964.637
Belize,52122.68199999999
Benin,21431.601
Bermuda,13168.965
Bhutan,23.164
Bolivia,5802.085999999999
Bonaire,17.395
Bosnia and Herzegovina,77424.829
Botswana,1613.686
Brazil,196671.745
British Virgin Islands,11.515
Brunei,468.921
Bulgaria,861393.535
Bunkers,301102.138
Burkina Faso,4878.365
Burundi,394.858
Cambodia,10423.386
Cameroon,16128.918
Canada,785292.5129999999
Cape Verde,47.253
Central African Republic,139.708
Chad,120.44800000000001
Chile,126737.706
China,6082364.835999999
Colombia,18678.122
Comoros,32.999
"Congo, Dem. Rep.",1270.534
"Congo, Rep.",1331.9
Costa Rica,62803.485
Cote d'Ivoire,32472.696
Croatia,376345.076
Cuba,6227.958
Curaçao,78.19
Cyprus,188241.09399999998
Czech Republic,4906471.387999998
Denmark,5923065.214
Djibouti,359.91700000000003
Dominica,1213.717
Dominican Republic,9940.635
Ecuador,74462.826
"Egypt, Arab Rep.",287619.439
El Salvador,976.956
Equatorial Guinea,449.552
Eritrea,19.29
Estonia,12799736.89896
Ethiopia(excludes Eritrea),8560.216
Faeroe Islands,116610.38500000001
Fiji,911.163
Finland,6684666.425999999
France,9134316.04451
French Polynesia,485.72900000000004
Gabon,2334.097
"Gambia, The",3373.494
Georgia,339914.48
Germany,30181652.969469998
Ghana,19491.729
Gibraltar,1247.684
Greece,494264.745
Greenland,906.942
Grenada,750.3679999999999
Guam,8.175
Guatemala,6980.03
Guinea,5864.531
Guinea-Bissau,1901.72
Guyana,3753.4120000000003
Haiti,938.825
Honduras,3057.194
"Hong Kong, China",296305.672
Hungary,2279067.6859999998
Iceland,258686.368
India,484678.13300000003
Indonesia,128563.16100000001
"Iran, Islamic Rep.",22541.894
Iraq,24445.514
Ireland,1246101.565
Israel,446263.059
Italy,11144847.632000003
Jamaica,3783.629
Japan,1147840.429
Jordan,22726.389000000003
Kazakhstan,5308169.184
Kenya,64991.579
"Korea, Rep.",640846.272
Kuwait,17663.715
Kyrgyz Republic,720680.755
Lao PDR,845.156
Latvia,24518189.84029
Lebanon,20129.993
Lesotho,0.335
Liberia,5550.227
Libya,293159.548
Luxembourg,305170.99
Macao,906.0770000000001
"Macedonia, FYR",34929.69
Madagascar,1745.732
Malawi,7930.947
Malaysia,178215.537
Maldives,1622.181
Mali,5323.977
Malta,45808.426999999996
Marshall Islands,6498.951
Mauritania,10237.053
Mauritius,6355.773
Mexico,157104.608
Moldova,165250.37
Mongolia,86654.093
Montenegro,9453.159
Morocco,354360.684
Mozambique,38617.724
Myanmar,25016.104999999996
Namibia,9770.383
Nepal,13945.255
Netherlands,14118431.036900003
New Caledonia,3153.3730000000005
New Zealand,116925.467
Nicaragua,7796.272000000001
Niger,38.683
Nigeria,235821.814
Norway,5928414.874999999
Occ.Pal.Terr,5691.789
Oman,18542.377
"Other Asia, nes",457487.424
Pakistan,166981.396
Panama,3800.5330000000004
Papua New Guinea,958.8100000000001
Paraguay,8189.349999999999
Peru,43096.929000000004
Philippines,52717.153
Poland,29508639.08857
Portugal,805664.37295
Qatar,68278.515
Romania,1067357.79088
Russian Federation,42586979.030880004
Rwanda,27335.147999999997
Saint Maarten (Dutch part),1080.9270000000001
San Marino,2621.384
Saudi Arabia,3224910.403
Senegal,11172.166
"Serbia, FR(Serbia/Montenegro)",337802.424
Seychelles,609.086
Sierra Leone,3942.798
Singapore,1095135.242
Slovak Republic,1393562.756
Slovenia,915634.6140000001
Somalia,243.285
South Africa,730993.815
South Sudan,216.35
Spain,4532451.32695
Special Categories,1474028.434
Sri Lanka,23594.046000000002
St. Lucia,496.74699999999996
St. Vincent and the Grenadines,579.836
Sudan,195339.43899999998
Suriname,542.423
Swaziland,11.899999999999999
Sweden,12143580.114950001
Switzerland,1128113.419
Syrian Arab Republic,4304.185
Tajikistan,187496.269
Tanzania,6370.122
Thailand,193631.007
Togo,16500.519999999997
Trinidad and Tobago,7911.154
Tunisia,40589.15
Turkey,2013347.9849999999
Turkmenistan,88227.96100000001
Uganda,3076.638
Ukraine,6733258.575999999
United Arab Emirates,383474.023
United Kingdom,9799776.409669999
United States,7690349.954999998
Unspecified,2815.444
Uruguay,12555.367999999999
Uzbekistan,1048986.866
Vanuatu,140.06
Venezuela,842.7030000000001
Vietnam,249734.399
Yemen,3930.996
Zambia,7257.383
Zimbabwe,1391.55
