Partner,Value
Afghanistan,21803.67277308633
Albania,3977.2734599826153
Algeria,36496.614337562496
American Samoa,11.0307514701844
Andorra,9888.694860636182
Angola,18390.4348938275
Anguila,147.792277218246
Antarctica,88.86315188918441
Antigua and Barbuda,1402.073481922133
Argentina,70447.34261022718
Armenia,17667.183158433574
Aruba,794.465283998364
Australia,149370.29399646685
Austria,1945685.1063778882
Azerbaijan,135110.93393589958
BLM,9.062422959394
"Bahamas, The",1648.2632487471417
Bahrain,6753.899696060577
Bangladesh,140323.28156714828
Barbados,2247.6368410811438
Belarus,25370.441901228784
Belgium,34071136.64522814
Belize,483.3350981024332
Benin,5127.336596374078
Bermuda,654.4482106587184
Bhutan,123.5775313383128
Bolivia,2634.5921431801007
Bosnia and Herzegovina,21691.646422754093
Botswana,404.4684679355704
Bouvet Island,84.6842223498664
Brazil,230358.72390843745
British Virgin Islands,197385.69041046212
Brunei,854.3698592992839
Bulgaria,181584.63222148956
Burkina Faso,17745.29535145907
Burundi,0.5003551437220001
Cambodia,72459.16694096925
Cameroon,29116.15490946234
Canada,1002242.6217571339
Cape Verde,248.17459494842
Cayman Islands,33.3041356928072
Central African Republic,1950.9314074018941
Chad,2461.7005291674
Chile,77753.03694053972
China,4076553.2543347236
Christmas Island,24.784567844032
Cocos (Keeling) Islands,1.4822468385584
Colombia,34260.85660679239
"Congo, Dem. Rep.",6455.883891729605
"Congo, Rep.",2760.766622398594
Cook Islands,178.4259450147992
Costa Rica,11290.68877887272
Cote d'Ivoire,240349.08292725464
Croatia,88628.3518173784
Cuba,21484.27020598731
Curaçao,611.2397051443864
Cyprus,31467.104119945812
Czech Republic,1821146.4610725194
Denmark,748926.8011555346
Djibouti,1487.8873757063793
Dominica,8.4227363441704
Dominican Republic,26908.999733953115
East Timor,38.56590076424
Ecuador,50194.91797629138
"Egypt, Arab Rep.",98954.14966349443
El Salvador,538.4921167519296
Equatorial Guinea,18.557689224508
Eritrea,8086.234457547657
Estonia,60501.88183216397
Ethiopia(excludes Eritrea),18944.739491542652
Faeroe Islands,6902.450393857147
Falkland Island,47.83299189454999
Fiji,156.6769844833576
Finland,464471.2808299947
Fr. So. Ant. Tr,0.4794095239904
France,21916201.86480952
