Partner,Value
Afghanistan,8714.650667212209
Albania,12228.60817148447
Algeria,30776.12811048835
American Samoa,9.01510756336
Andorra,1244.07170947843
Angola,15356.91307365413
Anguila,19.11041383743
Antigua and Barbuda,353.03054247094
Argentina,52605.05698380803
Armenia,47232.48915557509
Aruba,26.333567220939997
Australia,96052.02199576418
Austria,1108463.0703919183
Azerbaijan,84843.0444724787
"Bahamas, The",2035.7803401087301
Bahrain,27937.12786473821
Bangladesh,24932.776719726207
Barbados,376.49005790484
Belarus,2483080.4231101284
Belgium,2119618.377550641
Belize,133.2791362151
Benin,10410.44776432495
Bermuda,310.28269125936
Bolivia,5653.1023529384
Bosnia and Herzegovina,19767.09109167358
Botswana,194.72692093525
Brazil,113883.43305325726
British Virgin Islands,976.86322634399
Brunei,21.108031446240002
Bulgaria,398876.86529261095
Bunkers,205447.46551791747
Burkina Faso,2945.84270852757
Burundi,2414.1807435352503
Cambodia,3211.50426570751
Cameroon,1940.13737001398
Canada,3461623.209026286
Cape Verde,13.9534113727
Cayman Islands,225.76448038728
Central African Republic,151.0481957659
Chad,1196.57607906806
Chile,39692.33274950716
China,3401983.7659889148
Colombia,23268.32974458979
Comoros,1348.7299205144
"Congo, Dem. Rep.",25655.86451693585
"Congo, Rep.",14943.62130908699
Costa Rica,3067.22853077155
Cote d'Ivoire,6527.85534937515
Croatia,120605.53167055828
Cuba,1644.66620574909
Curaçao,6930.31086588677
Cyprus,91210.64287783884
Czech Republic,2038447.2835062905
Denmark,4146625.841383935
Djibouti,307.12163375111
Dominica,79.44843314991
Dominican Republic,7236.284147896939
East Timor,15.82095295899
Ecuador,15411.07581804523
"Egypt, Arab Rep.",219018.87386800858
El Salvador,1475.52917782214
Equatorial Guinea,4221.764062383811
Eritrea,51.3378118508
Estonia,13577001.636147548
Ethiopia(excludes Eritrea),903.3026914449301
Faeroe Islands,34812.479925189255
Falkland Island,246.12049707154998
Fiji,94.48932397403999
Finland,4730772.2301180195
Fr. So. Ant. Tr,0.783338542
France,2657840.7614214467
French Polynesia,311.32332258066003
Gabon,1588.62777509658
"Gambia, The",1856.13828113369
Georgia,244383.1742489215
Germany,13239699.515390333
Ghana,11814.272945148929
Gibraltar,13704.4322782587
Greece,194847.79301924774
Greenland,210.29592461699
Grenada,110.12005400333
Guam,116.9535330132
Guatemala,7347.51307526851
Guinea,2603.13029856467
Guinea-Bissau,34.2960752665
Guyana,1394.40680699765
Haiti,53.8736294287
Honduras,4872.30140680751
"Hong Kong, China",254983.5492835832
Hungary,1180975.0407691456
Iceland,188364.68984709104
India,418188.42835029564
Indonesia,144625.32283195402
"Iran, Islamic Rep.",6867.80133312157
Iraq,17708.34076615851
Ireland,709236.6987225653
Israel,217892.05111640014
Italy,3444337.0515666637
Jamaica,153.4876611829
Japan,404598.0860599021
Jordan,12832.72748682076
Kazakhstan,333824.0736415082
Kenya,152903.3144232664
"Korea, Rep.",452172.5332219902
Kuwait,58250.727143043754
Kyrgyz Republic,51475.13812566555
Lao PDR,545.84492525475
Lebanon,18751.05924107743
Liberia,851.02269976709
Libya,9490.47484733366
Lithuania,23876542.70676971
Luxembourg,80829.08974834418
Macao,5772.10698901484
"Macedonia, FYR",24980.816624815452
Madagascar,9777.477456471139
Malawi,1293.76433072702
Malaysia,97117.58545933152
Maldives,691.93599305084
Mali,1061.12938274226
Malta,54359.41455098619
Marshall Islands,8481.40936487168
Mauritania,33579.91415836524
Mauritius,1357.55363886864
Mexico,145043.17978279758
Moldova,144823.9141186396
Mongolia,11194.23672906878
Montenegro,1692.1245606542
Morocco,26784.7804753454
Mozambique,32104.5840309309
Myanmar,3940.9671891058997
Namibia,1101.84076793411
Nepal,1866.85671539846
Netherlands,4743743.128273241
New Caledonia,600.61771094365
New Zealand,49070.61364942539
Nicaragua,1126.29891858334
Niger,41349.402760094
Nigeria,300320.4716106722
Norway,1681140.7696075083
Occ.Pal.Terr,241.07511360086002
Oman,16993.61353996113
"Other Asia, nes",407207.9139715389
Pakistan,83590.10763325781
Palau,137.3409552434
Panama,6953.31221363872
Papua New Guinea,387.30315424025
Paraguay,61674.347885334915
Peru,28900.77473392846
Philippines,18038.59778309899
Poland,9407566.337481154
Portugal,273900.64460947097
Qatar,13727.04406058822
Romania,496224.60853198543
Russian Federation,10991171.558735348
Rwanda,3234.35171773807
Saint Helena,145.4869724682
Saint Maarten (Dutch part),299.26554466749997
San Marino,1831.42043307655
Sao Tome and Principe,14.8373885166
Saudi Arabia,436801.9020643038
Senegal,10970.55358603455
"Serbia, FR(Serbia/Montenegro)",79864.66114453223
Seychelles,4323.72966823417
Sierra Leone,21696.57453448809
Singapore,101259.965855872
Slovak Republic,1057505.331225533
Slovenia,306510.86992031056
Solomon Islands,392.3515768824
Somalia,442.85352680093
South Africa,214801.52951374045
South Sudan,137.50974439383998
Spain,2005278.4022398544
Sri Lanka,33779.73804230586
St. Kitts and Nevis,1459.6812458450001
St. Vincent and the Grenadines,205.73952597147
Sudan,52561.13215482545
Suriname,730.25016170056
Sweden,6603007.677885934
Switzerland,692587.281413444
Syrian Arab Republic,847.32678013886
Tajikistan,39387.280149318256
Tanzania,32871.0034042763
Thailand,140680.70835628101
Togo,2871.77542842952
Tokelau,0.7889338173
Trinidad and Tobago,1698.0081975909
Tunisia,11010.31518079116
Turkey,1261854.9615312507
Turkmenistan,17617.02307614444
Uganda,4997.836553970839
Ukraine,1666567.1416627243
United Arab Emirates,275117.65338320885
United Kingdom,5026092.010658673
United States,1841267.897916387
United States Minor Outlying I,9.77085695012
Unspecified,17271.64337401065
Uruguay,2213.0051354142897
Uzbekistan,338003.9814054155
Vanuatu,17.30916764429
Venezuela,751.27874709969
Vietnam,945909.4915780782
Yemen,1361.29906556257
Zambia,611.01741517479
Zimbabwe,3412.5996470604596
