Partner,Value
Albania,2491.8193886345
Argentina,19031.378865882998
Armenia,463.3296910565
Australia,518816.9443101485
Austria,54803.080823499
Bangladesh,61705.5434608785
Barbados,42.792048292
Belarus,78.74620601149999
Belgium,145738.307731323
Belize,0.9259682205
Bolivia,77.2454262595
Bosnia and Herzegovina,207.48230508
Brazil,267518.5113478055
Brunei,1.486902
Bulgaria,19600.2870247175
Cambodia,55806.4270523535
Cameroon,42.041658416
Canada,182825.126679258
Chile,17245.665322708002
China,16870923.697388116
Colombia,5541.096179893
Costa Rica,701.645015551
Cote d'Ivoire,1.834341434
Croatia,2807.5751713675
Cuba,20332.7770788075
Cyprus,1969.736499767
Czech Republic,8430.639673906
Denmark,64134.7753031695
Dominican Republic,1586.215901835
Ecuador,4726.842376091
"Egypt, Arab Rep.",6754.822809734
El Salvador,2.28982908
Estonia,148.347469089
Ethiopia(excludes Eritrea),843.1312992695
Faeroe Islands,122.9667954
Falkland Island,8.977170825
Fiji,6023.468748772
Finland,9750.5173527035
France,5124981.383753695
Gabon,187.54109063250002
Georgia,63.911756483000005
Germany,1036364.2420844055
Ghana,123.339512168
Greece,9411.3587237585
Greenland,100.1428497
Guatemala,162.677239297
Guyana,5.37267256
Haiti,0.9259682205
Honduras,219.2777747375
"Hong Kong, China",6902862.373882832
Hungary,26611.459049852998
Iceland,2934.1900808245
India,69380.9303457935
Indonesia,225518.7900114475
"Iran, Islamic Rep.",387.0233673185
Iraq,6.83479286
Ireland,237091.5737909175
Israel,14427.5775063835
Italy,5151015.431671719
Jamaica,208.187096628
Japan,3420552.1699657273
Jordan,182.1399191175
Kazakhstan,78.90245463
Kenya,1646.244365928
"Korea, Dem. Rep.",24.236502599999998
"Korea, Rep.",1259109.77499437
Kuwait,10.269040846
Lao PDR,3003.5101955155
Latvia,667.1822205375
Lebanon,269.52329103
Lithuania,2857.38205157
Luxembourg,44.580543581
"Macedonia, FYR",51.6280873355
Madagascar,547.801708853
Malawi,0.338022388
Malaysia,414515.3170716405
Maldives,124.97758253800001
Malta,66.961392485
Marshall Islands,2.703187836
Mauritania,9.380369084
Mauritius,3796.9482386769996
Mexico,29397.467822887
"Micronesia, Fed. Sts.",27.966891901
Moldova,608.6262850585
Morocco,2551.0798678445
Mozambique,118.073153101
Myanmar,13470.119799236
Namibia,4.021078642
Nepal,64.6431883585
Netherlands,466824.7615122615
New Caledonia,61.454650928
New Zealand,235148.595207817
Nicaragua,679.519665974
Niger,617.5858608765
Nigeria,6130.711555522
Norway,47527.261802442496
Occ.Pal.Terr,63.85996273
"Other Asia, nes",717057.7067700055
Pakistan,2235.931608487
Panama,207.5731300105
Papua New Guinea,74.354021412
Paraguay,0.5947608
Peru,5753.781155071
Philippines,123461.9884096485
Poland,44106.2574047395
Portugal,183517.9951318455
Qatar,30.8687050625
Romania,25111.1802599185
Russian Federation,15296.428616906502
Saudi Arabia,129348.1890917675
Senegal,20.331402314
"Serbia, FR(Serbia/Montenegro)",365.530322817
Seychelles,51.304314425
Singapore,563911.6076763549
Slovak Republic,20743.7124323645
Slovenia,18194.214752156502
Solomon Islands,303.9315663035
Somalia,10.1109336
South Africa,87994.868290144
Spain,287303.4706096549
Sri Lanka,11805.925676272498
St. Lucia,1.161270462
Swaziland,0.07682327
Sweden,82490.88691889
Switzerland,3557349.2690838235
Tanzania,5188.2978271765
Thailand,630746.4405150885
Trinidad and Tobago,13.216576244
Tunisia,7981.7582095835
Turkey,94323.1025094245
Uganda,6524.5236217385
Ukraine,4995.032783386499
United Arab Emirates,2960.4138279475
United Kingdom,952165.454673438
United States,2594425.4892554656
Unspecified,2.4533883000000003
Uruguay,357.3616549545
Venezuela,18.75726873
Vietnam,344670.98355705
Yemen,88.236977569
Zambia,0.6418460300000001
Zimbabwe,319.6116913445
