Partner,Value
Afghanistan,2640.6172471523
Albania,19414.16761166286
Algeria,2781137.1162512214
Andorra,3189.3021471215447
Angola,154566.485059533
Antigua and Barbuda,268.10597855686
Argentina,3904241.3508473355
Armenia,2721.684733882125
Aruba,113.5295076574
Australia,204907.48129671183
Austria,2158863.005946746
Azerbaijan,4367.779835879394
"Bahamas, The",30709.451174718397
Bahrain,330867.9198799976
Bangladesh,993452.454100319
Barbados,542.72213697085
Belarus,257492.1746649691
Belgium,5649422.920779263
Belize,6760.693816550401
Benin,494975.87636660325
Bermuda,36.5691161096
Bolivia,1165.3742788598001
Bosnia and Herzegovina,48108.35330392454
Botswana,519.4579472939
Brazil,6691575.060685482
Brunei,30.51862895
Bulgaria,908742.8072180287
Burkina Faso,314849.99529331655
Burundi,12045.1961437409
Cambodia,48340.872179944665
Cameroon,341062.12208870443
Canada,3043136.632524821
Cape Verde,2259.7280168026
Cayman Islands,467.0550178168
Central African Republic,13354.921344560147
Chad,20236.056705661253
Chile,223570.2862228171
China,25277499.192402072
Colombia,168250.31255499538
Comoros,10922.04298947956
"Congo, Dem. Rep.",252517.17364530783
"Congo, Rep.",126027.3348591465
Costa Rica,29919.919396234953
Cote d'Ivoire,882227.2388795179
Croatia,175634.89225318586
Cuba,7470.823719408945
Curaçao,17556.468625083602
Cyprus,15219.677137594348
Czech Republic,2332072.091547099
Denmark,931527.7091158122
Djibouti,1115061.3696156011
Dominica,628.960300900235
Dominican Republic,29597.833219948392
East Timor,423.71170191560003
Ecuador,72355.49593907963
"Egypt, Arab Rep.",3361265.0015287166
El Salvador,6367.935461957624
Equatorial Guinea,32238.38065170768
Estonia,102468.90893309147
Ethiopia(excludes Eritrea),214132.9473706951
Faeroe Islands,0.0628049468
Falkland Island,36879.0310708892
Fiji,1.5551503052
Finland,1106054.3691541473
France,59796436.899721965
French Polynesia,1833.8918647743
Gabon,253410.30283799872
"Gambia, The",99870.38491096704
Georgia,11697.767454986617
Germany,16432471.968520708
Ghana,372360.123389171
Gibraltar,1892.6665120768098
Greece,766156.7951717426
Greenland,1912.179574404064
Grenada,257.01659020611
Guatemala,46533.89289515805
Guinea,328682.67976186716
Guinea-Bissau,12489.535121810462
Guyana,228.3392380052
Haiti,3446.1127339827003
Holy See,14.2669131302
Honduras,26228.674728035752
"Hong Kong, China",115682.32945395222
Hungary,1358847.6031539822
Iceland,7539.666262757196
India,9236547.420034667
Indonesia,727097.997098807
"Iran, Islamic Rep.",11794.906805588838
Iraq,298872.71826722537
Ireland,2102759.699139687
Italy,18779635.25415975
Jamaica,1849.4324497478
Japan,2847250.6309604608
Jordan,200503.5226358745
Kazakhstan,340022.9583589336
Kenya,90249.98077328345
"Korea, Dem. Rep.",484.992484957
"Korea, Rep.",2865451.519592374
Kuwait,164672.82771911798
Kyrgyz Republic,11.6954456892
Lao PDR,1585.0244555734
Latvia,260734.4067686549
Lebanon,394149.7709188895
Lesotho,30.1666508955
Liberia,13801.972823569891
Libya,487130.78227317595
Lithuania,468900.0597734017
Luxembourg,84951.44860500003
Macao,1785.4025486105838
"Macedonia, FYR",12322.66913697337
Madagascar,152987.553627953
Malawi,8237.514187231902
Malaysia,461188.82484008494
Maldives,602.9612833325001
Mali,307771.1061719555
Malta,41335.84092111323
Marshall Islands,6.51965259
Mauritania,859509.5966297572
Mauritius,27744.927521466336
Mexico,1801077.9824992071
Moldova,48083.3163926333
Mongolia,1713.9464782635
Montenegro,925.350301121232
Mozambique,115744.0295989331
Myanmar,21364.897120287387
Namibia,64827.91700408349
Nepal,2854.7931378005
Netherlands,6797713.782267027
New Caledonia,7569.9574962071
New Zealand,208274.75009175699
Nicaragua,1904.40949819925
Niger,116397.51182095885
Nigeria,416861.3069961715
Norway,989318.4943300211
Occ.Pal.Terr,14787.1062281129
Oman,457883.3853107522
"Other Asia, nes",583375.7158593677
Pakistan,1997625.2655552793
Palau,108.80645088
Panama,5023.164959408865
Paraguay,12587.824966494343
Peru,249767.5450575744
Philippines,140210.290202328
Poland,3400139.0828541904
Portugal,8451071.946670687
Qatar,414628.5263141999
Romania,3555514.809450995
Russian Federation,6960904.961730674
Rwanda,9553.0229635452
Saint Helena,661.709149108358
San Marino,2741.891367666
Sao Tome and Principe,317.97551869150004
Saudi Arabia,5715150.442661208
Senegal,1030667.0633151709
"Serbia, FR(Serbia/Montenegro)",115708.19371186077
Seychelles,800.0939494605
Sierra Leone,43991.35688564293
Singapore,2101761.757185113
Slovak Republic,1362678.588425881
Slovenia,748719.852927471
Solomon Islands,2.158660092
Somalia,6154.5216823036
South Africa,548044.0906344061
Spain,68974160.04853374
Sri Lanka,54426.72350843604
St. Kitts and Nevis,136.5072797417
St. Lucia,283.79697305941
St. Vincent and the Grenadines,238.64574813665
Sudan,19600.41427244623
Suriname,33646.838016645896
Swaziland,3090.337085830725
Sweden,2633281.942171088
Switzerland,2103664.2534834594
Syrian Arab Republic,284204.15851718065
Tajikistan,29.0842013985
Tanzania,140625.36909083385
Thailand,873196.5757762318
Togo,688860.6564566888
Tokelau,35.1660910315
Tonga,43.5364099181
Trinidad and Tobago,733858.7690353526
Tunisia,1454252.5394530415
Turkey,14992383.114150153
Turkmenistan,3570.4980351018003
Uganda,92425.94135612689
Ukraine,1763101.7610519202
United Arab Emirates,4147463.775186207
United Kingdom,7416339.319620224
United States,22250628.995071974
Unspecified,3190032.1135571627
Uruguay,108330.13526029976
Uzbekistan,32234.5440098079
Vanuatu,1343.9399726358
Venezuela,37612.966081427185
Vietnam,1269935.029893318
Yemen,15550.480780872058
Zambia,4547.5496013478005
Zimbabwe,3562.2816091312
