Partner,Value
Afghanistan,16653.183
Albania,3408.718
Algeria,87.752
American Samoa,70.702
Andorra,354.416
Angola,120.648
Antigua and Barbuda,180.756
Argentina,14498.286
Armenia,20624.947
Australia,5704.761
Austria,546109.926
Azerbaijan,24991.448999999997
"Bahamas, The",14.168
Bahrain,2783.823
Bangladesh,57803.721000000005
Barbados,154.168
Belarus,893448.7919999999
Belgium,248322.022
Belize,2980.928
Benin,25.122
Bolivia,68.159
Bosnia and Herzegovina,21277.374
Brazil,52690.167
British Virgin Islands,11.075
Brunei,48.401999999999994
Bulgaria,513832.649
Burkina Faso,486.327
Burundi,0.136
Cambodia,6378.231
Cameroon,700.3009999999999
Canada,55401.731
Central African Republic,0.056
Chile,9797.693
China,2861166.798
Colombia,3577.2
Comoros,24.924
"Congo, Dem. Rep.",80.65899999999999
"Congo, Rep.",172.54399999999998
Costa Rica,6078.639
Cote d'Ivoire,3153.0919999999996
Croatia,29432.042
Cuba,408.34
Curaçao,0.228
Cyprus,41985.539000000004
Czech Republic,840634.453
Denmark,58828.138
Dominica,26.276
Dominican Republic,416.627
Ecuador,68367.362
"Egypt, Arab Rep.",48851.682
El Salvador,329.93
Equatorial Guinea,27.118000000000002
Estonia,36791.477
Ethiopia(excludes Eritrea),5010.448
Faeroe Islands,10068.678
Falkland Island,491.18
Fiji,0.536
Finland,66685.99399999999
France,837391.213
French Polynesia,0.99
Gabon,106.272
"Gambia, The",36.97
Georgia,100953.282
Germany,3366866.922
Ghana,4165.336
Gibraltar,4087.252
Greece,259165.201
Greenland,2.448
Grenada,1.456
Guam,179.172
Guatemala,466.409
Guinea,391.16
Guyana,95.192
Haiti,12.07
Honduras,205.73
"Hong Kong, China",19227.777
Hungary,536690.003
Iceland,24426.11
India,170607.84300000002
Indonesia,76694.37700000001
"Iran, Islamic Rep.",7434.483
Iraq,34905.337
Ireland,37901.83
Israel,75692.074
Italy,3099551.2029999997
Jamaica,463.836
Japan,259391.227
Jordan,8411.027
Kazakhstan,88452.85399999999
Kenya,3639.5380000000005
Kiribati,0.036
"Korea, Dem. Rep.",198.54
"Korea, Rep.",188633.814
Kuwait,1536.579
Kyrgyz Republic,7066.308000000001
Lao PDR,5983.364
Latvia,85747.15399999998
Lebanon,59435.85
Lesotho,8.955
Liberia,790.584
Libya,1983.914
Lithuania,102857.98299999998
Luxembourg,8552.152
Macao,2.347
"Macedonia, FYR",25112.985999999997
Madagascar,623.183
Malawi,3.832
Malaysia,107028.39199999999
Maldives,116.82
Mali,1711.62
Malta,2350.79
Mauritania,21.386000000000003
Mauritius,519.242
Mexico,34495.364
Mongolia,3859.3630000000003
Montenegro,3270.885
Montserrat,0.29000000000000004
Morocco,50109.388999999996
Mozambique,103.703
Myanmar,10135.101
Namibia,10.244
Nepal,664.9580000000001
Netherlands,416386.86
New Caledonia,45.226
New Zealand,2170.752
Nicaragua,73.023
Niger,628.41
Nigeria,6612.656000000001
Norway,40477.525
Occ.Pal.Terr,4270.343999999999
Oman,8922.613000000001
"Other Asia, nes",113232.32299999999
Pakistan,35699.909999999996
Panama,86.97099999999999
Paraguay,211.38
Peru,4147.3330000000005
Philippines,18335.066
Poland,1394909.668
Portugal,128100.45000000001
Qatar,3378.1400000000003
Romania,7035093.414000001
Russian Federation,3574472.211
Samoa,28.5
San Marino,4694.752
Sao Tome and Principe,104.295
Saudi Arabia,26691.740999999998
Senegal,1800.352
"Serbia, FR(Serbia/Montenegro)",145214.999
Seychelles,65.00399999999999
Sierra Leone,455.26300000000003
Singapore,20176.247
Slovak Republic,211893.419
Slovenia,113625.316
Solomon Islands,49.71
Somalia,394.02
South Africa,20998.951
Spain,515669.49600000004
Sri Lanka,4196.81
Sudan,8.67
Suriname,87.239
Swaziland,6481.731
Sweden,121330.06099999999
Switzerland,517739.46699999995
Syrian Arab Republic,63698.25
Tajikistan,759.53
Tanzania,620.904
Thailand,47753.649
Togo,69.952
Tokelau,2.6750000000000003
Tonga,0.19
Trinidad and Tobago,272.666
Tunisia,16330.150000000001
Turkey,2552957.6720000003
Turkmenistan,19428.934999999998
Turks and Caicos Isl.,19.099
Tuvalu,0.02
Uganda,310.348
Ukraine,2643764.783
United Arab Emirates,31015.894
United Kingdom,513396.86199999996
United States,435975.524
Unspecified,259182.295
Uruguay,2372.506
Uzbekistan,54036.469
Venezuela,81.34400000000001
Vietnam,235702.597
Yemen,307.372
Zambia,5.912
Zimbabwe,2014.8
