Partner,Value
Afghanistan,435.83529331553166
Albania,56.067514641109994
Algeria,851.4198910714786
Andorra,81.77146855987999
Angola,104.8207339186736
Argentina,99736.49249936845
Australia,95619.07592758714
Austria,5212.279674039304
Bahrain,63302.05803529518
Bangladesh,4328.58252192834
Belarus,1.5560684851872
Belgium,821723.6763776003
Benin,666.6042692142621
Bermuda,1.2852266607
Bolivia,233.991568008
Botswana,68.2079637217
Brazil,102278.8412514226
British Virgin Islands,170.0858374324345
Bulgaria,1167.9611041766725
Burkina Faso,372.03012364039944
Burundi,24.51502073802
Cambodia,1029.2277580851182
Cameroon,466.7714131967574
Canada,373593.4751376348
Central African Republic,167.20558196474002
Chile,436.1929698914556
China,3920047.5184798185
Colombia,1493.795020046698
Comoros,36938.38987894369
"Congo, Dem. Rep.",1481.3921272551966
"Congo, Rep.",556.43012604949
Costa Rica,128.57802988027
Cote d'Ivoire,2425.9995700051613
Croatia,877.3812646673525
Cyprus,2490.467613634518
Czech Republic,3164.6648704298987
Denmark,28447.900206129918
Djibouti,945.8123713543206
Dominican Republic,3.2052164166
East Timor,1.61344552768
Ecuador,206.90506720588
"Egypt, Arab Rep.",395933.7929423799
Equatorial Guinea,76.84304315932
Eritrea,139.5650687654775
Ethiopia(excludes Eritrea),17419.275798708528
Faeroe Islands,0.34604742588
Finland,49808.71957562473
France,4695566.965907199
French Polynesia,636.6451516311
Gabon,1360.7102470161203
"Gambia, The",402.02946199488
Georgia,1513.5331027537202
Germany,820436.1853726791
Ghana,965.4561675387225
Gibraltar,11152.508377326076
Greece,13458.519199352118
Guam,3.0988982329
Guatemala,921.318429241878
Guinea,18.829271626049998
Guyana,145.74455929898
Haiti,24.1768641748774
"Hong Kong, China",255391.63830011376
Hungary,2475.9925359717154
Iceland,514.0468371499857
India,1498894.6239651316
Indonesia,297685.83551557607
"Iran, Islamic Rep.",383.313853884896
Iraq,3494.6522696349175
Ireland,4004.159992517368
Israel,6769.490419733935
Italy,266490.4348900432
Jamaica,5.0772644762
Japan,761794.8561709494
Jordan,1307.98485336106
Kenya,98881.05336296213
"Korea, Dem. Rep.",6132.407197808328
"Korea, Rep.",649299.3547068279
Kuwait,105376.71005152368
Lao PDR,233.20101497016532
Latvia,5657.569063481187
Lebanon,365.93584583779517
Lesotho,1899.6053446411602
Liberia,86.55692364355
Libya,444.43302530277
Lithuania,4023.108833197699
Luxembourg,435.26181372754195
Macao,176.68999782284
"Macedonia, FYR",10.526904709482501
Malawi,622.746959544126
Malaysia,337102.01361447194
Maldives,139.05040821981999
Mali,30.420984459139998
Malta,2172.099764123007
Marshall Islands,38.48428242772
Mauritania,208.66062107001
Mauritius,959489.2918654013
Mexico,2832.153459207267
Morocco,163394.65376390464
Mozambique,80677.20858637961
Myanmar,150246.24606263416
Nepal,1018.09913605436
Netherlands,576072.3270151236
New Caledonia,135.020215070763
New Zealand,11717.163309507043
Niger,301.5916246273225
Nigeria,1199.8618570698109
Niue,12.909467836249998
Norfolk Island,52.6851232727404
Norway,3274.550073754034
Occ.Pal.Terr,95.277596909
Oman,42966.77503279281
"Other Asia, nes",338064.5273312189
Pakistan,411583.50765253033
Panama,105.93571631601
Papua New Guinea,313.63898515076
Paraguay,10209.135339482
Peru,488.52814512871004
Philippines,1032.095984158677
Poland,26487.087485959506
Portugal,43422.01282653396
Qatar,274956.21117108414
Romania,7812.177456030902
Russian Federation,39602.4312808151
Rwanda,27.216154913727202
Saudi Arabia,176145.98529328132
Senegal,1579.1082039819948
"Serbia, FR(Serbia/Montenegro)",232.2548379442734
Seychelles,96576.19175176897
Sierra Leone,173.02869424545003
Singapore,238891.17488116928
Slovak Republic,8425.919346999548
Slovenia,6498.76882320146
South Africa,1315430.6360920381
Spain,381483.9969181798
Sri Lanka,15697.761751263904
Sudan,5493.27396719019
Swaziland,3146.5552509339745
Sweden,192450.53088249505
Switzerland,96409.81954775588
Tanzania,56636.64956529533
Thailand,150930.49828459317
Togo,2043.5717806947525
Trinidad and Tobago,27082.632891142748
Tunisia,14812.808464992084
Turkey,375722.03536853107
Turkmenistan,0.992129600558
Turks and Caicos Isl.,0.13692680503399998
Uganda,4463.320581503039
Ukraine,16164.44209778314
United Arab Emirates,1784159.2563951465
United Kingdom,284961.2862687705
United States,2487348.7824200396
Unspecified,439374.36829802534
Uruguay,177.614028704886
Vietnam,173251.23099557025
Yemen,4177.82422449684
Zambia,1990.3693821143393
Zimbabwe,2105.883234306733
