Partner,Value
Afghanistan,420.66949999999997
Argentina,2738.60348
Australia,204645.75689759562
Austria,32394.42643
Azerbaijan,472.38592
"Bahamas, The",673.1087144861625
Bahrain,814.4725
Bangladesh,27407.50829
Barbados,17.10464
Belarus,0.42135
Belgium,38329.38214
Bermuda,12.23966
Brazil,60538.98145000001
Bulgaria,1790.30073
Cambodia,290.26992
Cameroon,112.32698
Canada,144274.98823000002
Chile,1735.72632
China,2062647.8381354879
Colombia,383.49353
Costa Rica,3538.90045
Croatia,3566.51526
Cuba,123.62892
Cyprus,3070.81288
Czech Republic,12493.91346
Denmark,25300.16859
Dominican Republic,4.26424
Ecuador,600.54107
"Egypt, Arab Rep.",23166.86259
Estonia,586.22887
Ethiopia(excludes Eritrea),185.65437
Fiji,376.6996
Finland,12326.90846
France,274939.31342
Gabon,48.84196
Georgia,76.4604
Germany,348155.556475497
Ghana,58.38896
Greece,2927.80225
Guatemala,23.30796
Guyana,24.68692
Honduras,20.4129
"Hong Kong, China",162934.3748989976
Hungary,1314.29359
Iceland,2.9736000000000002
India,1270141.6345551999
Indonesia,243065.79312999998
"Iran, Islamic Rep.",811.24418
Ireland,120132.65002
Israel,139.91359
Italy,218248.83711
Jamaica,64.75792
Japan,183810.02204
Jordan,766.4944999999999
Kazakhstan,31.24999
Kenya,1864.69206
"Korea, Dem. Rep.",58.67642
"Korea, Rep.",36190.13444
Kuwait,153.60298
Lao PDR,739.31643
Latvia,856.94326
Lebanon,4209.80966
Lithuania,1261.05342
Luxembourg,3741.23312
Macao,1.84875
Madagascar,61.1043
Malaysia,803307.82148
Malta,1155.12868
Mauritania,84.03936999999999
Mauritius,19393.526469999997
Mexico,4062.07033
Morocco,499.58808
Myanmar,122.68672
Namibia,3.42962
Nepal,1082.0155300000001
Netherlands,80141.36405
New Caledonia,2.2326
New Zealand,123929.3249
Nicaragua,131.90185
Norway,7471.49543
Oman,73650.50764
"Other Asia, nes",31468.91074
Pakistan,32383.87984
Peru,368.5788
Philippines,12574.785769999999
Poland,21187.43417
Portugal,19615.592080000002
Qatar,12076.57632
Romania,411.91174
Russian Federation,13915.10763
San Marino,19.769350000000003
Saudi Arabia,21235.04042
Senegal,59.44914
"Serbia, FR(Serbia/Montenegro)",1655.24367
Seychelles,1107.0345
Sierra Leone,3.34716
Singapore,1564086.98544
Slovak Republic,79.46065
Slovenia,7624.13418
South Africa,55244.659240000015
Spain,127163.58271999999
Sri Lanka,736880.23917
St. Lucia,30.079169999999998
Suriname,4.51272
Sweden,28089.216279999997
Switzerland,76362.94023
Tajikistan,18.328
Thailand,753018.84407325
Togo,150.88925
Trinidad and Tobago,174.60996
Tunisia,926.04868
Turkey,136290.46552674175
Uganda,4361.29333
Ukraine,7958.44766
United Arab Emirates,2234798.71186
United Kingdom,180752.35689999998
United States,323811.0706989976
Uruguay,915.55188
Uzbekistan,0.82521
Venezuela,312.98296
Vietnam,80763.94035
Yemen,232.5946
Zambia,7.500109999999999
