Partner,Value
Afghanistan,12403.599
Albania,18620.957
Algeria,467382.47199999995
Andorra,4072.79
Angola,12695.819000000001
Anguila,182.72299999999998
Antigua and Barbuda,21405.278
Argentina,5719691.091
Armenia,7201.308999999999
Aruba,52517.652
Australia,5463915.597
Austria,9177001.546
Azerbaijan,20189.547
"Bahamas, The",53315.688
Bahrain,193135.769
Bangladesh,1894129.315
Barbados,46107.261000000006
Belarus,107984.375
Belgium,9959781.427000001
Belize,662291.4049999999
Benin,12869.516
Bermuda,1453.3179999999998
Bhutan,148.928
Bolivia,766700.4940000001
Bosnia and Herzegovina,55088.363000000005
Botswana,1688.692
Brazil,44530417.619
British Indian Ocean Ter.,72.128
British Virgin Islands,29958.031
Brunei,16838.246
Bulgaria,683358.686
Burkina Faso,3.704
Cambodia,874460.5750000001
Cameroon,13324.526
Canada,105649331.604
Cape Verde,174.41
Cayman Islands,9767.406
Central African Republic,454.64599999999996
Chad,119.52799999999999
Chile,12692416.4
China,414810354.262
Christmas Island,329.044
Cocos (Keeling) Islands,78.006
Colombia,21728432.482
Comoros,1668.634
"Congo, Dem. Rep.",44.15
"Congo, Rep.",7736.57
Cook Islands,901.5690000000001
Costa Rica,5104953.438999999
Cote d'Ivoire,255687.10400000002
Croatia,161066.997
Cuba,1481214.48
Curaçao,60282.066999999995
Cyprus,67665.634
Czech Republic,7442811.027
Denmark,3370540.366
Dominica,3031.114
Dominican Republic,3217531.478
Ecuador,3128006.721
"Egypt, Arab Rep.",458057.239
El Salvador,4731990.465
Eritrea,25.74
Estonia,266704.646
Ethiopia(excludes Eritrea),8375.836000000001
Falkland Island,36.732
Fiji,14247.975999999999
Finland,2486409.3619999997
Fr. So. Ant. Tr,68.844
France,24849358.254
French Polynesia,2058.95
Gabon,68958.554
"Gambia, The",7347.612999999999
Georgia,58860.966
Germany,114987507.25999999
Ghana,41319.158
Gibraltar,0.202
Greece,776488.344
Grenada,8998.139
Guam,2264.8540000000003
Guatemala,10414975.679
Guinea,9257.588
Guinea-Bissau,36.71
Guyana,93587.87599999999
Haiti,542909.062
Holy See,352.436
Honduras,5097427.608
"Hong Kong, China",6735864.599
Hungary,7595123.517
Iceland,61979.599
India,27843012.346
Indonesia,6830602.508
"Iran, Islamic Rep.",5161.16
Iraq,108165.708
Ireland,9700902.77
Israel,4043432.7120000003
Italy,33185661.338
Jamaica,333324.23
Japan,97181989.037
Jordan,184584.582
Kazakhstan,42239.812999999995
Kenya,44609.74
Kiribati,29.682
"Korea, Rep.",87948760.706
Kuwait,483052.34500000003
Kyrgyz Republic,2160.854
Lao PDR,301920.158
Latvia,168960.285
Lebanon,105608.734
Lesotho,19107.213
Liberia,5894.684
Libya,1036.052
Lithuania,119100.73999999999
Luxembourg,342960.446
Macao,5554.9130000000005
"Macedonia, FYR",47178.808000000005
Madagascar,16856.581
Malawi,295.49800000000005
Malaysia,57528694.626
Maldives,156.076
Mali,15718.394
Malta,292102.087
Marshall Islands,174.32
Mauritania,17817.007999999998
Mauritius,17899.387
"Micronesia, Fed. Sts.",2347.9970000000003
Moldova,5091.676
Mongolia,1566.47
Montenegro,257.69599999999997
Montserrat,256.37800000000004
Morocco,1360203.7140000002
Mozambique,15516.123
Myanmar,307937.591
Namibia,325003.32
Nauru,14.476
Nepal,2960.7160000000003
Netherlands,18206520.873999998
New Caledonia,13660.905
New Zealand,2072609.562
Nicaragua,4265023.391
Niger,242.014
Nigeria,178780.264
Niue,40.897999999999996
Norfolk Island,1.138
Northern Mariana Islands,28.128
Norway,878915.85
Oman,175005.709
"Other Asia, nes",69731928.682
Pakistan,1173838.926
Palau,397.046
Panama,5360775.003
Papua New Guinea,96.37599999999999
Paraguay,420104.246
Peru,8004167.260000001
Philippines,15622850.329
Pitcairn,447.012
Poland,6147858.14
Portugal,2973223.8
Qatar,314344.51399999997
Romania,2894445.677
Russian Federation,5955311.546
Rwanda,88.39399999999999
Saint Helena,625.95
Saint Pierre and Miquelon,125.526
Samoa,113.696
San Marino,4988.227
Sao Tome and Principe,101.996
Saudi Arabia,1422436.804
Senegal,29782.171
"Serbia, FR(Serbia/Montenegro)",211231.06300000002
Seychelles,26281.126
Sierra Leone,1905.051
Singapore,10155523.188000001
Slovak Republic,2219702.09
Slovenia,649192.2200000001
Solomon Islands,9.68
Somalia,117.62
South Africa,2466655.148
Spain,25922875.231
Sri Lanka,907267.896
St. Kitts and Nevis,5660.011
St. Lucia,11130.140000000001
St. Vincent and the Grenadines,3688.537
Sudan,4572.958
Suriname,40852.309
Swaziland,56981.899000000005
Sweden,4572854.222
Switzerland,9948623.561
Syrian Arab Republic,737.1089999999999
Tajikistan,36.982
Tanzania,5453.2029999999995
Thailand,30160534.788
Togo,8241.26
Tokelau,591.888
Tonga,17.43
Trinidad and Tobago,1474004.497
Tunisia,325190.779
Turkey,5719770.379000001
Turkmenistan,174.83800000000002
Turks and Caicos Isl.,5342.135
Tuvalu,97.18
Uganda,24403.384
Ukraine,633283.1379999999
United Arab Emirates,2647815.466
United Kingdom,18798200.739
United States,2576026294.878
Unspecified,72795055.233
Uruguay,1616704.6099999999
Uzbekistan,171974.023
Vanuatu,2.468
Venezuela,1432424.866
Vietnam,27710936.107
Western Sahara,297.11
Yemen,108.932
Zambia,560.684
Zimbabwe,6232.442999999999
