Partner,Value
Afghanistan,170.39805
Albania,653301.9930299999
Algeria,51653.48488
American Samoa,0.5688
Andorra,26.2901
Antarctica,41.55005
Antigua and Barbuda,3.05504
Argentina,75831.39584
Armenia,3476.80449
Australia,38759.44713
Austria,1030744.11647
Azerbaijan,3391.13818
"Bahamas, The",8.88424
Bahrain,948.4742
Bangladesh,54058.3916
Barbados,27.92716
Belarus,13840.511760000001
Belgium,1910330.40765
Belize,931.0014
Benin,47.54108
Bermuda,4.08905
Bolivia,656.8914299999999
Bosnia and Herzegovina,705536.50337
Botswana,19.197
Brazil,200849.12105
British Indian Ocean Ter.,0.2086
Brunei,6.2171199999999995
Bulgaria,2973480.72489
Burkina Faso,34.04784
Burundi,9.3136
Cambodia,20033.10913
Cameroon,425.60277
Canada,86043.24865
Cape Verde,1.4308999999999998
Central African Republic,379.62703
Chad,8.98707
Chile,4258.51948
China,3253951.66878
Cocos (Keeling) Islands,212.19219999999999
Colombia,16887.12999
Comoros,78.77312
"Congo, Dem. Rep.",86.54531999999999
"Congo, Rep.",83.71181
Cook Islands,1.28495
Costa Rica,5934.09495
Cote d'Ivoire,372960.06662
Croatia,761748.05335
Cuba,642.86192
Curaçao,67.90448
Cyprus,9929.21733
Czech Republic,990382.3258700001
Denmark,133023.45696
Dominica,0.06556
Dominican Republic,4630.72944
Ecuador,55240.51247
"Egypt, Arab Rep.",47703.546409999995
El Salvador,604.97812
Equatorial Guinea,262.23796
Eritrea,1.3413599999999999
Estonia,14674.67369
Ethiopia(excludes Eritrea),373.14785
Faeroe Islands,203.45905
Falkland Island,357.98104
Fiji,288.84232
Finland,124445.2137
France,986338.4882699999
French Polynesia,232.2804
Gabon,129.35855
Georgia,8477.94066
Germany,22362953.171290003
Ghana,12938.78838
Greece,3951488.85852
Greenland,0.27992
Guatemala,13444.351219999999
Guinea,25.5308
Guyana,70.67935
Holy See,1.2052
Honduras,260.73887
"Hong Kong, China",47258.02409
Hungary,1755244.58631
Iceland,178.77653
India,345758.39716
Indonesia,164643.68356
"Iran, Islamic Rep.",59966.5269
Iraq,25240.48205
Ireland,138186.95666999999
Israel,66832.50228
Italy,3201836.25885
Jamaica,15.748
Japan,705775.93213
Jordan,4122.4545
Kazakhstan,14634.156910000002
Kenya,1372.2781400000001
"Korea, Dem. Rep.",4252.17584
"Korea, Rep.",155149.2127
Kuwait,1208.9112300000002
Kyrgyz Republic,10543.055690000001
Lao PDR,131.90464
Latvia,24712.69662
Lebanon,7296.62277
Lesotho,10.4983
Liberia,5.63119
Libya,13799.92115
Lithuania,45104.723159999994
Luxembourg,15979.72038
Macao,56.56328
Madagascar,456.01998000000003
Malawi,89.80444
Malaysia,153756.05837
Mali,303.3369
Malta,2449.66493
Marshall Islands,7.69827
Mauritania,23.91694
Mauritius,940.91635
Mexico,155976.69511
"Micronesia, Fed. Sts.",0.46094999999999997
Moldova,22955.415699999998
Mongolia,153.19077
Montenegro,172613.0872
Morocco,133116.31417
Mozambique,297.4045
Myanmar,7123.53194
Namibia,163.83282
Nauru,1.2848000000000002
Nepal,17.67312
Netherlands,1349160.4152199998
New Caledonia,25.1877
New Zealand,1305.38539
Nicaragua,254.33852
Niger,5.14719
Nigeria,52790.242430000006
Niue,0.69068
Norway,46747.23228
Occ.Pal.Terr,447.17920000000004
Oman,9801.51872
"Other Asia, nes",127640.63419
Pakistan,27337.02073
Panama,292.77683
Papua New Guinea,123.2786
Paraguay,518.04508
Peru,1904.60908
Philippines,15465.472969999999
Poland,1407964.98525
Portugal,236684.09648
Qatar,67790.32295
Romania,1840659.21374
Russian Federation,813489.93214
Rwanda,203.81851999999998
Saint Helena,0.15735
Saint Maarten (Dutch part),8.91916
San Marino,741.0614800000001
Sao Tome and Principe,25.2768
Saudi Arabia,52463.399569999994
Senegal,2049.23924
"Serbia, FR(Serbia/Montenegro)",5605911.45526
Seychelles,881.19217
Sierra Leone,157.39269000000002
Singapore,35380.992569999995
Slovak Republic,581502.22949
Slovenia,1177843.6519666973
South Africa,935080.72013
Spain,995832.38229
Sri Lanka,9471.77276
St. Kitts and Nevis,0.0526
Sudan,1373.29572
Suriname,157.31126999999998
Sweden,269889.10541
Switzerland,472109.08245999995
Syrian Arab Republic,575.29701
Tajikistan,4.83695
Tanzania,2223.74304
Thailand,91919.11821
Trinidad and Tobago,245.90519999999998
Tunisia,60571.12462
Turkey,2453968.95417
Turkmenistan,107.18029
Tuvalu,10.81596
Uganda,1455.75331
Ukraine,622931.22486
United Arab Emirates,16710.170250000003
United Kingdom,5224919.37387
United States,1554799.10758
Unspecified,52270.889709999996
Uruguay,52833.56051
Uzbekistan,3571.08099
Venezuela,83.34459
Vietnam,291879.32804
Yemen,897.51118
Zambia,0.2232
Zimbabwe,515.52248
