Partner,Value
Afghanistan,437.90954
Albania,607.68828
Algeria,74034.37271999998
American Samoa,164.1209
Andorra,354.96947
Angola,2.21925
Anguila,12.20736
Antigua and Barbuda,1151.26747
Argentina,74695.01197
Armenia,396.5007
Australia,182113.389
Austria,11681.46186
Azerbaijan,605.60375
Bahrain,3867.5411000000004
Bangladesh,1294317.54132
Belarus,112511.37029
Belgium,245011.03167
Belize,100.72648
Benin,426049.9126500001
Bermuda,2280.79986
Bhutan,0.30908
Bosnia and Herzegovina,22.1626
Botswana,9.93504
Brazil,353164.41286000004
British Indian Ocean Ter.,21.52196
Brunei,454.63700000000006
Bulgaria,7457.02887
Burkina Faso,520617.1898846311
Burundi,300.90391999999997
Cambodia,669.92271
Cameroon,1954.0492399999998
Canada,86257.64895
Cape Verde,632.62085
Central African Republic,132.74652
Chad,1500.79876
Chile,4977.4578599999995
China,3862812.65666
Colombia,2663.61532
"Congo, Dem. Rep.",811.3084900000001
"Congo, Rep.",542.89632
Costa Rica,126.40839
Cote d'Ivoire,2810453.574650153
Croatia,2464.85976
Cuba,148.46571
Curaçao,629.77981
Cyprus,745.52935
Czech Republic,15271.61261
Denmark,153394.15794
Djibouti,19.664
Dominican Republic,7.42384
Ecuador,546.1936900000001
"Egypt, Arab Rep.",117291.90012
El Salvador,3875.7833499999997
Equatorial Guinea,52.70694
Estonia,165.96002
Ethiopia(excludes Eritrea),2981.0911499999997
Finland,206902.86283
Fr. So. Ant. Tr,9.362300000000001
France,1918137.4490141312
Gabon,1023.3355
"Gambia, The",46181.94639
Georgia,16.88764
Germany,766095.0387599999
Ghana,348057.92924682883
Gibraltar,190.5458
Greece,1282.76991
Guatemala,9223.32196
Guinea,145875.10716999997
Guinea-Bissau,125.80339
Haiti,983.81163
Honduras,245.22375
"Hong Kong, China",31986.48491
Hungary,12733.46133
Iceland,10928.67966
India,975102.7047799999
Indonesia,85375.03416000001
"Iran, Islamic Rep.",8396.069679999999
Iraq,37.67887
Ireland,101697.60976
Israel,30221.459890000002
Italy,561030.4911299999
Jamaica,4.1763200000000005
Japan,479191.05112
Jordan,4075.02326
Kazakhstan,593.3293
Kenya,2364.59257
"Korea, Dem. Rep.",3169.6785600000003
"Korea, Rep.",158291.03083
Kuwait,348.24403
Lao PDR,495.91774999999996
Latvia,6013.453219999999
Liberia,33791.94291
Libya,2214.93031
Lithuania,6252.17695
Luxembourg,23750.24383
Macao,388.14808000000005
"Macedonia, FYR",2898.50015
Madagascar,240.35518000000002
Malawi,3.4144
Malaysia,203292.0267
Malta,1626.52059
Mauritania,111869.32991682665
Mauritius,331.74599
Mexico,28299.29576
Moldova,2151.52788
Montenegro,16.8552
Morocco,394236.64865
Mozambique,302.28535
Myanmar,729.99572
Namibia,6453.843699999999
Netherlands,262998.81569
New Caledonia,44.2401
New Zealand,17940.93625
Niger,503916.57114
Nigeria,110090.17564
Norway,6784.10761
Occ.Pal.Terr,0.555
Oman,381.87176999999997
"Other Asia, nes",23624.125949999998
Pakistan,39309.443020000006
Panama,24.750149999999998
Papua New Guinea,851.14396
Paraguay,3.37252
Peru,1838.06308
Philippines,3677.7275299999997
Poland,36046.33449
Portugal,57588.502819999994
Qatar,4408.94399
Romania,3426.1374899999996
Russian Federation,327617.281
Rwanda,136.62642
Saint Helena,78.23925
Samoa,105.81876
San Marino,2.3438999999999997
Saudi Arabia,20515.87461
Senegal,5002131.99986
"Serbia, FR(Serbia/Montenegro)",2922.59152
Seychelles,10.81385
Sierra Leone,3399.93197
Singapore,75404.29732
Slovak Republic,8661.561730000001
Slovenia,2966.0625
Solomon Islands,32.553399999999996
Somalia,55.80265
South Africa,4506996.18676
Spain,272728.04559999995
Sri Lanka,3416.2935700000003
Sudan,44.58305
Suriname,116.8114
Swaziland,2599.94048
Sweden,100581.31097
Switzerland,3917064.50989
Syrian Arab Republic,347.89726
Tanzania,1217.97617
Thailand,98835.92952
Togo,122175.00407
Tunisia,76744.26692
Turkey,324081.06446
Turkmenistan,47.7862
Turks and Caicos Isl.,142.23051
Tuvalu,35.95675
Uganda,6583.59902
Ukraine,158275.39992
United Arab Emirates,291240.77334
United Kingdom,150512.4659836532
United States,710167.17684
Uruguay,1244.97424
Uzbekistan,6417.1463699999995
Vanuatu,1773.271
Venezuela,3.94308
Vietnam,139150.80870999998
Wallis and Futura Isl.,0.12248
Yemen,31.1932
Zimbabwe,160.65194
