Partner,Value
Afghanistan,162.78171521468002
Albania,49999.70431513109
Algeria,212964.15704510966
Andorra,213.50351762918
Angola,14412.614539431699
Anguila,61074.49265344496
Antigua and Barbuda,2223.48979677614
Argentina,10386.752442567551
Armenia,93.25094827355
Aruba,0.223753108
Australia,467009.3844969058
Austria,155060.97440979606
Azerbaijan,184.25518144972
BLM,34.010472416
"Bahamas, The",267.72448685564
Bahrain,6316.94061165944
Bangladesh,30050.96775069897
Barbados,466.34934779806997
Belarus,157.66154516427
Belgium,588778.0318404143
Belize,575.35202931796
Bermuda,3.74370435618
Bolivia,0.8401490925
Bonaire,0.2461284188
Bosnia and Herzegovina,2706.15810183764
Botswana,4878.78915593302
Brazil,56342.28188297713
British Virgin Islands,535484.5220551349
Brunei,44.27921777112
Bulgaria,133971.77121210442
Bunkers,3083879.978664646
Burkina Faso,2165.28603480146
Burundi,34985.90059624966
Cambodia,7309.04663283394
Cameroon,117216.69395787708
Canada,557890.0201512754
Cape Verde,2970.41472044678
Cayman Islands,162399.3104117372
Central African Republic,76157.31509935614
Chad,8345.06011547072
Chile,79753.80385795468
China,1591345.4742897353
Cocos (Keeling) Islands,0.5276136300900001
Colombia,14666.540631957469
"Congo, Dem. Rep.",14523.19668170192
"Congo, Rep.",1483.2494695195899
Costa Rica,5379.10464894237
Cote d'Ivoire,8234.1047030168
Croatia,1345576.8416775987
Cuba,124.96489621724
Curaçao,1737.93217890744
Cyprus,110563.67987375884
Czech Republic,181953.4540111756
Denmark,193997.95513851068
Djibouti,33418.6790083062
Dominican Republic,5702.49713304922
Ecuador,24632.27295491734
"Egypt, Arab Rep.",760478.6682190036
El Salvador,0.27444870355
Eritrea,9.0382843353
Estonia,11010.51476706902
Ethiopia(excludes Eritrea),764.2083071169501
Faeroe Islands,1429.27507854648
Fiji,163.44276339042
Finland,42214.56910208934
France,3687066.6956766215
French Polynesia,1538.03228832079
Gabon,97.02526393775
"Gambia, The",6113.58491333874
Georgia,662.3340592396901
Germany,5328874.627505841
Ghana,189537.21657578548
Gibraltar,6177.30653107329
Greece,1034787.9195353015
Guatemala,359.43794353866
Guinea,1115.21569694158
Guinea-Bissau,309.70003307942
Guyana,2844.7612146147203
Holy See,34.0999736592
Honduras,19.32790992266
"Hong Kong, China",744417.1624959536
Hungary,203135.96295507622
Iceland,4511.526975972431
India,981082.1901738946
Indonesia,24177.49537269825
"Iran, Islamic Rep.",1963.71589841867
Iraq,3748.539871555
Ireland,505934.02504598134
Israel,716751.5632124934
Italy,7347328.2690655
Jamaica,11666.372276453721
Japan,1045896.58327186
Jordan,16008.62087738051
Kazakhstan,733.10787443896
Kenya,30295.853760984664
Kiribati,5.22239754072
"Korea, Rep.",593999.6641429301
Kuwait,15280.98544592047
Kyrgyz Republic,6697.7666185956
Lao PDR,51.015591281800006
Latvia,18762.01115207643
Lebanon,36311.33794239042
Lesotho,1030.39201246432
Liberia,4478.48782008348
Libya,649761.944441362
Lithuania,30273.97722010731
Luxembourg,7466.80677640919
Macao,2559.34660959796
"Macedonia, FYR",1899.63366854707
Madagascar,2233.0895808062
Malawi,23066.45015546614
Malaysia,169827.1388138893
Maldives,1977.9546104431201
Mali,17974.78675875071
Marshall Islands,168227.65680830198
Mauritania,1162.13809327347
Mauritius,33706.7004105627
Mexico,65308.689198659136
Moldova,2306.40836764712
Mongolia,15591.11656544
Montenegro,3916.88399458453
Morocco,105617.3373662916
Mozambique,29.78598295522
Myanmar,646.55045271087
Namibia,47892.54036046876
Nepal,1877.46062509657
Netherlands,1297482.4469788114
New Caledonia,15.94149430367
New Zealand,26787.52154735554
Nicaragua,145.16320059973
Niger,4877.59512005754
Nigeria,88781.26658126319
Niue,0.19043379430000001
Norway,92861.66185439787
