Partner,Value
Afghanistan,5383.5134
Albania,1509.2840999999999
Algeria,152.1391
American Samoa,44.0
Angola,5300.615049999999
Antigua and Barbuda,83.05376
Argentina,26799.39152
Armenia,0.56
Australia,601603.91245
Austria,86370.83559999999
Azerbaijan,80.5
"Bahamas, The",1.96784
Bahrain,69240.70780999999
Bangladesh,417503.03079593
Barbados,27.799120000000002
Belarus,62275.380280000005
Belgium,1224848.4102
Belize,263.21508
Benin,28912.26992
Bolivia,36308.86184
Bosnia and Herzegovina,229.54648
Botswana,648.47195
Brazil,373148.07429
Brunei,1507.66898
Bulgaria,40484.82156
Burkina Faso,18062.84176
Cambodia,78958.07356
Cameroon,172824.0889
Canada,708754.2976500001
Cape Verde,29.74735
Cayman Islands,23.83996
Central African Republic,146.44128
Chad,3832.49575
Chile,75914.67281999999
China,53235104.20471232
Colombia,15063.756959999999
"Congo, Dem. Rep.",9287.71155
"Congo, Rep.",6018.63121
Costa Rica,1527.7650600000002
Cote d'Ivoire,140840.5672
Croatia,27943.58167
Cuba,955.39923
Cyprus,22383.228669999997
Czech Republic,120028.17369
Denmark,720418.30998
Djibouti,12596.5998
Dominica,11.8025
Dominican Republic,1662.24253
East Timor,3339.87432
Ecuador,98.90525
"Egypt, Arab Rep.",37438.4475
El Salvador,22.709100000000003
Eritrea,0.214
Estonia,2643.02758
Ethiopia(excludes Eritrea),4302.28464
Faeroe Islands,38.73385
Fiji,5004.429
Finland,52981.368780000004
France,2170879.9163784003
French Polynesia,214.10609999999997
Gabon,349.12564
"Gambia, The",1653.8
Germany,4124331.69729985
Ghana,3336.58335
Greece,37178.852230000004
Guam,2264.0
Guatemala,3910.11596
Guinea,88930.40532
Guyana,0.20156
Haiti,705.0755
Honduras,95.17784999999999
"Hong Kong, China",1423311.19934236
Hungary,50108.02133000001
Iceland,382.47553999999997
India,5852051.92024285
Indonesia,4502883.093049519
"Iran, Islamic Rep.",191311.85663999998
Iraq,30110.64336
Ireland,220143.64873000002
Israel,47093.08798
Italy,1392405.93263995
Jamaica,11.4838
Japan,9323617.244246209
Jordan,13371.03547
Kazakhstan,1226.4456
Kenya,29420.150690000002
"Korea, Dem. Rep.",1902.59625
"Korea, Rep.",4642500.45798941
Kuwait,28631.46763
Kyrgyz Republic,1136.18402
Lao PDR,7192.0935899999995
Latvia,5464.05522
Lebanon,10994.73273
Liberia,3.6275
Libya,951.35375
Lithuania,20882.88594
Luxembourg,15469.04978
Macao,5749.98928
"Macedonia, FYR",7.58173
Madagascar,215261.19297
Malawi,27.9
Malaysia,4814635.66204315
Maldives,91.20196
Mali,9690.25484
Malta,265.05633
Mauritania,324.0
Mauritius,2314.5604900000003
Mexico,161894.43525995
Moldova,18926.24583
Mongolia,1867.9124500000003
Montenegro,3.15915
Montserrat,22.40232
Morocco,5117.6529199999995
Mozambique,95499.22342
Namibia,0.5684
Nepal,37021.75319
Netherlands,2543244.30831
New Caledonia,176.79739999999998
New Zealand,176161.96116
Nicaragua,44.47745
Niger,6371.26867
Nigeria,18518.4433
Norfolk Island,177.88309999999998
Norway,121446.98489
Oman,109633.96181000001
"Other Asia, nes",884008.760644
Pakistan,291596.36638
Palau,13.075000000000001
Panama,10840.75315
Papua New Guinea,3427.825
Paraguay,12772.01145
Peru,18023.95639
Philippines,711073.2494399999
Poland,861650.63483
Portugal,41186.332519999996
Qatar,73313.11647
Romania,61543.50322
Russian Federation,231494.61031000002
Saint Helena,0.02468
Saint Pierre and Miquelon,8.4622
San Marino,2.18175
Saudi Arabia,824401.61602
Senegal,110699.4876
"Serbia, FR(Serbia/Montenegro)",8551.191499999999
Seychelles,911.6928
Sierra Leone,8605.57155
Singapore,15520663.020690959
Slovak Republic,21624.63007
Slovenia,223489.34383
Solomon Islands,1720.41048
South Africa,118792.84531
Spain,2820501.724328
Sri Lanka,146814.01049
Sudan,3536.5800799999997
Suriname,465.06246000000004
Swaziland,25424.97783
Sweden,566628.05513
Switzerland,106887.04104
Syrian Arab Republic,0.75996
Tajikistan,1625.3182299999999
Tanzania,7562.53896
Thailand,23145969.39848661
Togo,28233.81976
Tokelau,24.57095
Tonga,270.0
Trinidad and Tobago,13773.58328
Tunisia,2124.32068
Turkey,265289.72656996
Turkmenistan,7136.6013
Uganda,1433.72392
Ukraine,121928.55205
United Arab Emirates,1234698.74127
United Kingdom,2890145.50764945
United States,5302625.570849999
Unspecified,206902.58202
Uruguay,7191.43802
Uzbekistan,4263.02704
Vanuatu,99.19436
Venezuela,12663.8461
Vietnam,3802024.2996322312
Yemen,2785.47156
Zambia,4386.46184
Zimbabwe,5587.172049999999
