Partner,Value
Albania,1322.6215100000002
Algeria,20.4772
Argentina,12647.67063
Armenia,547.9244
Aruba,0.3958
Australia,467823.93845
Austria,177491.07112
Azerbaijan,449.50856
"Bahamas, The",115.12171000000001
Bahrain,1.8443
Bangladesh,33242.152219999996
Barbados,1.95
Belarus,158643.05588
Belgium,45461.551600000006
Belize,0.0288
Bolivia,7.73695
Bosnia and Herzegovina,1490.94273
Botswana,1.50076
Brazil,168989.52011
Brunei,3.35
Bulgaria,11940.8009
Cambodia,19373.14765
Cameroon,4.63028
Canada,234176.50684000002
Chile,8051.21621
China,36650860.638050005
Colombia,289.24919
"Congo, Dem. Rep.",24.43645
"Congo, Rep.",6077.53855
Costa Rica,1358.84845
Cote d'Ivoire,1.18492
Croatia,2532.8433299999997
Cuba,554.1285
Cyprus,2182.7850299999996
Czech Republic,44358.68614
Denmark,20333.79588
Dominica,277.77419
Dominican Republic,410.12197
Ecuador,1959.7376199999999
"Egypt, Arab Rep.",4916.94754
El Salvador,416.10876
Eritrea,5.3247
Estonia,3711.48639
Ethiopia(excludes Eritrea),191.2596
Fiji,287.59345
Finland,82839.22401
France,197972.39176
Georgia,5660.30656
Germany,950689.6787700001
Greece,8181.8429
Greenland,10.30512
Guatemala,4396.714110000001
Haiti,10.941399999999998
Honduras,83.77715
"Hong Kong, China",90051.927575
Hungary,46732.374809999994
Iceland,1292.3417
India,178077.9652
Indonesia,100758.49997
"Iran, Islamic Rep.",87189.63819
Ireland,36186.867040000005
Israel,6919.8055
Italy,498708.24019000004
Jamaica,28.10648
Japan,2931002.315509999
Jordan,550.80842
Kazakhstan,147822.98628
Kenya,116.54581999999999
"Korea, Dem. Rep.",14993.88512
"Korea, Rep.",1338902.729362
Kuwait,125.01589
Kyrgyz Republic,3429.41636
Lao PDR,757.6682999999999
Latvia,10373.09834
Lebanon,1518.9004300000001
Lithuania,19973.60742
Luxembourg,772.41959
Macao,3.15988
"Macedonia, FYR",29134.500930000002
Madagascar,118.05829
Malaysia,241562.71977
Mali,557.25262
Malta,94.81992
Mauritania,8.48575
Mauritius,920.3755
Mexico,73152.58252
Moldova,6234.66082
Morocco,7668.43395
Mozambique,0.8232499999999999
Myanmar,4028.4231600000003
Namibia,4.7266
Nepal,183.02565
Netherlands,71185.36686
New Zealand,49537.593759999996
Nicaragua,11.7183
Niger,17.42035
Nigeria,13.36909
Norway,6274.84849
Oman,5215.702330000001
"Other Asia, nes",92896.38371
Pakistan,10795.060870000001
Panama,0.9636
Papua New Guinea,139.00805
Paraguay,22.77435
Peru,609.0607
Philippines,27954.41186
Poland,279492.173855
Portugal,5973.39902
Qatar,3284.20044
Romania,17847.78453
Russian Federation,7454211.89162
San Marino,170.27812
Saudi Arabia,487.75618999999995
Senegal,0.85192
"Serbia, FR(Serbia/Montenegro)",10746.97141
Sierra Leone,4.69065
Singapore,603681.00992
Slovak Republic,13607.8252
Slovenia,83677.36274
South Africa,25955.84475
South Georgia and the South Sa,0.6189
Spain,79672.63576
Sri Lanka,5695.88603
St. Kitts and Nevis,0.40599999999999997
St. Vincent and the Grenadines,12.8775
Sudan,393.07283000000007
Swaziland,1611.1411
Sweden,208467.248
Switzerland,333770.19588
Syrian Arab Republic,194.6473
Tajikistan,41.28544
Tanzania,28.3427
Thailand,185822.84622
Tokelau,37.39088
Trinidad and Tobago,29.316499999999998
Tunisia,3629.063080000001
Turkey,192151.3913
Turkmenistan,316.40537
Uganda,1.56415
Ukraine,126687.84934
United Arab Emirates,15521.39071
United Kingdom,1112601.60716
United States,1511222.226662
United States Minor Outlying I,0.0639
Uruguay,592.86196
Uzbekistan,9388.36945
Venezuela,130.16324
Vietnam,298164.65382
