Partner,Value
Afghanistan,2.6011555963240003
Albania,261838.09350084077
Algeria,10921.377063369184
Andorra,359.569824302584
Argentina,11154.079735667747
Armenia,14.3557790785286
Aruba,0.535400425082
Australia,6513.499557326898
Austria,251515.45076199746
Azerbaijan,1066.4371498607186
"Bahamas, The",0.050899956834999996
Bahrain,0.1790022064
Bangladesh,31012.8544753941
Barbados,51.7264714527671
Belarus,3246.0647183731685
Belgium,91893.19322087053
Belize,6.6604551209244995
Benin,9.7045971571728
Bolivia,120.3092858415164
Bosnia and Herzegovina,899027.0018840975
Botswana,3.9521411319582
Brazil,41964.30841198144
British Indian Ocean Ter.,42.7927149675
British Virgin Islands,19.9105417085488
Brunei,0.8501970812
Bulgaria,79997.68827675578
Burkina Faso,0.204942243784
Burundi,0.0447505516
Cambodia,7956.235650395939
Cameroon,95.83343191660501
Canada,8874.573649591759
Cayman Islands,2.660669392008
Chad,0.7135502740045
Chile,2179.5168487479837
China,1144282.3305125013
Cocos (Keeling) Islands,3.6005287048634997
Colombia,3880.361588398303
Comoros,14.8166530173612
"Congo, Dem. Rep.",6.0823211057085
"Congo, Rep.",4.9524874924196
Cook Islands,0.10571529496500001
Costa Rica,3937.0405690497378
Cote d'Ivoire,25.0640672502611
Croatia,731894.0295499802
Cuba,1324.4177717909963
Curaçao,8.2370113663655
Cyprus,5163.706618942091
Czech Republic,289072.73330419615
Denmark,54330.7269911507
Dominica,304.9042998477344
East Timor,0.5321115047942
Ecuador,28240.535350547572
"Egypt, Arab Rep.",12366.823371699931
El Salvador,37.0905971831979
Estonia,4718.417166828874
Ethiopia(excludes Eritrea),37.1980799931475
Faeroe Islands,155.1125060853716
Falkland Island,2181.7748548311433
Fiji,1.5133060573212
Finland,26576.559501287098
France,310162.8151392699
French Polynesia,201.806470838853
Gabon,0.0525332301752
Georgia,874.1364502681195
Germany,1290692.887307736
Ghana,2014.1375162240274
Greece,710372.378952461
Guatemala,729.4235989389523
Guinea-Bissau,1.8222743887114998
Guyana,8.9266666276668
Haiti,7.986729007185399
Heard Island and McDonald Isla,11.6608109463764
Holy See,31.935751598649
Honduras,645.5224353159018
"Hong Kong, China",4798.743248728837
Hungary,330039.3501687987
Iceland,508.7415176821168
India,100448.50175057029
Indonesia,34975.283375258135
"Iran, Islamic Rep.",2273.6884531048754
Iraq,15.1761521410644
Ireland,32006.092722422673
Israel,9777.911552411173
Italy,958443.4522292742
Jamaica,133.8119929554241
Japan,116206.59955692077
Jordan,500.17311310987833
Kazakhstan,978.1818663307566
Kenya,497.37400833793856
Kiribati,1.2766268514403
"Korea, Dem. Rep.",2175.7789639295984
"Korea, Rep.",65063.2375161974
Kuwait,51.5508744062985
Kyrgyz Republic,4401.3147205676505
Lao PDR,147.8502009253871
Latvia,7572.239308665183
Lebanon,205.7748461643477
Liberia,23.7471263345738
Libya,4714.379346676596
Lithuania,4603.677879229242
Luxembourg,4545.134510969705
Macao,12.411422978263001
"Macedonia, FYR",170887.04203674308
Madagascar,190.4355503550678
Malawi,0.3614680011544
Malaysia,19865.31331424264
Malta,2070.846382201843
Mauritania,57.6566181278381
Mauritius,626.9519177067674
Mexico,12594.160479598631
Moldova,4561.224401675364
Mongolia,2.0372847558255
Morocco,2565.1933672828077
Mozambique,271.7847942419625
Myanmar,2798.700521414159
Namibia,239.2225480757024
Nauru,2.4967603441956
Nepal,267.467303287966
Netherlands,221480.70160140508
New Caledonia,3.227840339598
New Zealand,2133.7424884251027
Nicaragua,120.16584864447499
Niger,5.4124217397414
Nigeria,26.234162170066302
Niue,3.263526243401
Northern Mariana Islands,3.3301436594345004
Norway,6972.417110041651
Oman,26.220189852245
"Other Asia, nes",20403.094085821955
Pakistan,15393.57844428298
Palau,0.4884941571679
Panama,254.96179916781
Papua New Guinea,39.7249216524924
Paraguay,121.0189454680418
Peru,1257.018823277407
Philippines,3872.3098249035456
Pitcairn,12.048635057048001
Poland,298647.39945715084
Portugal,24569.68829258195
Qatar,142.7733497362346
Romania,169474.963456342
Russian Federation,50468.09452242604
Rwanda,0.9306525734104
Saint Pierre and Miquelon,6.6086490329898
San Marino,215.3152634488435
Sao Tome and Principe,65.9931364530215
Saudi Arabia,409.14297577359514
Senegal,119.51314340395508
"Serbia, FR(Serbia/Montenegro)",3047293.973511148
Seychelles,32.658978457854
Sierra Leone,4.2433783794840005
Singapore,4317.52398871213
Slovak Republic,38322.506122613115
Slovenia,425687.10380017746
Solomon Islands,0.1984986448528
South Africa,9801.991217017714
South Georgia and the South Sa,0.18280310360680002
Spain,227683.37565454878
Sri Lanka,1695.3822064850453
St. Lucia,0.4365538275888
Sudan,0.0992493224264
Suriname,4.155450102402
Swaziland,109.9434704782557
Sweden,98438.11760542747
Switzerland,221528.38524310195
Tajikistan,112.52751171963598
Tanzania,175.6698687838544
Thailand,23394.29119137384
Tokelau,0.0734413662905
Trinidad and Tobago,525.6175933455336
Tunisia,4698.554006621502
Turkey,730444.3700917874
Turkmenistan,7.027393469088199
Turks and Caicos Isl.,29.0655086261252
Tuvalu,0.2453937259632
Uganda,8.38168722004
Ukraine,56074.67495812827
United Arab Emirates,8839.106616814752
United Kingdom,192038.28633451293
United States,132207.51455086158
Unspecified,255876.6117821223
Uruguay,133.5564340536676
Uzbekistan,141.4075542714532
Vanuatu,4.293718996134
Venezuela,79.9197338075996
Vietnam,104896.78582232526
Zambia,7.2177704944548
Zimbabwe,191.26861362149
