Partner,Value
Afghanistan,3360.5117499999997
Albania,6486.63493
Algeria,3.78365
American Samoa,258.77907
Andorra,378.85612000000003
Angola,31536.816440000002
Anguila,12.926169999999999
Antarctica,0.61325
Antigua and Barbuda,0.13988
Argentina,190745.97228000002
Armenia,7.44444
Aruba,131.68846
Australia,173632.23566
Austria,25199.574269999997
Azerbaijan,2286.1469
"Bahamas, The",55360.75062
Bahrain,215719.95291
Bangladesh,89181.91087
Belarus,827.9955
Belgium,1064456.12444
Belize,653.30682
Benin,87.29296000000001
Bhutan,20.36775
Bolivia,14.74424
Bonaire,341.77531999999997
Bosnia and Herzegovina,0.6188
Botswana,102257.94142999999
Brazil,404340.01754000003
British Indian Ocean Ter.,261.21598
British Virgin Islands,3833.91341
Brunei,46.67263
Bulgaria,43061.737850000005
Burkina Faso,1.2915999999999999
Burundi,4453.89545
Cambodia,18036.03223
Cameroon,1024.24128
Canada,214363.2415
Cape Verde,629.61643
Cayman Islands,10.94015
Central African Republic,46.28558
Chad,1809.5133500000002
Chile,51452.75564
China,5194784.43913
Christmas Island,2.00764
Colombia,5231.1879500000005
Comoros,15.64699
"Congo, Dem. Rep.",5182.37465
"Congo, Rep.",7503.473190000001
Costa Rica,161.1893
Cote d'Ivoire,19028.5109
Croatia,44531.728639999994
Cuba,1487.146
Curaçao,7022.54023
Cyprus,9522.14568
Czech Republic,44136.00737
Denmark,102770.20563
Dominica,8.69171
Dominican Republic,2750.30474
East Timor,4.07357
Ecuador,318.32753
"Egypt, Arab Rep.",25152.319340000002
El Salvador,104.9861
Equatorial Guinea,133.19528
Eritrea,131.11495000000002
Estonia,22361.33986
Ethiopia(excludes Eritrea),389.50584000000003
Falkland Island,67.5542
Fiji,269.93625
Finland,24952.935610000004
Fr. So. Ant. Tr,51.42824
France,351151.71626
Gabon,3100.6631599999996
"Gambia, The",17.13175
Georgia,11982.66481
Germany,661468.78521
Ghana,14163.73922
Gibraltar,1462.2184499999998
Greece,173379.53918
Greenland,183.02275000000003
Grenada,1.54288
Guatemala,546.55014
Guinea,497.53166
Guinea-Bissau,32.18231
Haiti,13.85577
Heard Island and McDonald Isla,49.62917
Holy See,10.41433
Honduras,3016.1503399999997
"Hong Kong, China",1036012.7973
Hungary,8806.829409999998
Iceland,310.25783
India,5303418.06341
Indonesia,428155.64856
"Iran, Islamic Rep.",2103.00285
Iraq,94.89979
Ireland,30662.7065
Israel,22171.313169999998
Italy,1745132.34288
Jamaica,698.0488399999999
Japan,1568990.02486
Jordan,21399.956869999998
Kazakhstan,1885.58481
Kenya,97650.51201
Kiribati,82.63951
"Korea, Dem. Rep.",17364.07324
"Korea, Rep.",678893.6178700001
Kuwait,12916.74794
Kyrgyz Republic,562.58425
Lao PDR,90.49264
Latvia,8929.5222
Lebanon,43316.37999
Lesotho,26597.061579999998
Liberia,86805.26046
Libya,2.1572
Lithuania,35452.083
Luxembourg,3163.40943
Macao,924.51681
Madagascar,25615.46327
Malawi,183228.3579
Malaysia,461325.88202
Mali,75.75372
Malta,189.68603
Marshall Islands,7343.7301800000005
Mauritania,18152.35329
Mauritius,154278.61706
Mexico,85537.20610000001
"Micronesia, Fed. Sts.",12.24536
Moldova,1116.4499
Mongolia,28.4276
Montenegro,809.95963
Morocco,3488.32209
Myanmar,62251.32432
Namibia,305426.81768000004
Nauru,218.85508
Nepal,114.5107
Netherlands,1650541.69018
New Caledonia,64.86925
New Zealand,9688.83188
Nicaragua,58.9801
Niger,17.29126
Nigeria,14367.146810000002
Niue,75.02748
Norfolk Island,2168.42371
Northern Mariana Islands,925.15905
Norway,77214.91526000001
Oman,123797.31764
"Other Asia, nes",56994.78502
Pakistan,456987.00652000005
Palau,10.78027
Panama,1909.0775800000001
Paraguay,1394.98161
Peru,461.8974
Philippines,3379.4915
Pitcairn,26.4416
Poland,551401.51643
Portugal,1337858.8161900002
Qatar,77180.32341
Romania,5944.17376
Russian Federation,319545.91500000004
Rwanda,7397.131670000001
Saint Helena,5.7473600000000005
Saint Maarten (Dutch part),0.7134
Samoa,7588.4604500000005
San Marino,1.00652
Saudi Arabia,226516.57652
Senegal,574.64728
"Serbia, FR(Serbia/Montenegro)",13739.6256
Seychelles,19830.46572
Sierra Leone,62.72838
Singapore,2997577.14389
Slovak Republic,31642.11297
Slovenia,86247.72772000001
Solomon Islands,0.19239
Somalia,4029.3606
South Africa,13105622.690810002
South Sudan,2233.11755
Spain,872910.6334800001
Sri Lanka,9673.60831
St. Kitts and Nevis,18.6524
St. Vincent and the Grenadines,9.72055
Sudan,781.62619
Suriname,3.28152
Swaziland,354772.90070999996
Sweden,80191.96651
Switzerland,195093.41493
Syrian Arab Republic,9.9914
Tajikistan,53.847409999999996
Tanzania,128411.54062
Thailand,615141.73475
Togo,25.658319999999996
Tokelau,113.70419999999999
Trinidad and Tobago,191.45936999999998
Tunisia,7809.09251
Turkey,289219.90651999996
Turkmenistan,1.30834
Turks and Caicos Isl.,469.8057
Tuvalu,16.3854
Uganda,15285.89499
Ukraine,28504.96224
United Arab Emirates,3306773.60762
United Kingdom,1325524.4017100001
United States,1289219.3797
United States Minor Outlying I,9319.01302
Unspecified,4944.9511299999995
Uruguay,9601.582620000001
Uzbekistan,66.68876
Vanuatu,22.945390000000003
Venezuela,88.16892
Vietnam,547315.35159
Western Sahara,0.30825
Yemen,143.04326
Zambia,226203.20544
Zimbabwe,375025.08393
