Partner,Value
Afghanistan,319.44796
Albania,1133.25431
Algeria,207911.499
American Samoa,1.042
Andorra,25279.29847
Angola,1342.99696
Anguila,564.09616
Antigua and Barbuda,66.1336
Argentina,41570.92641
Armenia,33.752900000000004
Australia,200863.70478
Austria,1940.04286
Azerbaijan,0.5602
Bahrain,242.89204
Bangladesh,2593.1547499999997
Belarus,334.3276
Belgium,1348655.1979800002
Benin,24241.979880000003
Bosnia and Herzegovina,904.3969099999999
Botswana,3879.5395
Brazil,92794.32343
Bulgaria,9627.81391
Burkina Faso,16580.57813
Burundi,110.07652999999999
Cameroon,53343.19254
Canada,116593.68416
Central African Republic,750.71812
Chad,11.74225
Chile,6470.09063
China,5211183.69506
Colombia,59.464389999999995
"Congo, Dem. Rep.",17166.797339999997
"Congo, Rep.",20096.093829999998
Cote d'Ivoire,352778.75430000003
Cuba,175.338
Curaçao,12494.115549999999
Cyprus,36860.100150000006
Czech Republic,266.52995
Denmark,75398.47573
Ecuador,475.01364
"Egypt, Arab Rep.",78613.99253
Equatorial Guinea,11126.58612
Estonia,28.085
Ethiopia(excludes Eritrea),777.06532
Finland,51496.6774
France,1432363.81909
Gabon,3546.65121
"Gambia, The",1677.67916
Germany,473987.53962999996
Ghana,43683.44154
Greece,115798.79358000001
Grenada,141.478
Guatemala,70018.02767
Guinea,10139.462950000001
Guinea-Bissau,14.00555
Holy See,6338.5143
"Hong Kong, China",8139.37387
Hungary,25842.797580000002
India,374311.10567
Indonesia,70994.20018999999
"Iran, Islamic Rep.",6041.07312
Iraq,317.28464
Ireland,20052.588519999998
Italy,754450.51289
Japan,1193654.64029
Jordan,6552.34781
Kenya,1121.73976
"Korea, Dem. Rep.",1661.54019
"Korea, Rep.",124823.64518
Kuwait,646.8255
Kyrgyz Republic,12.3628
Lao PDR,3.1522
Latvia,41752.990119999995
Lebanon,2925.17618
Liberia,6243.72366
Libya,3242.73751
Lithuania,5623.691360000001
Luxembourg,68.32966
"Macedonia, FYR",10.33028
Malawi,2476.2590800000003
Malaysia,122549.00995
Mali,197336.06628
Malta,553.23872
Marshall Islands,236.72474999999997
Mauritius,3477.97985
Mexico,104490.52313999999
Mongolia,34.6696
Montenegro,21.926000000000002
Montserrat,23.24312
Morocco,410537.9441000001
Mozambique,540.65124
Namibia,760.0085799999999
Netherlands,637759.2848
New Caledonia,30.8907
New Zealand,8200.8125
Niger,212.65461
Nigeria,182602.74471
Norway,443721.11758
Oman,2205.73927
"Other Asia, nes",2593.93589
Pakistan,42563.291040000004
Panama,24505.936159999997
Peru,1301.05552
Philippines,1.1874
Poland,124963.43479
Portugal,131461.40052999998
Qatar,3753.60703
Romania,511.75864
Russian Federation,1219664.69257
Saudi Arabia,57256.93172
Senegal,181808.68584
"Serbia, FR(Serbia/Montenegro)",1479.5894700000001
Sierra Leone,843.6411
Singapore,288443.52925
Slovak Republic,21.34499
Slovenia,3137.6880499999997
South Africa,113487.51676999999
Spain,3010607.15405
Sri Lanka,501.32332
Sudan,22.4046
Swaziland,19427.90089
Sweden,53535.41342
Switzerland,55322.68838
Syrian Arab Republic,422.46499
Tanzania,2135.41881
Thailand,178765.79369
Togo,100379.69476000001
Tokelau,68.8939
Tonga,87.6546
Tunisia,44700.48485000001
Turkey,495575.81379
Turks and Caicos Isl.,55.451010000000004
Uganda,167.37092
Ukraine,209877.1753
United Arab Emirates,1880368.0339
United Kingdom,275117.22156
United States,571537.28986
Uruguay,1525.71648
Vanuatu,109410.09425
Vietnam,229498.01156
Zimbabwe,0.04032
