Partner,Value
Anguila,1292.72438119572
Antigua and Barbuda,8452.463109530328
Australia,2.460503900544
Austria,15.657393845184
Bangladesh,75.528687523776
Barbados,1989.5321702736721
Belgium,119.272502134392
Brazil,219.580802751648
British Virgin Islands,1836.941672881248
Bulgaria,2.77162985136
Canada,763.9748018587201
China,2937.91164244032
Colombia,727.4283841201919
Curaçao,2203.16891699424
Cyprus,0.40542595836
Czech Republic,8.954978494176
Denmark,332.813004402816
Dominica,429.077300992848
Dominican Republic,668.596957191456
France,11050.90737296142
Germany,72.780750266904
Grenada,408.165454875456
Guatemala,101.718734063424
Guyana,407.372265923112
Haiti,531.30493139328
"Hong Kong, China",563.220019131672
India,277.375822190064
Ireland,672.181142663376
Italy,3.63761140212
Jamaica,1110.067281397968
Japan,4178.072119430928
Mexico,389.53312375524
Netherlands,1062.364403507664
Nigeria,3.556248432648
Norway,108.208741990032
"Other Asia, nes",287.70967116492
Panama,762.095872078776
Peru,59.122641766848
Saudi Arabia,2.042811274536
Spain,10.105304512128
St. Kitts and Nevis,1306.6995230544721
St. Lucia,184.16040362172
St. Vincent and the Grenadines,1228.050661207008
Sweden,13.00272326244
Switzerland,1.842233480712
Thailand,88.80237747456
Trinidad and Tobago,8507.931047301097
Ukraine,22.503886985496
United Arab Emirates,363.493851301728
United Kingdom,9989.421439894399
United States,96608.1034842032
United States Minor Outlying I,1097.5794211396799
Unspecified,752.062071276072
