Partner,Value
Afghanistan,478.852267616
Albania,2595.27913897
Algeria,615.755998887
American Samoa,319.30604348
Andorra,0.19016556
Angola,786.270293754
Anguila,6.542757292
Antigua and Barbuda,620.999307846
Argentina,216204.26932176098
Armenia,142.35012184
Aruba,30.49090959
Australia,374310.672924134
Austria,77565.704098151
"Bahamas, The",26.88451539
Bahrain,54134.032586694004
Bangladesh,159462.521847594
Barbados,3.0659596920000003
Belarus,8014.430695421
Belgium,590354.890224435
Belize,1855.1251256159999
Benin,1563.5128876719998
Bermuda,4.850234496
Bhutan,0.202683855
Bolivia,718.098592149
Bosnia and Herzegovina,539.828094465
Botswana,2765.026749897
Brazil,177358.179265377
British Virgin Islands,1.15830928
Brunei,8.498290707
Bulgaria,34619.344289093
Burkina Faso,3609.7307616479998
Burundi,190.742966013
Cambodia,11149.086040299
Cameroon,26238.871932456997
Canada,69294.98173597999
Cayman Islands,23.465698698
Central African Republic,83.05697441699999
Chad,441.944793112
Chile,5534.052952188999
China,4422787.724955102
Christmas Island,32.70566322
Colombia,594.709481796
Comoros,23043.053064854
"Congo, Dem. Rep.",0.607999696
"Congo, Rep.",5898.459149278
Cook Islands,2164.1147637209997
Costa Rica,341.15029133099995
Cote d'Ivoire,16482.391804552
Croatia,2126.639815578
Cuba,1180.961579708
Curaçao,3.2800746
Cyprus,9409.869603863
Czech Republic,106470.577524648
Denmark,74133.627169331
Djibouti,390.080593692
Dominica,32.553673864
Dominican Republic,1151.271710552
East Timor,0.395381205
Ecuador,759.20392896
"Egypt, Arab Rep.",169432.448725731
El Salvador,5510.538802749
Equatorial Guinea,3.936989712
Eritrea,42.79913353
Estonia,2546.69324118
Ethiopia(excludes Eritrea),287.797281487
Falkland Island,1.27011465
Fiji,90.293975207
Finland,42991.310111304
Fr. So. Ant. Tr,51.395889795
France,2762461.61995076
French Polynesia,84.295944566
Gabon,5920.098354939
"Gambia, The",75.72921462
Georgia,165.50811503199998
Germany,969079.9266193281
Ghana,2771.179664898
Gibraltar,224.153912427
Greece,124069.240447777
Grenada,22.665763315
Guam,3.165722085
Guatemala,1817.781579088
Guinea,7257.433512345
Guyana,494.729994888
Haiti,46.030867824
Holy See,4.588503672
Honduras,1292.278558542
"Hong Kong, China",143530.51757916
Hungary,42721.001066360004
Iceland,352.850452458
India,3448086.275320403
Indonesia,483825.26508000307
"Iran, Islamic Rep.",5407.776490677
Ireland,91387.262478189
Israel,27388.147173598
Italy,1029295.124798575
Jamaica,209.890679628
Japan,976393.9778008531
Jordan,7825.921054086
Kazakhstan,81.39630371999999
Kenya,396957.907952924
"Korea, Dem. Rep.",284.756019369
"Korea, Rep.",566672.574060983
Kuwait,4071.9812921049997
Kyrgyz Republic,1.67829546
Lao PDR,2324.859109671
Latvia,2127.032130692
Lebanon,1010.658694488
Lesotho,3771.806046941
Liberia,4572.269186184
Lithuania,10826.508362537
Luxembourg,1285.912230517
Macao,1630.219294369
"Macedonia, FYR",513.008149997
Madagascar,795242.3986134229
Malawi,6782.853740546
Malaysia,498130.411155837
Maldives,8649.347287868
Mali,5.453109957
Malta,34085.388711927
Marshall Islands,277.032143174
Mauritania,3.074493252
Mexico,40694.186243221004
Moldova,552.667402776
Mongolia,51.410729425
Morocco,36475.445342423
Mozambique,61163.868635149
Myanmar,4434.410807037
Namibia,14587.652071743
Nauru,7.59593262
Nepal,179.89532883299998
Netherlands,458926.466909386
New Caledonia,414.37197257300005
New Zealand,218108.541063952
Nicaragua,129.45028458
Niger,3.198449105
Nigeria,458.76269829500006
Niue,33.761250864
Norway,19923.170815876
Oman,28399.900203739
"Other Asia, nes",461768.84332223504
Pakistan,80995.845286781
Panama,11855.454052273
Papua New Guinea,0.176550156
Paraguay,26648.420621121
Peru,6499.6936680339995
Philippines,19653.21675728
Poland,109724.350050136
Portugal,122993.908485582
Qatar,9463.961694572
Romania,36811.434528443
Russian Federation,16482.503311694
Rwanda,533.106942636
Saint Helena,4.1673544709999994
Samoa,9.566903004
San Marino,349.59414855299997
Sao Tome and Principe,2.598854304
Saudi Arabia,152455.24629614
Senegal,2271.145685884
"Serbia, FR(Serbia/Montenegro)",9959.479878953
Seychelles,372725.802655001
Sierra Leone,617.219441853
Singapore,375409.221353395
Slovak Republic,36230.003852357
Slovenia,14097.917950394
Solomon Islands,548.658922272
Somalia,1113.735862199
South Africa,2888776.596886358
Spain,1110847.3898032252
Sri Lanka,29169.224814382
St. Lucia,87.84418142999999
Sudan,28.129670914
Suriname,78.52455401
Swaziland,86907.776378574
Sweden,88143.058500027
Switzerland,287735.03457945597
Syrian Arab Republic,72.331664964
Tanzania,18511.555075101
Thailand,580839.753821095
Togo,15.475683105
Tokelau,182.751494295
Tonga,4.68887508
Trinidad and Tobago,44.165163642
Tunisia,18301.661463913002
Turkey,403822.678172677
Turks and Caicos Isl.,2.896142712
Tuvalu,0.264768972
Uganda,9847.901139862
Ukraine,14948.180102824
United Arab Emirates,1672695.845758126
United Kingdom,1710594.484927381
United States,1452135.980013813
Uruguay,20618.800286085
Uzbekistan,53.471095359
Vanuatu,15.228443089999999
Venezuela,408.870535163
Vietnam,459855.559297885
Western Sahara,0.326769696
Yemen,7.559207488
Zambia,74430.969797452
Zimbabwe,65769.505797969
