Partner,Value
Afghanistan,1.34292
Algeria,5837.90564
Andorra,9.71004
Angola,12279.96153
Argentina,58936.02081
Armenia,39140.245
Australia,50179.06178546076
Austria,6477.29
Azerbaijan,35.106049999999996
Bahrain,69.02668
Bangladesh,3350.1633899999997
Belarus,3785.2814000000003
Belgium,681699.27558
Belize,0.8813
Benin,1.24105
Bhutan,2.53984
Bolivia,51.100210000000004
Bosnia and Herzegovina,80.384
Botswana,47113.771559999994
Brazil,13760.84522
British Virgin Islands,359.97251
Bulgaria,12082.3822
Burundi,10166.77909
Cambodia,3818.74465
Cameroon,9.82629
Canada,50700.15589
Cape Verde,5.80721
Chile,15.63315
China,2637985.67252
Cocos (Keeling) Islands,1.34165
Colombia,314.19077
Comoros,4.0737000000000005
"Congo, Dem. Rep.",21619.53374
"Congo, Rep.",2672.34625
Costa Rica,30.60146
Cote d'Ivoire,68.4281
Croatia,168.03405
Cuba,1.36114
Cyprus,7174.18048
Czech Republic,10530.23039
Denmark,84722.5997
Djibouti,16.36145
Dominican Republic,18611.08076
East Timor,24.66341
Ecuador,28.610000000000003
"Egypt, Arab Rep.",324640.3585
El Salvador,17.483999999999998
Eritrea,32.84958
Estonia,2689.84293
Ethiopia(excludes Eritrea),5854.71417
Fiji,443.7726
Finland,60162.7983
France,89954.27704999999
Gabon,56.27619
"Gambia, The",83.62975
Georgia,7811.42571
Germany,253105.67365999997
Ghana,460.84526999999997
Gibraltar,73.7358
Greece,12393.78798
Grenada,24.79155
Guam,49.45756
Guinea,3719.60228
Haiti,423.6798
"Hong Kong, China",309842.26273
Hungary,3613.5589
Iceland,99.48109
India,1287248.9321299999
Indonesia,211934.25312999997
"Iran, Islamic Rep.",4601.330800000001
Ireland,49685.50922
Israel,7286.93476
Italy,133760.95896
Jamaica,161.96007
Japan,510519.47651999997
Jordan,43084.22653
Kazakhstan,121.39412
Kenya,428676.59355
"Korea, Dem. Rep.",1551.7511900000002
"Korea, Rep.",111928.86018
Kuwait,346198.35006
Lao PDR,2485.36428
Latvia,165.82329000000001
Lebanon,3184.51088
Lesotho,311.5673
Lithuania,748.75094
Luxembourg,690.43024
Madagascar,14538.395129999999
Malaysia,186756.02387
Mali,93.17818
Malta,21780.54188
Mauritania,1941.8942399999999
Mauritius,12624.999329999999
Mexico,8059.52627
Moldova,331.59459
Morocco,33107.573019999996
Mozambique,225891.06954
Myanmar,24.91591
Namibia,4701.05182
Nauru,8.48565
Nepal,21.5975
Netherlands,325582.48324
New Zealand,7673.436729999999
Nicaragua,95.79023000000001
Niger,90.35082
Nigeria,1428.30256
Norway,418396.94956000004
Oman,28658.23118
"Other Asia, nes",29123.57098
Pakistan,73314.98851
Panama,182.38063
Paraguay,15647.31948
Peru,2.6384
Philippines,4755.95049
Poland,46867.66633
Portugal,30940.39558
Qatar,11746.523140000001
Romania,10889.743330000001
Russian Federation,179791.64229
Rwanda,40395.12808
Saint Helena,19.95055
Sao Tome and Principe,22.869899999999998
Saudi Arabia,143165.14000999997
Senegal,1837.4501400000001
"Serbia, FR(Serbia/Montenegro)",2252.98627
Seychelles,4152.76694
Sierra Leone,1007.13532
Singapore,56098.71603
Slovak Republic,7090.196309999999
Slovenia,390.81752
South Africa,2425864.91327
Spain,34980.95051
Sri Lanka,4460.778920000001
St. Kitts and Nevis,1.67325
St. Vincent and the Grenadines,27.57142
Sudan,9144.818459999999
Suriname,13.44033
Swaziland,25682.25497
Sweden,54590.82513
Switzerland,201513.49602999998
Syrian Arab Republic,0.3612
Tajikistan,2.3949000000000003
Tanzania,401533.68306000007
Thailand,61652.38641
Tokelau,51.8055
Trinidad and Tobago,27.613650000000003
Tunisia,8403.8894
Turkey,47522.17589
Turks and Caicos Isl.,7.37421
Tuvalu,12.8594
Uganda,8937.94774
Ukraine,116997.53566
United Arab Emirates,1351452.38141
United Kingdom,1035644.8955754617
United States,384709.29222
Unspecified,1817.2122200000001
Uruguay,4452.680729999999
Uzbekistan,1.53215
Venezuela,169.46242
Vietnam,57606.98167
Zambia,572420.58335
Zimbabwe,208374.8559
