Partner,Value
Afghanistan,444826.2833864643
Albania,34128.2059239969
Algeria,865535.665779829
American Samoa,63039.904599672
Andorra,4960.841634256501
Angola,1423911.2981136441
Antarctica,6201.1696658964
Antigua and Barbuda,2178.6294557214
Argentina,4859681.389298971
Armenia,6438.2246418831
Aruba,201323.8071312756
Australia,52400652.94501723
Austria,3171544.8135465495
Azerbaijan,133581.2028121026
"Bahamas, The",9002.0632132668
Bahrain,1201749.4520565826
Bangladesh,10734347.823292406
Barbados,14068.8877650822
Belarus,203291.0607381228
Belgium,8629534.976587396
Belize,9212.3819632209
Benin,384380.01142207586
Bermuda,1852.8679719531
Bhutan,6238.532886370801
Bolivia,87025.1976221256
Bosnia and Herzegovina,4699.608326769599
Botswana,8662.5505116669
Brazil,11577351.45214451
British Virgin Islands,3682.8339042513
Brunei,4292002.159604207
Bulgaria,620328.7571669781
Burkina Faso,17066.75222715
Burundi,1982.3952996228
Cambodia,3442489.7769241035
Cameroon,628502.0294796868
Canada,7566460.49524359
Cape Verde,5596.3277907722995
Cayman Islands,1252.3406729877001
Central African Republic,9636.0041562207
Chad,11256.9008347992
Chile,1701466.3705623276
China,351353397.97557855
Christmas Island,29558.0558839536
Cocos (Keeling) Islands,102.6428808705
Colombia,818268.2965053241
Comoros,18780.611570409
"Congo, Dem. Rep.",274136.2095908682
"Congo, Rep.",1056807.7867531795
Cook Islands,775.91398698
Costa Rica,402814.0582171803
Cote d'Ivoire,2910845.566966479
Croatia,124433.29591674509
Cuba,24747.126036606598
Curaçao,5086.5033933015
Cyprus,94037.3123117205
Czech Republic,3376342.9053080506
Denmark,1978612.9888235969
Djibouti,347589.85346967453
Dominica,3883.7688795486
Dominican Republic,189478.9128255609
East Timor,114652.0844138421
Ecuador,487876.7035344612
"Egypt, Arab Rep.",2340296.1442395104
El Salvador,52625.903640878096
Equatorial Guinea,122297.30045058271
Eritrea,14272.2534161106
Estonia,404569.44882611907
Ethiopia(excludes Eritrea),265903.3411840968
Faeroe Islands,134.0330941332
Falkland Island,6147.4159806177
Fiji,264197.75323553936
Finland,1500397.3387549124
France,19862804.26339755
French Polynesia,69965.94213098011
Gabon,912359.344638583
"Gambia, The",141464.4572961705
Georgia,132268.74847937882
Germany,61030423.01398316
Ghana,1428149.9120950685
Gibraltar,2547.0114105423
Greece,768343.5620799176
Greenland,289.300864998
Grenada,4121.4276016872
Guam,251275.23577878482
Guatemala,380096.4440616366
Guinea,163695.0923644518
Guinea-Bissau,5643.276115088101
Guyana,25950.7725667377
Haiti,70438.1691481335
Heard Island and McDonald Isla,1.9524585672
Holy See,48.6289643436
Honduras,92901.474126888
"Hong Kong, China",94733927.03394428
Hungary,3468083.9609844415
Iceland,6153.5700392543995
India,64771210.39910348
Indonesia,73171663.51411432
"Iran, Islamic Rep.",1954104.0009333037
Iraq,1747154.5211962913
Ireland,6185748.877521124
Italy,13397903.67305348
Jamaica,57699.9840096018
Japan,141689986.2830385
Jordan,777001.0508765454
Kazakhstan,281687.03700190503
Kenya,1663152.2218960645
Kiribati,13545.8002644216
"Korea, Rep.",78932693.28723139
Kuwait,1560800.118304585
Kyrgyz Republic,7708.2704544225
Lao PDR,84669.5566022007
Latvia,165812.6881777962
Lebanon,264310.8278167146
Lesotho,569.6589966104999
Liberia,182662.2578747694
Libya,1250850.8502987642
Lithuania,475918.0080278523
Luxembourg,191849.7556473345
Macao,174062.4909278526
"Macedonia, FYR",7176.0362357709
Madagascar,367739.0578674561
Malawi,44981.6768691237
Maldives,545876.1688099874
Mali,49016.3777000112
Malta,488673.12026761204
Marshall Islands,176123.2983926334
Mauritania,210547.23950787092
Mauritius,380414.6525627577
Mexico,12567269.126317617
"Micronesia, Fed. Sts.",3537.641041683
Moldova,47413.0372160121
Mongolia,124660.942977885
Montenegro,34657.9481508348
Morocco,439557.8100339333
Mozambique,898722.1583052904
Myanmar,4084424.341862337
Namibia,125127.1240844529
Nauru,1531.0222684047
Nepal,176438.8396441614
Netherlands,35781096.42294251
New Caledonia,189851.7773722629
New Zealand,8015134.827994662
Nicaragua,55311.3353836842
Niger,43525.3648677405
Nigeria,2949729.6097548045
Niue,386.0267438976
Norfolk Island,1014.2240114447999
Northern Mariana Islands,3961.4471829306
Norway,1593479.0973729636
Occ.Pal.Terr,10961.8512249546
Oman,2630330.8577364036
"Other Asia, nes",107459773.75322916
Pakistan,6079186.678927278
Palau,9739.9368474429
Panama,528754.8150940862
Papua New Guinea,2166346.941292113
Paraguay,32059.5883835454
Peru,878040.0990445722
Philippines,30095339.648574635
Pitcairn,23.415984299999998
Poland,3381923.8333474174
Portugal,802172.2978424774
Qatar,3534735.637769662
Romania,991391.9899281913
Russian Federation,8489359.355103455
Rwanda,52427.8331405262
Saint Helena,158.88035029830002
Saint Maarten (Dutch part),8.1825588024
Saint Pierre and Miquelon,6.351283989
Samoa,17455.810013304
San Marino,14.5282905477
Sao Tome and Principe,2668.3491787545
Saudi Arabia,23359034.654653072
