Partner,Value
Afghanistan,5.1444779504
Algeria,29.963121554234498
American Samoa,14.549996520471002
Andorra,929.8150601303521
Angola,183967.9607079027
Anguila,43.0135141481504
Antarctica,1.040515397044
Antigua and Barbuda,5.8781437544944
Argentina,24312.506373273878
Australia,73000.50016994515
Austria,79333.57770464178
Azerbaijan,52.4352790374699
"Bahamas, The",375100.09108609904
Bahrain,98796.46264014867
Bangladesh,10163.80296103448
Barbados,147.87650232685502
Belarus,10.1893254994894
Belgium,1822105.8523907731
Belize,243.8935339051695
Benin,397.4560537671968
Bermuda,500.1378957235401
Bhutan,12.536627436608999
Bolivia,138.87118694225552
Bosnia and Herzegovina,302.04589039960774
Botswana,3284593.426131099
Brazil,60993.471207571405
British Indian Ocean Ter.,68.8725204410632
British Virgin Islands,132.576189586026
Brunei,0.210518647374
Bulgaria,988588.881339283
Burkina Faso,1141.8092564715002
Burundi,1.1797242898244
Cambodia,1809.8702632504421
Cameroon,9462.753860964502
Canada,433209.3478774494
Cape Verde,378.1316930322848
Cayman Islands,32.9135526576833
Chad,1.0780118543100001
Chile,444557.6421116971
China,7438237.015542643
Colombia,20.109316155239398
Comoros,102.394973419552
"Congo, Dem. Rep.",1273016.830558807
"Congo, Rep.",701.3488833862772
Cook Islands,95.659486949288
Costa Rica,108.86649833743951
Cote d'Ivoire,17054.99117185809
Croatia,291.5851395212143
Cuba,491.9424515352646
Curaçao,68.0765155253164
Cyprus,50603.7456918977
Czech Republic,19695.929319269108
Denmark,47673.708379517295
Djibouti,28.4175080991552
Dominica,80.1120325124188
Dominican Republic,113.3322314078432
Ecuador,221.9386547451132
"Egypt, Arab Rep.",47961.32195155766
El Salvador,198.664764924885
Equatorial Guinea,469.33220405503425
Estonia,29200.869147051133
Ethiopia(excludes Eritrea),134.7798460766087
Faeroe Islands,751.9048155439754
Falkland Island,29224.989686225235
Fiji,0.30805838576
Finland,47813.51283746263
France,757486.7744444965
Gabon,668.024803562982
"Gambia, The",481.31287716771965
Georgia,361.2301546371006
Germany,747219.3382265614
Ghana,14694.730340569591
Gibraltar,3257.746963757675
Greece,77009.50890531595
Guatemala,0.7760587100984999
Guinea,23.879562821896002
Guyana,210.1343784
Haiti,381.9325012438464
Holy See,372.2972588174988
Honduras,2.5086117057846002
"Hong Kong, China",460751.2492256265
Hungary,4433.747749366915
Iceland,23605.161431347136
India,1108244.2441336412
Indonesia,60364.01629911176
"Iran, Islamic Rep.",50.5731696385196
Iraq,13.03295261259
Ireland,220800.58907618275
Israel,226195.35273947084
Italy,923694.925118851
Jamaica,47.474305542132804
Japan,231015.93844082125
Jordan,686.0452596281184
Kazakhstan,32103.636697102702
Kenya,9689.258641594799
Kiribati,200.5574160282944
"Korea, Dem. Rep.",265.4082722775807
"Korea, Rep.",120025.21398826473
Kuwait,670.281225272376
Kyrgyz Republic,13.8682392647776
Lao PDR,157.1597779049656
Latvia,3487.7013609978576
Lebanon,4686.98293780777
Lesotho,11765.613723170107
Liberia,34.799004822038
Libya,1358.9633278200542
Lithuania,3882.218116285958
Luxembourg,5760.8903283933605
Macao,23.9780691008355
"Macedonia, FYR",301.807829948996
Madagascar,1912.8344713401596
Malawi,7089.7793539320755
Malaysia,217762.01704255785
Maldives,0.41610768
Mali,231.04999832381608
Malta,48694.02423952451
Marshall Islands,52223.302785970845
Mauritania,677.5461512651668
Mauritius,393033.61639763473
Mexico,30941.124998266117
Moldova,295.26057093666117
Mongolia,0.048851405392500005
Morocco,91581.19919597406
Mozambique,149203.9519225763
Myanmar,35.8492348283631
Nauru,2.6059781343225
Nepal,16.3239493985892
Netherlands,890447.973911508
New Caledonia,93.8835378029994
New Zealand,4140.580474903063
Nicaragua,7.7883072084605995
Niger,2862.9676129433983
Nigeria,58479.142546661744
Norway,391304.21782489785
Oman,125890.29088827007
"Other Asia, nes",25349.693528427284
Pakistan,12528.592239844224
Panama,69477.41930921348
Papua New Guinea,5.056949936602
Paraguay,19.3374280185175
Peru,534950.5141155336
Philippines,2932.6609929809506
Poland,55526.99740758945
Portugal,74806.51220458804
Qatar,56272.655248409
Romania,35323.62054112442
Russian Federation,119947.15910917072
Rwanda,441.634488197444
Saint Helena,10.08950161952
Samoa,2183.771124531988
San Marino,0.1056806649
Sao Tome and Principe,0.17993341964999998
Saudi Arabia,28040.697904648227
Senegal,413.5623605168961
"Serbia, FR(Serbia/Montenegro)",228.0111726504651
Seychelles,3965.956433877638
Sierra Leone,93.8474446213284
Singapore,120702.21467119819
Slovak Republic,7576.517394492003
Slovenia,797.3938018125639
Somalia,15.9377494242
South Africa,19433301.351175416
South Georgia and the South Sa,5.7535676040876
Spain,1484233.2231429764
Sri Lanka,767.088214317534
St. Kitts and Nevis,10.885174915073101
St. Lucia,0.3006980999754
St. Vincent and the Grenadines,1069.766092886478
Sudan,22.1674182966226
Suriname,3.426339836883
Swaziland,121801.137523572
Sweden,39519.54527760439
Switzerland,296588.03550119686
Syrian Arab Republic,0.73246959412
Tajikistan,1135.5185046426518
Tanzania,18032.070205836695
Thailand,99439.35633718183
Togo,111022.7740246294
Tokelau,73.3115454803181
Trinidad and Tobago,87.3550746668505
Tunisia,95330.88541511206
Turkey,230282.80639337836
Turkmenistan,44.6900730199968
Turks and Caicos Isl.,71.9061791324391
Tuvalu,101.257507732722
Uganda,179.2065218669707
Ukraine,16865.911964861516
United Arab Emirates,1227984.585637166
United Kingdom,541491.3480347056
United States,1330066.548073014
Unspecified,2323318.8001010334
Uruguay,14112.105927126937
Vanuatu,2387.3431195016597
Venezuela,0.26873971433099997
Vietnam,43141.45210395052
Wallis and Futura Isl.,50.056395312424804
Zambia,5811595.579388815
Zimbabwe,92063.58869715853
