Partner,Value
Afghanistan,134.09298131388
Albania,150.542072353746
Algeria,210802.8463263816
American Samoa,76.49936617
Andorra,252.55016424000002
Angola,2.56240877915
Antigua and Barbuda,1.2789872661000001
Argentina,11482.88397760784
Australia,5793.97845078587
Austria,2309.18358496397
Azerbaijan,303.17387006152796
Bahrain,59.50962845166001
Bangladesh,636.2421131782
Barbados,423.7293544
Belarus,27.77452498812
Belgium,237301.58230554478
Benin,182310.8015379656
Bhutan,2.59208085932
Bosnia and Herzegovina,120.00830116757001
Brazil,112663.12343163686
Brunei,137.34391639113198
Bulgaria,4929.640371168283
Burkina Faso,210706.67787855986
Cambodia,3216.96776711816
Cameroon,688.03569217685
Canada,26526.80848883045
Cape Verde,82.9917682066
Central African Republic,2722.376934349396
Chad,89889.08894914825
Chile,316.347186518764
China,2605488.762946933
Christmas Island,2167.3533184499997
Cocos (Keeling) Islands,18.4715570156
Colombia,10.6821016464
"Congo, Dem. Rep.",1083.549660225916
"Congo, Rep.",1012.7523633783401
Cook Islands,6.885769010500001
Costa Rica,37.1933930808
Cote d'Ivoire,387004.3798773188
Croatia,75.573273658858
Cuba,63.64001892
Cyprus,2247.70810646644
Czech Republic,7068.707458382774
Denmark,13248.819690390896
Djibouti,285.92715286199996
Dominica,1.07994274116
Ecuador,3.186173855082
"Egypt, Arab Rep.",18680.81728617529
Equatorial Guinea,291.1259034862
Estonia,25597.669372217715
Ethiopia(excludes Eritrea),4111.9584939805
Finland,6393.446366632161
Fr. So. Ant. Tr,4.17461443656
France,3504145.852080655
Gabon,1299.3082792242972
"Gambia, The",2126.94441467596
Georgia,0.8403202136
Germany,232640.91660297697
Ghana,459361.65505736915
Greece,12416.904219277243
Guatemala,4782.63233455536
Guinea,1130.380078630614
Haiti,41.6053725428
Honduras,21817.53276981283
"Hong Kong, China",1029.7326976940801
Hungary,10328.430400501766
Iceland,566.8719618703
India,439612.5035796168
Indonesia,222554.75106284794
"Iran, Islamic Rep.",5234.0116729238325
Ireland,55218.13676806838
Israel,7417.939298371697
Italy,134893.76503800994
Jamaica,56.265936826499996
Japan,394295.39788660605
Jordan,606.4507725986
Kazakhstan,3186.09558104
Kenya,1077.92549858039
"Korea, Dem. Rep.",968.37186272821
"Korea, Rep.",28014.956205520677
Kuwait,1412.468882726357
Lao PDR,1762.7995276625002
Latvia,783.23151705
Lebanon,1585.691986866023
Liberia,222.11020761499998
Libya,2822.930715126552
Lithuania,4270.0025381044015
Luxembourg,1876.374160511296
Macao,25.264671072499997
"Macedonia, FYR",2.49105962377
Madagascar,81.99634445230001
Malaysia,201229.3461230337
Mali,407309.80516862543
Malta,1679.4415880473891
Mauritania,589.87632436994
Mexico,10853.912267530432
Moldova,0.94507950256
Morocco,73388.69011942444
Mozambique,0.298034728696
Myanmar,4318.79762458536
Namibia,668.8008824428343
Nauru,19.25423242035
Netherlands,69124.68788642257
New Caledonia,29.01792571217
New Zealand,7409.802410727024
Nicaragua,225.175899169268
Nigeria,1412933.4745147354
Niue,10.4885482405
Norfolk Island,4.1836315091456004
Norway,204.01625880579502
Occ.Pal.Terr,2.4640122819999997
Oman,360.43254572480004
"Other Asia, nes",3505.991080660824
Pakistan,47647.00707961205
Panama,80.628627717455
Peru,28.107481184604
Philippines,308.19308667988497
Poland,36800.74899342897
Portugal,12191.330549891587
Qatar,117.54929808
Romania,6941.5063574523065
Russian Federation,15403.36853002991
Rwanda,1173.2960197655
Saudi Arabia,10015.435478345054
Senegal,66392.31556057035
"Serbia, FR(Serbia/Montenegro)",54.91229508
Sierra Leone,119.925427484436
Singapore,9899.888705822746
Slovak Republic,721.051190925577
Slovenia,620.71017538399
Somalia,18.505145639796
South Africa,56144.262599212736
Spain,58098.73679776549
Sri Lanka,21.808531996
St. Kitts and Nevis,16.1350468025
St. Vincent and the Grenadines,2.1514356397975
Sudan,153.44000270488
Swaziland,296.750154813055
Sweden,52295.15487992534
Switzerland,21658.96781555614
Tanzania,31225.94870264
Thailand,889907.6930900015
Togo,122254.39839750282
Tokelau,154.171920068728
Tunisia,48077.73647828331
Turkey,646608.3694404829
Turks and Caicos Isl.,1181.8819105483901
Uganda,31.411563275120002
Ukraine,64632.69849714428
United Arab Emirates,84784.28747154232
United Kingdom,23381.960519088017
United States,757466.4864916732
Unspecified,617744.1591532744
Uruguay,6.394936330499999
Uzbekistan,1.4787821302500002
Venezuela,462.83510968
Vietnam,2818.8972966532947
