Partner,Value
Afghanistan,1038.8707100000001
Albania,1085.85805
Algeria,17377.392219999998
American Samoa,302.50927
Andorra,3731.15537
Angola,2866090.16805
Anguila,71.86545
Antarctica,403.02401000000003
Antigua and Barbuda,891.26325
Argentina,788331.7635000001
Armenia,109.08005
Aruba,5.00272
Australia,1770771.33942
Austria,289366.93771
Azerbaijan,430.71961
"Bahamas, The",66277.37196
Bahrain,13375.745630000001
Bangladesh,217004.16650999998
Barbados,16.12205
Belarus,57504.46399
Belgium,10855950.33646
Belize,162.81731
Benin,1862309.6773100002
Bermuda,39.208800000000004
Bolivia,142.35629
Bosnia and Herzegovina,3364.20651
Botswana,811.67763
Brazil,6433907.38294
British Indian Ocean Ter.,1261.36728
British Virgin Islands,1572.92253
Brunei,4499.15699
Bulgaria,101114.75996
Burkina Faso,12768.16532
Burundi,776.90283
Cambodia,81.19087999999999
Cameroon,4135018.41242
Canada,7644455.81567
Cape Verde,6067.13453
Central African Republic,204.30444999999997
Chad,17633.642799999998
Chile,410540.52055
China,64263774.793110006
Christmas Island,107.32325
Cocos (Keeling) Islands,47.01925
Colombia,144598.91962
Comoros,109.73173
"Congo, Dem. Rep.",951.52952
"Congo, Rep.",129107.69927000001
Costa Rica,117.23665
Cote d'Ivoire,5065492.19002
Croatia,167169.93407
Cuba,1045.13337
Curaçao,7606.245070000001
Cyprus,97580.12547000001
Czech Republic,178812.7561
Denmark,2475800.20107
Djibouti,8708.800519999999
Dominica,251637.5574
Dominican Republic,259530.90039
Ecuador,3539.11519
"Egypt, Arab Rep.",536926.57249
El Salvador,943.4874
Equatorial Guinea,375582.67968
Eritrea,18.7303
Estonia,134124.97242
Ethiopia(excludes Eritrea),31032.427900000002
Faeroe Islands,164772.71724
Fiji,9.54618
Finland,209405.89292
France,18559355.18349
Gabon,43024.06283
"Gambia, The",9371.32927
Georgia,725.3396
Germany,11711953.57359
Ghana,17883834.2998
Gibraltar,763921.54265
Greece,691771.89184
Greenland,445.38772
Guam,10.92284
Guatemala,25468.864869999998
Guinea,31093.35327
Guinea-Bissau,14284.13112
Guyana,3917.41592
Haiti,9.10345
Holy See,100.88071000000001
Honduras,169.97158000000002
"Hong Kong, China",726470.24629
Hungary,151327.33019
Iceland,231452.95862000002
India,60854573.25272
Indonesia,7879995.28003
"Iran, Islamic Rep.",2368.38073
Iraq,9721.067430000001
Ireland,1413036.3375300001
Israel,259438.85874999998
Italy,12755491.99248
Jamaica,76.71287
Japan,4626518.20218
Jordan,16043.13181
Kazakhstan,251.5365
Kenya,107618.02278
"Korea, Dem. Rep.",15325.33497
"Korea, Rep.",5885498.08375
Kuwait,420750.05515000003
Kyrgyz Republic,3.6012
Lao PDR,32.9221
Latvia,797514.08404
Lebanon,160652.82477
Lesotho,32.14324
Liberia,37319.16874
Libya,415.50564999999995
Lithuania,86915.25115
Luxembourg,142124.76525
Macao,25.08448
"Macedonia, FYR",38.09129
Madagascar,175.48479
Malawi,2141.0545899999997
Malaysia,3177187.59231
Maldives,1.5761
Mali,7802.938969999999
Malta,141042.2138
Marshall Islands,16164.44016
Mauritania,270981.22277000005
Mauritius,27004.87127
Mexico,991459.26266
"Micronesia, Fed. Sts.",27.570549999999997
Moldova,3953.0112
Montenegro,0.9308
Morocco,197279.18475000001
Mozambique,8319.91002
Myanmar,7243.200919999999
Namibia,154583.14778
Nauru,54.2716
Nepal,8.895710000000001
Netherlands,33986961.29759
New Caledonia,334.98789999999997
New Zealand,379867.3544
Nicaragua,1320.70725
Niger,345010.56398000004
Niue,34.3448
Norfolk Island,96.54204999999999
Norway,1564359.43033
Oman,89989.72593
"Other Asia, nes",829251.2489100001
Pakistan,865925.64119
Palau,0.6297999999999999
Panama,481294.64212
Papua New Guinea,5.7796
Peru,722916.69515
Philippines,232919.50274000003
Pitcairn,7.63652
Poland,2621021.23926
Portugal,3563113.3552800003
Qatar,369271.72582
Romania,337979.29025
Russian Federation,3010756.3043299997
Rwanda,532.30834
Saint Helena,1.11445
Sao Tome and Principe,1.39868
Saudi Arabia,1435727.92643
Senegal,1655140.28742
"Serbia, FR(Serbia/Montenegro)",26702.50494
Seychelles,4161.398
Sierra Leone,9189.65255
Singapore,2695589.19161
Slovak Republic,91644.44868
Slovenia,58141.22418
Somalia,1997.94476
South Africa,14863344.00751
Spain,23692933.392009996
Sri Lanka,10513.469379999999
St. Lucia,1.37025
Sudan,65041.12639
Suriname,168.4271
Swaziland,6289768.9508
Sweden,4235015.25649
Switzerland,707315.28035
Syrian Arab Republic,2300.37978
Tanzania,83284.48573
Thailand,3012495.79945
Togo,2217099.68318
Tokelau,220.88896
Trinidad and Tobago,366.17395
Tunisia,50948.68506
Turkey,7445967.406520001
Turkmenistan,75.54784000000001
Turks and Caicos Isl.,2.0000999999999998
Uganda,12466.57398
Ukraine,607916.90905
United Arab Emirates,5740910.74388
United Kingdom,10882855.30724
United States,33662419.73863
United States Minor Outlying I,62.90191
Unspecified,848291.5501299999
Uruguay,860713.71915
Venezuela,1709.1528700000001
Vietnam,1039737.3013500001
Wallis and Futura Isl.,153.25234999999998
Yemen,104.70486
Zambia,905.46492
Zimbabwe,12897.84133
