Partner,Value
Afghanistan,6.53083
Albania,406.32849999999996
Algeria,1.3496
Andorra,84.08115000000001
Angola,929.28207
Anguila,1.1303
Antigua and Barbuda,15.0
Argentina,218534.74310000002
Aruba,108.30836000000001
Australia,66737.76472
Austria,47298.77056999999
"Bahamas, The",20910.19792
Bahrain,56.46754
Bangladesh,17165.9713
Barbados,42.231880000000004
Belarus,3306.03347
Belgium,256396.97348
Belize,4039.15378
Bhutan,0.8447499999999999
Bolivia,6059.0035800000005
Bosnia and Herzegovina,150.2533
Bouvet Island,0.0302
Brazil,370738.43013
British Virgin Islands,3450.97316
Brunei,0.7987
Bulgaria,17414.66326
Burundi,2.11315
Cambodia,8484.382210000002
Cameroon,10444.7159
Canada,380468.47896
Cape Verde,22.42484
Cayman Islands,268.44844
Chile,140602.95223
China,4340496.126940001
Cocos (Keeling) Islands,0.1496
Colombia,354604.00809
"Congo, Dem. Rep.",24.620530000000002
Costa Rica,2465237.58568
Croatia,908.3891699999999
Cuba,27515.58857
Curaçao,1935.25096
Cyprus,1364.9165600000001
Czech Republic,21758.732669999998
Denmark,41268.050540000004
Dominica,1.76392
Dominican Republic,251060.06926000002
East Timor,165.96753999999999
Ecuador,901062.29827
"Egypt, Arab Rep.",2936.1312300000004
El Salvador,2514347.62485
Estonia,7660.72344
Ethiopia(excludes Eritrea),0.9031
Fiji,19.72928
Finland,27536.11827
France,305372.65519
Gabon,2271.99096
Georgia,431.32257
Germany,824921.08287
Ghana,90249.63176
Greece,10030.60504
Guam,1.0484499999999999
Guatemala,2577179.2044
Guyana,284.525
Haiti,66102.2829
Honduras,4009887.05966
"Hong Kong, China",129770.36949
Hungary,14424.207279999999
Iceland,2141.18412
India,597322.21251
Indonesia,102307.71891000001
"Iran, Islamic Rep.",57.49143
Iraq,2.39255
Ireland,36719.69619
Israel,30486.13023
Italy,320550.01341
Jamaica,1709.02508
Japan,512145.25762999995
Jordan,15031.34077
Kenya,356.67103
"Korea, Dem. Rep.",101.8993
"Korea, Rep.",572497.8714599999
Kuwait,21.231749999999998
Lao PDR,42.0905
Latvia,2450.79184
Lebanon,1970.39768
Lesotho,116.4233
Liberia,164.41288
Lithuania,14233.37816
Luxembourg,2468.90627
Macao,93.42362
"Macedonia, FYR",353.48252
Madagascar,817.64775
Malawi,4.87385
Malaysia,70060.29378
Mali,0.33592
Malta,898.4319999999999
Marshall Islands,14974.039520000002
Mauritania,12379.2706
Mauritius,4.95902
Mexico,4540443.487550001
"Micronesia, Fed. Sts.",14.54808
Moldova,15.050699999999999
Morocco,5799.04917
Mozambique,49.810069999999996
Myanmar,536.59002
Namibia,1145.26584
Nauru,3.0757499999999998
Netherlands,198215.15561000002
New Zealand,56313.532250000004
Niger,1.3249
Nigeria,3019.74928
Norway,20184.83348
Occ.Pal.Terr,1.2332999999999998
Oman,3509.12947
"Other Asia, nes",653796.90285
Pakistan,20913.44503
Panama,341910.21344
Paraguay,9743.49222
Peru,138271.39987
Philippines,23712.7676
Pitcairn,115.98561
Poland,72506.8217
Portugal,61859.80744
Qatar,1570.2563499999999
Romania,4693.73475
Russian Federation,322958.3687600001
San Marino,0.02264
Saudi Arabia,19551.37396
Senegal,1.29151
"Serbia, FR(Serbia/Montenegro)",2988.9359299999996
Seychelles,5.29296
Sierra Leone,70.3436
Singapore,16054.59652
Slovak Republic,6805.388220000001
Slovenia,2138.47223
Somalia,22.5024
South Africa,14510.34004
Spain,607311.7978000001
Sri Lanka,10312.009479999999
Sudan,0.30828
Suriname,16.384149999999998
Swaziland,49.5367
Sweden,68440.18387000001
Switzerland,74584.39439
Syrian Arab Republic,58.29041
Tanzania,290.25266
Thailand,164061.5452
Togo,906.203
Tokelau,85.85494
Trinidad and Tobago,16092.44915
Tunisia,2522.0289900000002
Turkey,96832.74964000001
Turkmenistan,0.32875
Turks and Caicos Isl.,1.52843
Uganda,0.5676599999999999
Ukraine,29078.4429
United Arab Emirates,47856.98009
United Kingdom,289509.33505
United States,22894283.09288
United States Minor Outlying I,28.74099
Uruguay,48000.822439999996
Vanuatu,0.441
Venezuela,193387.31546
Vietnam,215839.01025
Wallis and Futura Isl.,17.124670000000002
Yemen,0.01629
