Partner,Value
Afghanistan,159891.17133391704
Albania,477359.0755514819
Algeria,8339220.489515683
American Samoa,283.70960671725
Andorra,110868.16752386585
Angola,981709.931372511
Anguila,4969.26886522375
Antarctica,245.57781563665
Antigua and Barbuda,104982.20483939066
Argentina,9580927.816941926
Armenia,321267.16076223267
Aruba,781488.8691013134
Australia,23247740.82036557
Austria,46914302.88782784
Azerbaijan,1263211.6160711916
BLM,1903.4526566150998
"Bahamas, The",150978.806384623
Bahrain,1126125.6139933101
Bangladesh,9205230.863629848
Barbados,107994.78576229064
Belarus,2224081.018033042
Belgium,476357419.6139764
Belize,48507.44821275515
Benin,418639.46993241954
Bermuda,222974.6102202223
Bhutan,5134.044053792901
Bolivia,513711.1683044104
Bonaire,510416.1865764885
Bosnia and Herzegovina,1424536.4288777336
Botswana,50187.800358350505
Bouvet Island,201.29790615270002
Brazil,31242709.885063507
British Indian Ocean Ter.,2005.08447425385
British Virgin Islands,184077.9189481212
Brunei,229591.8939968505
Bulgaria,9366827.922050819
Bunkers,21158631.013279136
Burkina Faso,453151.5852340271
Burundi,31560.347365720052
Cambodia,2351160.8006892623
Cameroon,3635410.2262670537
Canada,31178424.300697282
Cape Verde,754986.2335899399
Cayman Islands,17147030.510544654
Central African Republic,105453.17952874675
Chad,87718.74132441674
Chile,8318901.479209935
China,292760280.975683
Christmas Island,861.37799124165
Cocos (Keeling) Islands,1777.93900282095
Colombia,5280306.919317631
Comoros,24203.694421453103
"Congo, Dem. Rep.",1564619.2066580749
"Congo, Rep.",714821.0873114654
Cook Islands,1554.6631378005
Costa Rica,4513966.035630609
Cote d'Ivoire,7534243.805428645
Croatia,5192498.43020492
Cuba,1359657.5162513969
Curaçao,1175572.8668841019
Cyprus,2626254.540996895
Czech Republic,68919849.0851605
Denmark,55554785.548311554
Djibouti,137723.88305463336
Dominica,26601.551597107198
Dominican Republic,2329831.452769718
East Timor,32563.06284426785
Ecuador,3486630.846149844
"Egypt, Arab Rep.",10419899.729484696
El Salvador,222831.5052497568
Equatorial Guinea,734482.77548867
Eritrea,29200.11202203985
Estonia,6148110.267603783
Ethiopia(excludes Eritrea),1775958.9040440312
Faeroe Islands,393372.35463360813
Falkland Island,65273.458048637396
Fiji,60362.79035976725
Finland,42909759.54839359
Fr. So. Ant. Tr,12342.2342716265
France,284372904.8687595
French Polynesia,120394.31400092381
Gabon,878733.7644768966
"Gambia, The",241491.0046661061
Georgia,799031.6908080518
Germany,943274722.5364094
Ghana,5837361.931976268
Gibraltar,4491936.214415138
Greece,14761543.823113732
Greenland,120851.63518063352
Grenada,32379.8569836642
Guam,10688.2058043715
Guatemala,1953438.4983263153
Guinea,1134509.093018244
Guinea-Bissau,98788.28258789305
Guyana,400845.12196738285
Haiti,155453.53688826459
Heard Island and McDonald Isla,125.93196562499999
Holy See,29581.630087672
Honduras,1290896.088340074
"Hong Kong, China",45594272.35194972
Hungary,37759912.26836437
Iceland,7582937.452246013
India,31338021.390132003
Indonesia,17205898.252170328
"Iran, Islamic Rep.",2339123.2766880267
Iraq,12043529.055141423
Ireland,70036426.59616183
Israel,19017540.808275215
Italy,159218496.1600366
Jamaica,366363.83853342215
Japan,65820552.97471778
Jordan,2329396.3888328923
Kazakhstan,2754839.7176208636
Kenya,3642106.321250206
Kiribati,1179.49670036775
"Korea, Dem. Rep.",7793.1107420064
"Korea, Rep.",42365447.21713586
Kuwait,10810455.560915748
Kyrgyz Republic,159271.80688884945
Lao PDR,92029.94038513345
Latvia,5411150.67837872
Lebanon,2401349.8735998934
Lesotho,27699.9266844765
Liberia,337565.7671068653
Libya,3286704.9349349155
Lithuania,11305783.445473732
Luxembourg,11861644.700114638
Macao,625036.5114817873
"Macedonia, FYR",1023517.2914787424
Madagascar,466566.1054153859
Malawi,218091.20884477245
Malaysia,44775284.431398846
Maldives,81808.9034347761
Mali,537569.7091249169
Malta,2292822.99341876
Marshall Islands,484244.4647961321
Mauritania,409768.6206072921
Mauritius,594450.0598735348
Mexico,21137705.504579835
"Micronesia, Fed. Sts.",717.1062057071999
Moldova,643419.1749453994
Mongolia,208679.8305909
Montenegro,283284.60224911553
Montserrat,2296.11955201765
Morocco,7825462.983324334
Mozambique,1081760.6516393535
Myanmar,1404491.146606707
Namibia,643914.519864545
Nauru,159.0663314005
Nepal,103449.29291595795
New Caledonia,68709.98314253935
New Zealand,5422004.242504543
