Partner,Value
Afghanistan,16436.83651859393
Albania,40579.00175114229
Algeria,304754.6119354145
American Samoa,63.279903931359996
Andorra,8375.865563603149
Angola,1497918.1754130577
Anguila,487.10562729945
Antigua and Barbuda,1049.27798911312
Argentina,309481.8069712006
Armenia,5827.962276270469
Aruba,1748.3270160782001
Australia,1816348.4121559365
Austria,5008822.753129196
Azerbaijan,449602.39889369207
"Bahamas, The",25947.30237023106
Bahrain,115184.53073772023
Bangladesh,1563727.9490109026
Barbados,12965.315392463019
Belarus,1060338.7141108448
Belgium,23254824.486516833
Belize,332.3158921911
Benin,20975.96338890857
Bermuda,9574.154004624961
Bhutan,244.54441115264999
Bolivia,38108.71715790153
Bonaire,6.0073575770000005
Bosnia and Herzegovina,119109.09542216583
Botswana,61996.28723383451
Brazil,8128197.166183324
British Virgin Islands,444.91151675586
Brunei,23799.10471162998
Bulgaria,547096.4641737478
Burkina Faso,9387.056013135782
Burundi,582.7448542459599
Cambodia,341173.4402853929
Cameroon,29476.73551486413
Canada,10964337.45975783
Cape Verde,3027.38444558296
Cayman Islands,44302.33238424545
Central African Republic,392.43689765219
Chad,786.00555013902
Chile,1263777.9472433114
China,59247944.724472076
Christmas Island,8.303039781
Colombia,588189.4440064266
Comoros,133.55511308031
"Congo, Dem. Rep.",51614.61884572029
"Congo, Rep.",168965.80041690223
Cook Islands,6.7008206573499995
Costa Rica,264165.8164772921
Cote d'Ivoire,356937.0531161832
Croatia,508671.5887392964
Cuba,8105.25813311749
Curaçao,5277.63227919646
Cyprus,198385.0707654585
Czech Republic,5450247.354746826
Denmark,40413939.98620014
Djibouti,1218.83293425504
Dominica,301.0535669278
Dominican Republic,272568.07915766974
Ecuador,135446.4707280701
"Egypt, Arab Rep.",1853792.6195266116
El Salvador,13062.840198781161
Equatorial Guinea,48008.40462353696
Eritrea,115.48084014898998
Estonia,3708410.595125608
Ethiopia(excludes Eritrea),80493.98290919547
Faeroe Islands,713148.7400178544
Falkland Island,537.57653609156
Fiji,1522.6207195953198
Finland,14362569.363969546
France,38418213.785505846
French Polynesia,2000.05689301552
Gabon,822755.7164682952
"Gambia, The",5082.15458289417
Georgia,39434.760323458366
Germany,104346232.09528011
Ghana,301446.284723821
Gibraltar,35687.6527089551
Greece,1299115.5345965077
Greenland,168644.2151981659
Grenada,1627.53916408745
Guam,418.29883705781003
Guatemala,100608.7975367783
Guinea,5860.22642054145
Guinea-Bissau,3462.9304318120003
Guyana,11786.078620914679
Haiti,7331.5827488225295
Honduras,24667.73278213077
"Hong Kong, China",1612382.790062852
Hungary,2062315.0280466792
Iceland,3793600.4502980295
India,4445130.577479474
Indonesia,1442737.7255878923
"Iran, Islamic Rep.",51254.74650732238
Iraq,14492.70760636305
Ireland,5643991.762824777
Israel,1378525.038926005
Italy,18011485.176263362
Jamaica,375373.47574354016
Japan,12912108.223101255
Jordan,46008.370681558845
Kazakhstan,301607.1770131697
Kenya,293581.883991648
"Korea, Rep.",12485551.141463533
Kuwait,113408.4557564327
Kyrgyz Republic,4577.24141171385
Lao PDR,12134.1913472031
Latvia,2054747.14129895
Lebanon,117151.17212097434
Lesotho,7.01251666432
Liberia,21975.790367105852
Libya,5608.307543434221
Lithuania,7247223.685021759
Luxembourg,543835.3603297329
Macao,5442.88799112436
"Macedonia, FYR",56502.73665944682
Madagascar,16064.332014170539
Malawi,3054.24236471076
Malaysia,2615893.9231210477
Maldives,7179.66037382451
Mali,3974.2665858425403
Malta,91112.07180149519
Marshall Islands,39865.17442318068
Mauritania,183077.21542609765
Mauritius,31131.61503074297
Mexico,1895225.7714419323
"Micronesia, Fed. Sts.",363.39000255
Moldova,37907.48418052224
Mongolia,4790.18108240491
Montenegro,3605.79503215982
Montserrat,266.48600187
Morocco,775918.8160515738
Mozambique,28228.888812216668
Myanmar,219174.08582502615
Namibia,166154.2789463717
Nauru,21.816638094960002
Nepal,23634.225447684577
Netherlands,60830749.36280846
New Caledonia,19263.26820425492
New Zealand,434278.18718598713
Nicaragua,21476.62546381781
Niger,715.5450553498
Nigeria,3717913.168975943
Northern Mariana Islands,7.47844114168
Occ.Pal.Terr,2159.16358355696
Oman,124208.89504194216
"Other Asia, nes",3439399.24725919
Pakistan,597471.9357860275
Panama,725509.3897771256
Papua New Guinea,5575.898936376891
Paraguay,11282.48664579962
Peru,998460.2821636639
Philippines,398895.88040766417
Pitcairn,31.59673228745
Poland,24521022.82187979
Portugal,4334046.891272692
Qatar,234546.83016269014
Romania,2829820.2603691607
Russian Federation,9359433.028642366
Rwanda,3868.25688507631
Saint Helena,99.9248577904
Saint Maarten (Dutch part),133.65835300832998
Samoa,520.20438195259
San Marino,17456.843466578583
Sao Tome and Principe,1907.50542963518
Saudi Arabia,651577.6220111364
Senegal,209505.27525639939
"Serbia, FR(Serbia/Montenegro)",338156.75805507135
Seychelles,5116.26972811237
Sierra Leone,889.40010212668
Singapore,4727343.015603575
Slovak Republic,2268658.9758123844
Slovenia,854393.0836657118
Solomon Islands,15.01329588
Somalia,619.37027508362
South Africa,2144527.6863501156
South Sudan,184.97474799432
Spain,17426874.10480743
Sri Lanka,235611.1600624
St. Kitts and Nevis,13.005254096400002
St. Lucia,888.34763598024
St. Vincent and the Grenadines,6224.55773920982
Sudan,5131.0860449456795
Suriname,5028.7797968672
Swaziland,9227.894149782811
Sweden,76645575.58339132
Switzerland,5474575.128096216
Syrian Arab Republic,8817.15128757488
Tajikistan,592.21755871317
Tanzania,21942.752465314123
Thailand,3249632.492285058
Togo,280820.5297028338
Tokelau,97.37467498128001
Tonga,400.88855243755
Trinidad and Tobago,99714.25377004141
Tunisia,299145.6777258619
Turkey,8152144.463700011
Turkmenistan,1327.6541889409
Turks and Caicos Isl.,53.98733965284
Uganda,9454.206785224409
Ukraine,1033778.5775076102
United Arab Emirates,2951608.383745824
United Kingdom,103363519.42814918
United States,50372469.11526476
Unspecified,25.4600475965
Uruguay,329807.57710379723
Uzbekistan,10840.91455690187
Vanuatu,117.95150413286001
Venezuela,7934.07981027965
Vietnam,4175383.452604183
Yemen,642.73509301735
Zambia,8694.90794742033
Zimbabwe,8110.0416852235
