Partner,Value
Afghanistan,155.57879
Albania,0.0712
Algeria,4001.83385
American Samoa,207.26192
Andorra,11.622399999999999
Antarctica,2.3735999999999997
Antigua and Barbuda,27.31971
Argentina,371046.39783000003
Armenia,82.24976
Aruba,2.83439
Australia,286337.21194999997
Austria,32660.40496
"Bahamas, The",100.53836
Bahrain,2973.8120400000003
Bangladesh,280479.28831
Belarus,420.51723999999996
Belgium,124056.01225999999
Benin,1260.20684
Bermuda,18.63635
Bhutan,61005.37986
Bosnia and Herzegovina,130.73503
Brazil,154411.56029
British Indian Ocean Ter.,26.11977
Brunei,315.2421
Bulgaria,16350.974030000001
Cambodia,1289.9778099999999
Cameroon,573.79404
Canada,566847.40226
Cape Verde,106.14459
Central African Republic,62.662169999999996
Chad,112.13380000000001
Chile,5518.2973
China,9157874.74568
Cocos (Keeling) Islands,0.5077
Colombia,237.03951
Comoros,1.84592
"Congo, Rep.",12.66085
Costa Rica,1120.66286
Cote d'Ivoire,255.06178
Croatia,1689.8395
Cyprus,1882.0223999999998
Czech Republic,44999.118740000005
Denmark,31787.057070000003
Dominican Republic,1434.65489
East Timor,10.15995
Ecuador,327.11627
"Egypt, Arab Rep.",4647.87739
El Salvador,74.15375
Estonia,380.6756
Ethiopia(excludes Eritrea),164.69045
Fiji,5.6346
Finland,20373.328820000002
France,429948.08482
Gabon,3489.01033
"Gambia, The",2.3498900000000003
Georgia,161.91536000000002
Germany,449096.80981999997
Ghana,40.891459999999995
Greece,2696.9018100000003
Guatemala,24635.76829
Guinea,78.70425999999999
Haiti,16.9386
Holy See,25.13672
Honduras,33.47855
"Hong Kong, China",146988.42448000002
Hungary,6001.77257
Iceland,223.18508
India,36579226.63192
Indonesia,1102718.33544
"Iran, Islamic Rep.",1244.0945299999998
Iraq,86.92451
Ireland,21705.569949999997
Israel,45630.99042
Italy,239364.82873999997
Jamaica,12.08989
Japan,342221.62441999995
Jordan,3142.45496
Kazakhstan,74.89106
Kenya,626.7914599999999
Kiribati,38.39965
"Korea, Rep.",399942.08239999996
Kuwait,4813.345740000001
Kyrgyz Republic,0.12792
Lao PDR,53.437369999999994
Latvia,3150.9876700000004
Lebanon,950.9170999999999
Liberia,17.26556
Lithuania,11152.232010000002
Luxembourg,1922.73282
"Macedonia, FYR",94.32469999999999
Madagascar,2356.82174
Malawi,5.3351999999999995
Malaysia,428821.12119000003
Maldives,1049.10467
Mali,84.40156
Malta,2165.6899000000003
Mauritius,54.112140000000004
Mexico,23345.57342
Moldova,1182.91547
Mongolia,3812.2169
Montenegro,259.08475
Montserrat,30.6032
Morocco,1402.31436
Mozambique,1642.40123
Myanmar,99139.25465
Namibia,658.53203
Netherlands,83659.68556
New Caledonia,749.9868799999999
New Zealand,59506.370339999994
Nicaragua,344.26454
Nigeria,3168.99228
Niue,0.14484
Norway,15313.558359999999
Oman,205008.73533000002
"Other Asia, nes",153612.06624000001
Pakistan,101929.70207999999
Panama,41.83532
Papua New Guinea,10379.36129
Paraguay,47093.11128
Peru,1400.01431
Philippines,24493.01684
Poland,158319.81525
Portugal,4574.45683
Qatar,26620.56067
Romania,37091.24356
Russian Federation,87390.1094
Rwanda,1.7762
Saint Helena,41.2746
San Marino,239.31919
Saudi Arabia,392386.9846
Senegal,10.66919
"Serbia, FR(Serbia/Montenegro)",885.82502
Seychelles,28.002889999999997
Sierra Leone,276.9614
Singapore,204275.26812
Slovak Republic,1588.13567
Slovenia,2187.14077
South Africa,390763.71456000005
Spain,44976.21653
Sri Lanka,11476.416229999999
Sudan,94.27248
Suriname,1155.39303
Sweden,24905.26397
Switzerland,388181.16364
Syrian Arab Republic,0.88455
Tanzania,5054.52544
Thailand,510461.15824
Togo,25.18085
Tokelau,11.99579
Trinidad and Tobago,12.54271
Tunisia,329.07647
Turkey,306750.90322
Turks and Caicos Isl.,2.57818
Uganda,2713.3201
Ukraine,353214.34258
United Arab Emirates,898293.08689
United Kingdom,244986.76412
United States,1144857.29553
United States Minor Outlying I,0.28809999999999997
Unspecified,232656.00898
Uruguay,46.65106
Venezuela,1653.67511
Vietnam,394225.77095000003
Yemen,1994.1116
Zambia,7.4117
Zimbabwe,3.55715
