Partner,Value
Afghanistan,3706.68556168044
Albania,2026.4095536071598
Algeria,1318474.5001067407
American Samoa,73684.79226770358
Andorra,650.46467760428
Angola,30121.31696188572
Anguila,414.51133579288
Antarctica,815.20153276308
Antigua and Barbuda,11848.630858614839
Argentina,699630.5190745404
Armenia,2130.0819014369
Aruba,3237.72403959012
Australia,44742997.48058632
Austria,1161324.4075284987
Azerbaijan,51388.4096906212
"Bahamas, The",6024.5970904162195
Bahrain,145089.9349428324
Bangladesh,1589659.1866456065
Barbados,79925.93742823426
Belarus,127244.43598811224
Belgium,1935949.773508626
Belize,3012.08440091204
Benin,3247.7570408114
Bermuda,12549.487990845519
Bhutan,436.8057765082
Bolivia,31015.0461865359
Bosnia and Herzegovina,9355.0009403882
Botswana,195.43679318298
Brazil,805936.8352979263
British Indian Ocean Ter.,1.40315529016
British Virgin Islands,734.9052573594
Brunei,16694.55173206698
Bulgaria,128303.20237989104
Bunkers,375541.500192686
Burkina Faso,1974.655563045
Burundi,999.5069766598
Cambodia,158205.82312492194
Cameroon,51547.87464496374
Canada,4249316.76383878
Cape Verde,94.02703228526
Cayman Islands,48176.9552218726
Central African Republic,652.67413328096
Chad,16.311820504700002
Chile,790282.7049350652
China,82980787.26815495
Christmas Island,15657.77710937214
Cocos (Keeling) Islands,91.44268253758
Colombia,120106.1902248438
Comoros,1543.5793509779999
"Congo, Dem. Rep.",14998.461247745501
"Congo, Rep.",3485.3077049503
Cook Islands,360378.27957323333
Costa Rica,81665.81325571744
Cote d'Ivoire,61139.813371833865
Croatia,23183.020986905263
Cuba,191724.4926040306
Curaçao,2638.0128406076
Cyprus,51621.80167913235
Czech Republic,919316.9062272818
Denmark,1102317.2578518395
Djibouti,2843.9180386534
Dominica,97.4129583454
Dominican Republic,119874.7154357917
East Timor,14759.0448578902
Ecuador,268987.61459739506
"Egypt, Arab Rep.",822083.9590765438
El Salvador,109840.13748637291
Equatorial Guinea,1903.92542784376
Eritrea,380.12004353464
