Partner,Value
Afghanistan,6742.88711
Albania,41006.7068
Algeria,1056548.5172100002
American Samoa,68285.91175
Andorra,1300.64843
Angola,806679.22069
Anguila,574.63418
Antarctica,142.37243
Antigua and Barbuda,15795.44344
Argentina,1617447.5228499998
Armenia,34944.277969999996
Aruba,4709.72097
Australia,54850571.92094
Austria,5652781.0378600005
Azerbaijan,2885316.10822
BLM,413.80454000000003
"Bahamas, The",5301.32952
Bahrain,1166080.44005
Bangladesh,5949380.611880001
Barbados,22664.187420000002
Belarus,203069.23690999998
Belgium,9399037.309080001
Belize,34402.24231
Benin,5386.70213
Bermuda,4110.6877700000005
Bhutan,512.58358
Bolivia,44625.60342
Bosnia and Herzegovina,36124.46532
Botswana,8606.95333
Brazil,13945062.06285
British Indian Ocean Ter.,0.64724
British Virgin Islands,1952.5369799999999
Brunei,707688.5117
Bulgaria,638665.02729
Burkina Faso,24464.61035
Burundi,1211.4477
Cambodia,3939562.66043
Cameroon,167190.11679
Canada,18350923.036529996
Cape Verde,170.42871
Cayman Islands,1379.55894
Central African Republic,12036.809780000001
Chad,776.52745
Chile,7372560.03502
China,710776170.2908
Christmas Island,119.03017
Cocos (Keeling) Islands,7.73463
Colombia,1865693.81606
Comoros,227.47817
"Congo, Dem. Rep.",222996.80441
"Congo, Rep.",32062.253169999996
Cook Islands,143.69396
Costa Rica,817975.5101500001
Cote d'Ivoire,111929.53122
Croatia,264328.71014
Cuba,52463.491590000005
Curaçao,15813.10349
Cyprus,143858.80318
Czech Republic,3847989.16569
Denmark,2946799.45174
Djibouti,146559.23794
Dominica,1578.42938
Dominican Republic,740278.19527
East Timor,71889.39505
Ecuador,625347.09889
"Egypt, Arab Rep.",2153731.2690999997
El Salvador,511787.94852
Equatorial Guinea,273025.11527999997
Eritrea,912.82908
Estonia,430210.96399999986
Ethiopia(excludes Eritrea),152308.76072
Faeroe Islands,25335.18236
Falkland Island,0.45306
Fiji,198192.79959
Finland,2819178.90057
France,21412907.53599
French Polynesia,37614.10462999999
Gabon,30173.604990000003
"Gambia, The",13169.44447
Georgia,134587.46453
Germany,75918033.29076
Ghana,127967.91742000001
Gibraltar,89.23782
Greece,672943.8913100001
Greenland,143211.59967999998
Grenada,755.6523900000001
Guam,165889.81788000002
Guatemala,922069.01009
Guinea,48765.29096
Guinea-Bissau,2.7179
Guyana,34909.908429999996
Haiti,134915.01141
Holy See,54.36945
Honduras,722817.09874
"Hong Kong, China",200149571.91233003
Hungary,4003262.7863499997
Iceland,88965.83113
India,26453720.92665
Indonesia,33243025.868459996
"Iran, Islamic Rep.",845928.37998
Iraq,6330124.63018
Ireland,5949765.063250001
Israel,7989884.20913
Italy,21020115.69456
Jamaica,81949.05507999999
Japan,317134216.84083
Jordan,1796490.19417
Kazakhstan,516332.53125
Kenya,715171.43414
Kiribati,44224.05868
"Korea, Rep.",162145108.33152
Kuwait,18045802.52632
Kyrgyz Republic,10361.42151
Lao PDR,107240.74459
Latvia,515405.65813
Lebanon,300136.13552
Lesotho,318269.01782
Liberia,7120.98247
Libya,128324.52663999998
Lithuania,749807.04819
Luxembourg,207152.26413000003
Macao,466536.1660300001
"Macedonia, FYR",27206.0282
Madagascar,397330.47074
Malawi,16644.77841
Malaysia,92165475.88616
Maldives,33638.662150000004
Mali,12372.57792
Malta,232224.6297
Marshall Islands,45124.52404999999
Mauritania,10661.212319999999
Mauritius,483446.05952999997
Mexico,17775252.54472
"Micronesia, Fed. Sts.",47414.78133
Moldova,98611.7428
Mongolia,121186.66759
Montenegro,41029.92701
Montserrat,106.64982
Morocco,554969.93643
Mozambique,207277.61837999997
Myanmar,1423188.6690800001
Namibia,14758.020659999998
Nauru,185507.49863000002
Nepal,57964.571059999995
Netherlands,66838760.61418001
New Caledonia,260413.03725999998
New Zealand,5573593.21766
Nicaragua,597738.13898
Niger,3002.584
Nigeria,1513706.98725
Niue,65.01009
Northern Mariana Islands,24324.129390000002
Norway,2097257.93219
Occ.Pal.Terr,2821.38322
Oman,6261524.01891
Pakistan,3260492.43314
Palau,75900.48527
Panama,642798.78317
Papua New Guinea,3412580.0868499996
Paraguay,417549.48993000004
Peru,2068644.73565
Philippines,38578970.37104
Poland,5487162.84824
Portugal,2782309.63615
Qatar,11888913.19386
Romania,1385292.2076400002
Russian Federation,18056268.97281
