Partner,Value
Afghanistan,721.07405734
Albania,14609.87124688
Algeria,46915.68628474
Angola,41830.602217039996
Argentina,465296.4210622
Armenia,2.860858
Australia,1114681.1246461798
Austria,18190.104994880003
Azerbaijan,324.40569252
Bahrain,2377963.37766078
Bangladesh,373841.58924112003
Barbados,115.44342264
Belarus,405.23273336
Belgium,1073344.7408502002
Belize,32.13523768
Benin,6308.5221890600005
Bolivia,11691.788284540002
Bosnia and Herzegovina,8.43172876
Botswana,1361.92705558
Brazil,4123212.7030330603
Brunei,1330.07010136
Bulgaria,30578.96213736
Burkina Faso,80.4291215
Burundi,348.88423387999995
Cambodia,3943.8331951200003
Cameroon,61934.7538537
Canada,242052.69082904
Central African Republic,19.856955300000003
Chad,839.50837698
Chile,63242.70432116
China,10281070.67678418
Colombia,73978.34964884
Comoros,4674.21024252
"Congo, Dem. Rep.",3864.82930106
"Congo, Rep.",3247.3469119
Costa Rica,31803.57841206
Cote d'Ivoire,22918.57010898
Croatia,12108.258988279998
Cuba,534.07537456
Cyprus,10437.060179
Czech Republic,22993.29311916
Denmark,311836.21640808
Djibouti,254114.17478901998
Dominican Republic,12374.18874328
Ecuador,4312.57698508
"Egypt, Arab Rep.",933823.9107542802
El Salvador,23856.83010256
Equatorial Guinea,65.93497456
Eritrea,15.940180620000001
Estonia,5014.39746808
Ethiopia(excludes Eritrea),7086.09559112
Fiji,59.1417372
Finland,61155.79683668
France,1102283.3104173802
Free Zones,7198314.962034561
Gabon,3026.73834918
"Gambia, The",370.21583144
Georgia,989.6774141799999
Germany,2703211.75411014
Ghana,13787.23152898
Gibraltar,7.25877698
Greece,38314.68575844
Guatemala,10034.88336214
Guinea,2486.65257204
Guyana,29.75812476
"Hong Kong, China",669778.223205
Hungary,11595.325354339999
Iceland,94.04940635999999
India,9274085.1731346
Indonesia,813576.01520468
"Iran, Islamic Rep.",3382302.07270592
Iraq,682132.89309438
Ireland,139030.0395029
Italy,2089028.5974230398
Jamaica,24312.71042564
Japan,1928354.4844454802
Jordan,313647.69088744
Kazakhstan,1353.79961808
Kenya,202322.088423
"Korea, Rep.",1856989.72103736
Kuwait,1064834.7962324799
Kyrgyz Republic,35.365406439999994
Lao PDR,125.747713
Latvia,42244.659396940006
Lebanon,191965.87349030003
Liberia,3344.0049006
Libya,90305.05819244
Lithuania,7858.52725112
Luxembourg,2107433.94036994
Macao,5.1365405
"Macedonia, FYR",86.14303516000001
Madagascar,12992.71404522
Malawi,223.51883554
Malaysia,1359978.0076409802
Maldives,47604.0529328
Mali,84.52534999999999
Malta,4157.96841642
Mauritania,2130.2832933199998
Mauritius,21472.03707922
Mexico,178590.45466808
Moldova,20.34850272
Mongolia,5310.8057639
Morocco,80200.6039653
Mozambique,46758.971084280005
Myanmar,67667.02641972
Namibia,673.7320589999999
Nepal,1307.3210787
Netherlands,2539493.91969
New Zealand,140597.57642294
Nicaragua,144.90505848
Niger,42.096225079999996
Nigeria,50784.01883646
Norway,15124.46677924
Occ.Pal.Terr,16131.7150631
"Other Asia, nes",451781.4547883
Pakistan,1226065.30968012
Panama,7863.38290738
Papua New Guinea,52.08842184
Paraguay,4214.8500758
Peru,11163.70770788
Philippines,128605.41365308
Poland,96020.79499922
Portugal,50473.20221944
Qatar,9223070.894240841
Romania,98879.5229604
Russian Federation,602933.5556189399
Rwanda,297.45641016
Samoa,50.53835696
Saudi Arabia,11100650.506793119
Senegal,10128.10311968
"Serbia, FR(Serbia/Montenegro)",675.2014997
Seychelles,2293.85154908
Sierra Leone,486.81139962000003
Singapore,2880221.1478021797
Slovak Republic,3262.9255841
Slovenia,106311.67053598
Somalia,1619939.5941273998
South Africa,266959.69508936
South Sudan,863.16767264
Spain,805697.1498539599
Sri Lanka,341789.38666418
Sudan,89268.54073046
Suriname,107.73471072
Sweden,57837.32379334
Switzerland,680105.55387502
Syrian Arab Republic,35898.00977308
Tajikistan,51.092323099999994
Tanzania,119507.93722867999
Thailand,1046654.5221860001
Togo,7432.376444220001
Trinidad and Tobago,4831.2609436
Tunisia,50431.52732071999
Turkey,1361548.60827986
Turkmenistan,2494.06219426
Uganda,1770.18709686
Ukraine,268376.1917109
United Arab Emirates,53777921.10797106
United Kingdom,2741197.6258539604
United States,5914181.1972425
Unspecified,105986306.53925487
Uruguay,9879.30730332
Uzbekistan,2820.0491610199997
Venezuela,1719.84899996
Vietnam,671929.2113079
Yemen,915433.5743079801
Zambia,302.70998576
Zimbabwe,2.080624
