Partner,Value
Afghanistan,7282568.196109043
Albania,18361.662309944913
Algeria,421048.95868244674
American Samoa,157.1184004236
Angola,59659.49220954715
Anguila,35.21554474101
Antigua and Barbuda,869.4654598460099
Argentina,614190.0553119297
Armenia,1071.43758099321
Aruba,1448.07039378645
Australia,1977688.572104332
Austria,719105.4360184134
Azerbaijan,69276.04242242177
"Bahamas, The",2461.5636474248704
Bahrain,456761.9021630245
Bangladesh,4035668.313593301
Barbados,1477.07403808551
Belarus,163422.3560265742
Belgium,4524849.923308535
Belize,489.27638806932003
Benin,198502.3294923913
Bermuda,99180.15259296299
Bhutan,1235.89893568824
Bolivia,3642.82628109096
Bosnia and Herzegovina,6190.94754284574
Botswana,30142.5134300451
Bouvet Island,46.42198068795
Brazil,2447629.2130694757
British Indian Ocean Ter.,101.6005531422
British Virgin Islands,145.2488957661
Brunei,4937.635364247751
Bulgaria,211988.64230127897
Burkina Faso,9545.92458803403
Burundi,47373.84018337751
Cambodia,177641.82144997377
Cameroon,74220.66221438881
Canada,3695505.865087243
Cape Verde,507.25142475710993
Cayman Islands,409.67719627509
Central African Republic,172.23682644570002
Chad,2290.408043406
Chile,390327.1384973453
China,67999329.22740373
Christmas Island,146.66752035075
Cocos (Keeling) Islands,2.32152121425
Colombia,183466.86077745893
Comoros,57484.989571331236
"Congo, Dem. Rep.",55570.42988530378
"Congo, Rep.",17378.29239144921
Cook Islands,205.39965026160002
Costa Rica,22622.68300208565
Cote d'Ivoire,255037.39261875325
Croatia,107175.13261619303
Cuba,12796.51527724914
Curaçao,1440.79985114595
Cyprus,43414.55754339279
Czech Republic,431850.9240842834
Denmark,1552131.5003990093
Djibouti,241370.14904269064
Dominica,2924.60181205374
Dominican Republic,38618.47253561025
East Timor,23438.04433402362
Ecuador,41552.41476677964
"Egypt, Arab Rep.",1528461.37925337
El Salvador,13808.70297813387
Equatorial Guinea,198933.07026740225
Eritrea,3678.22829260827
Estonia,99826.63091981548
Ethiopia(excludes Eritrea),16662.67579794963
Faeroe Islands,177.35558998185
Falkland Island,0.030518622750000002
Fiji,7933.5247906206
Finland,702262.6558202787
Fr. So. Ant. Tr,162.27854798925
France,4140754.391701312
French Polynesia,1997.2474025508
Gabon,8003.25179052951
"Gambia, The",70112.98071645216
Georgia,28730.291031751018
Germany,10927139.77065115
Ghana,215743.53745626713
Gibraltar,152.0238278838
Greece,496359.57382627757
Greenland,0.3596183472
Grenada,988.5401629971001
Guam,1316.89980861129
Guatemala,74902.56972824672
Guinea,173176.04635498134
Guinea-Bissau,88219.51428896005
Guyana,4492.91326053162
Haiti,19387.91343146217
Heard Island and McDonald Isla,4.79952399225
Honduras,21664.895117109932
"Hong Kong, China",827348.3253498074
Hungary,215625.96395447207
Iceland,1443.3057668789102
India,5141874.146072313
Indonesia,9839336.630946502
"Iran, Islamic Rep.",2158559.899456055
Iraq,390939.948500628
Ireland,719275.9433966293
Italy,8403099.267540298
Jamaica,13889.112131764741
Japan,7428868.06567824
Jordan,275843.54489423987
Kazakhstan,340329.08045188006
Kenya,2746952.9059777507
Kiribati,132.29993877072002
"Korea, Dem. Rep.",6734.6415668952
"Korea, Rep.",4707451.094679201
Kuwait,5709949.9084134605
Kyrgyz Republic,10341.14352608802
Lao PDR,5372.72490894456
Latvia,198398.05376324197
Lebanon,102405.52830368227
Lesotho,491.96349972864
Liberia,9590.518818321842
Libya,44553.927143470864
Lithuania,207240.09465633036
Luxembourg,27749.37433596672
Macao,376.6305247305
"Macedonia, FYR",3105.0542087922
Madagascar,368269.0880252838
Malawi,11442.098035769071
Malaysia,5061693.751490782
Maldives,26489.21810327247
Mali,4065.58876372308
Malta,24565.08503203971
Marshall Islands,80.7712755612
Mauritania,47720.99547246388
Mauritius,102295.14018406022
Mexico,948770.9073203432
Moldova,4706.296914397501
Mongolia,2154.88604855304
Montenegro,22769.9244672228
Morocco,2152575.8544179494
Mozambique,434483.1406756521
Myanmar,82041.43390969656
Namibia,5947.967423037029
Nauru,65.8029239889
Nepal,81162.19678244037
Netherlands,8423908.279730609
New Caledonia,641.28701831628
New Zealand,361161.37173134263
Nicaragua,10592.86991283846
Niger,191988.7673055467
Nigeria,1251638.5721786069
Norfolk Island,319.70805786045
Northern Mariana Islands,86.5074128268
Norway,399764.9698116226
Occ.Pal.Terr,5026.3360712042995
Oman,3225208.174700504
