Partner,Value
Albania,1942.3090000000002
Algeria,2.14
Antigua and Barbuda,34584.831
Argentina,1383441.136
Aruba,262301.065
Australia,259075.438
Austria,166590.17
"Bahamas, The",184763.37
Bangladesh,132253.91
Barbados,242322.007
Belarus,2521.187
Belgium,1880279.645
Belize,224845.537
Bermuda,34777.460999999996
Bolivia,246608.667
Bonaire,14342.616
Bosnia and Herzegovina,12.008
Brazil,1709235.93
British Indian Ocean Ter.,61237.85
Bulgaria,14942.297
Burkina Faso,5.949999999999999
Cambodia,85511.022
Canada,593663.456
Chile,2106307.287
China,21737259.810000002
Colombia,5990577.423000001
Costa Rica,5556665.454
Cote d'Ivoire,3264.552
Croatia,15764.897
Cuba,1431805.246
Curaçao,292497.72000000003
Cyprus,2213.87
Czech Republic,29331.689
Denmark,412958.599
Dominica,8232.747
Dominican Republic,2874386.398
Ecuador,2279178.4390000002
"Egypt, Arab Rep.",42206.346
El Salvador,2277757.188
Estonia,1186.845
Ethiopia(excludes Eritrea),348.71999999999997
Fiji,1476.952
Finland,40130.822
France,1876928.521
Free Zones,13777668.181
"Gambia, The",51.565000000000005
Georgia,139.864
Germany,2131928.259
Gibraltar,1.5
Greece,39146.513999999996
Grenada,32443.086000000003
Guatemala,3522986.536
Guyana,335935.94700000004
Haiti,387509.491
Honduras,2199524.233
"Hong Kong, China",1576774.527
Hungary,18221.032
Iceland,682.802
India,1245039.112
Indonesia,635216.1399999999
"Iran, Islamic Rep.",107.018
Iraq,37.596
Ireland,198782.167
Israel,65022.091
Italy,1390041.5720000002
Jamaica,748405.5
Japan,2052584.73
Jordan,14080.404
Kenya,2506.99
"Korea, Rep.",1664048.529
Kuwait,61.25
Latvia,13527.069
Lebanon,5522.91
Libya,7.38
Lithuania,8379.373
Luxembourg,2950.164
Macao,24.4
Madagascar,1333.938
Malawi,5.949999999999999
Malaysia,300126.36699999997
Malta,644.385
Marshall Islands,55.22
Mauritania,5089.566
Mauritius,29722.85
Mexico,5166950.244
Moldova,44.695
Morocco,42072.938
Myanmar,6268.206
Namibia,4.873
Nepal,40.56
Netherlands,1820111.402
New Zealand,113024.449
Nicaragua,1973679.328
Nigeria,198.735
Norway,27604.691
Oman,681.479
"Other Asia, nes",621999.264
Pakistan,82864.222
Paraguay,380548.109
Peru,1776643.332
Philippines,66163.133
Poland,98025.619
Portugal,138445.445
Qatar,757.833
Romania,11380.468
Russian Federation,115658.081
Rwanda,209.36
Saint Maarten (Dutch part),42589.611
Samoa,1832.992
Saudi Arabia,22299.126000000004
Senegal,1943.2979999999998
"Serbia, FR(Serbia/Montenegro)",1041.295
Seychelles,51.0
Sierra Leone,125.31
Singapore,4303977.325
Slovak Republic,5708.273
Slovenia,85544.927
South Africa,163685.72400000002
Spain,2905031.112
Sri Lanka,72069.944
St. Kitts and Nevis,12890.846
St. Lucia,51113.974
St. Vincent and the Grenadines,21364.685
Suriname,171422.163
Sweden,189246.85
Switzerland,1071366.418
Tanzania,190.608
Thailand,965156.986
Togo,484.96
Trinidad and Tobago,939482.22
Tunisia,6084.821
Turkey,860948.261
Ukraine,7757.543000000001
United Arab Emirates,144920.969
United Kingdom,1123054.275
United States,24125169.553
Unspecified,5552989.8089999985
Uruguay,508920.8
Uzbekistan,1.764
Venezuela,1937486.149
Vietnam,2234217.72
Yemen,713.535
