Partner,Value
Afghanistan,236.29236
Albania,5754.48012
Algeria,56796.705180000004
American Samoa,32.04188
Andorra,83.31813
Angola,278747.10747
Anguila,47.5216
Antigua and Barbuda,3780.4294099999997
Argentina,8168710.088060001
Armenia,484.74377
Aruba,17212.5533
Australia,925652.9579099999
Austria,487393.92879
Azerbaijan,6.24361
"Bahamas, The",60351.285469999995
Bahrain,6780.45709
Bangladesh,582643.60194
Barbados,8840.26161
Belarus,25320.42058
Belgium,2869756.66496
Belize,2568.7233800000004
Benin,1414.5649899999999
Bermuda,0.50502
Bhutan,129.8747
Bolivia,4763575.69467
Bonaire,171504.17116
Bosnia and Herzegovina,3493.7150699999997
Botswana,17.89975
Brazil,17048410.42326
British Indian Ocean Ter.,241.88
British Virgin Islands,3245.86854
Brunei,29.3356
Bulgaria,1053435.12641
Burkina Faso,4.14284
Burundi,97.80420000000001
Cambodia,114676.13716
Cameroon,32069.313990000002
Canada,10902095.91869
Cape Verde,3997.0662300000004
Cayman Islands,1652.09755
Central African Republic,8.09065
Chad,21.76855
Chile,11324738.430209998
China,102141325.00225
Christmas Island,0.21876
Cocos (Keeling) Islands,123.21884
Colombia,9364539.739790002
Comoros,314.61272
"Congo, Dem. Rep.",90.96894999999999
"Congo, Rep.",296929.98131999996
Cook Islands,1723.2162799999999
Costa Rica,374215.78643
Cote d'Ivoire,19026.95982
Croatia,6715.2315
Cuba,64279.66729
Curaçao,19258.18599
Cyprus,2971.084
Czech Republic,270970.23075
Denmark,809002.2658800001
Djibouti,143.66395
Dominica,1818.0210499999998
Dominican Republic,447056.71013
East Timor,16.70195
Ecuador,8590347.44794
"Egypt, Arab Rep.",63747.48755
El Salvador,417827.58043
Equatorial Guinea,2932.70455
Eritrea,0.50695
Estonia,42185.11116
Ethiopia(excludes Eritrea),2092.8009
Faeroe Islands,290.95826999999997
Falkland Island,304.77116
Fiji,18.17262
Finland,847360.31052
France,2747039.3539899997
Free Zones,320345.44026
French Polynesia,2560.75495
Gabon,723.51352
"Gambia, The",17256.3799
Georgia,412323.13937999995
Germany,9603116.53556
Ghana,23147.54195
Greece,150988.43489
Grenada,1001.8319
Guam,1223.6460299999999
Guatemala,553989.72113
Guinea,3810.16848
Guinea-Bissau,155.4864
Guyana,46993.50402
Haiti,207072.26384
Holy See,2.25637
Honduras,270687.69991
"Hong Kong, China",729932.46515
Hungary,231333.86531
Iceland,7910.30667
India,9891160.00779
Indonesia,1542679.34876
"Iran, Islamic Rep.",7825.20986
Iraq,23510.91406
Ireland,331839.47622
Israel,423877.19833799993
Italy,5974683.93872
Jamaica,70638.71597
Japan,12882309.177590001
Jordan,20160.97843
Kazakhstan,2191.01115
Kenya,6651.050929999999
"Korea, Dem. Rep.",17311.27216
"Korea, Rep.",13620677.33867
Kuwait,6834.4831699999995
Kyrgyz Republic,2690.84554
Lao PDR,1478.50308
Latvia,47552.52136
Lebanon,14436.355739999999
Lesotho,1.3783999999999998
Liberia,12335.793779999998
Libya,1039.87805
Lithuania,80146.57182
Luxembourg,25885.74174
Macao,1643.9861099999998
"Macedonia, FYR",870.21287
Madagascar,3005.6239
Malawi,0.12789999999999999
Malaysia,1346722.16832
Maldives,200.75883
Mali,311.95154
Malta,5707.79482
Marshall Islands,30127.832120000003
Mauritania,3774.8323899999996
Mauritius,6254.636419999999
Mexico,10857426.98722
"Micronesia, Fed. Sts.",291.76
Moldova,815.1231399999999
Mongolia,5.51465
Montenegro,473.07862
Montserrat,148.9445
Morocco,142312.68935
Mozambique,658.7732500000001
Myanmar,38046.73830999999
Namibia,362760.34236
Nauru,15.63164
Nepal,1368.37398
Netherlands,6960720.18355
New Caledonia,6069.28504
New Zealand,464354.32346
Nicaragua,135691.6233
Niger,45.287459999999996
Nigeria,907460.20758
Norfolk Island,188.0064
Northern Mariana Islands,888.74164
Norway,312998.96947999997
Oman,50516.88297
"Other Asia, nes",2371428.77455
Pakistan,201008.94658
Palau,68.96555000000001
Panama,2204224.71646
Papua New Guinea,2.16945
Paraguay,698531.7076
Philippines,1183472.85076
Pitcairn,24.3356
Poland,494775.61237
Portugal,443252.32068
Qatar,31069.89544
Romania,148501.2383
Russian Federation,2615608.21067
Saint Helena,10.9273
