Partner,Value
Afghanistan,36734.880000000005
Albania,6872.85
Algeria,12145.114
American Samoa,6195.051
Andorra,7886.893
Angola,7567.825000000001
Anguila,139.454
Antigua and Barbuda,42.765
Argentina,1929291.555
Armenia,814.828
Aruba,858.105
Australia,8090010.842999999
Austria,1168126.441
Azerbaijan,551.809
"Bahamas, The",2191.298
Bahrain,69559.40299999999
Bangladesh,364938.525
Barbados,581.3430000000001
Belarus,28467.74
Belgium,3974033.41
Belize,1516.874
Benin,113.428
Bermuda,54.394999999999996
Bhutan,334.995
Bolivia,5601.959
Bosnia and Herzegovina,587.3799999999999
Botswana,378.12
Brazil,4695483.252
British Indian Ocean Ter.,213.75
British Virgin Islands,6154.001
Brunei,504722.757
Bulgaria,842977.8589999999
Burkina Faso,198.89
Burundi,500.14
Cambodia,534459.654
Cameroon,6074.494
Canada,5118468.555
Cape Verde,1483.5
Cayman Islands,1132.742
Central African Republic,114.42
Chad,244.52799999999996
Chile,463040.287
China,166572791.547
Christmas Island,1725.9080000000001
Cocos (Keeling) Islands,439.81499999999994
Colombia,155924.06800000003
Comoros,211.995
"Congo, Rep.",5668.409
Cook Islands,51.219
Costa Rica,139318.046
Cote d'Ivoire,9536.221
Croatia,55900.826
Cuba,31687.628
Curaçao,91125.893
Cyprus,31895.706
Czech Republic,2247992.0039999997
Denmark,1130481.4800000002
Djibouti,3720.441
Dominica,1412.512
Dominican Republic,136369.438
East Timor,774.296
Ecuador,110520.738
"Egypt, Arab Rep.",126741.425
El Salvador,4369.159
Equatorial Guinea,4996.005
Eritrea,0.16
Estonia,34946.433999999994
Ethiopia(excludes Eritrea),17163.949
Faeroe Islands,641.847
Fiji,14603.871
Finland,1060612.071
Fr. So. Ant. Tr,157.935
France,11564588.887
French Polynesia,112101.978
Gabon,35797.93
"Gambia, The",361.59700000000004
Georgia,12699.175000000001
Germany,27708228.626000002
Ghana,31787.57
Gibraltar,172.238
Greece,72802.584
Grenada,194.62
Guam,62418.939
Guatemala,29522.541
Guinea,4050.779
Guinea-Bissau,38.032
Guyana,266.919
Haiti,1851.135
Heard Island and McDonald Isla,5.23
Honduras,25365.067
"Hong Kong, China",63969471.80299999
Hungary,1017893.276
Iceland,2623.053
India,11254564.804000001
Indonesia,36662844.739
"Iran, Islamic Rep.",289448.393
Iraq,110776.318
Ireland,2153782.987
Israel,1621416.038
Italy,5231532.472999999
Jamaica,4608.241
Japan,102456483.605
Jordan,54363.212999999996
Kazakhstan,6073.602
Kenya,63818.644
Kiribati,64814.072
"Korea, Rep.",55569682.684
Kuwait,3336073.641
Kyrgyz Republic,24.270999999999997
Lao PDR,37437.924999999996
Latvia,16776.877999999997
Lebanon,16651.215
Lesotho,1079.599
Liberia,211235.52000000002
Libya,3026.7480000000005
Lithuania,78641.959
Luxembourg,37081.091
Macao,183596.941
"Macedonia, FYR",6889.271
Madagascar,1569.076
Malawi,10822.634
Malaysia,30420329.939
Maldives,9912.786
Mali,5541.311000000001
Malta,212719.738
Marshall Islands,48069.195
Mauritania,0.1
Mauritius,188556.89500000002
Mexico,4203075.991
"Micronesia, Fed. Sts.",42280.706
Moldova,7506.72
Mongolia,9853.191
Montenegro,3.396
Morocco,110023.878
Mozambique,11784.132
Myanmar,858359.7259999999
Namibia,129.593
Nauru,11908.384
Nepal,6670.64
Netherlands,13684943.641
New Caledonia,15877.154999999999
New Zealand,2687970.591
Nicaragua,8143.361
Niger,219.29399999999998
Nigeria,262985.189
Norfolk Island,25735.426
Northern Mariana Islands,15638.885
Norway,185322.166
Oman,367019.201
"Other Asia, nes",34871106.298
Pakistan,947993.214
Palau,12028.885999999999
Panama,65562.101
Papua New Guinea,852635.3570000001
Paraguay,5087.012
Peru,320040.254
Pitcairn,4.625
Poland,1642211.005
Portugal,186057.201
Qatar,1044874.811
Romania,330058.234
Russian Federation,4676856.904999999
Rwanda,791.891
Saint Helena,5.263
Saint Pierre and Miquelon,276.195
Samoa,9973.141
San Marino,160.05
Sao Tome and Principe,72.18
Saudi Arabia,5030476.979
Senegal,862.1210000000001
"Serbia, FR(Serbia/Montenegro)",20465.814
Seychelles,3833.6949999999997
Sierra Leone,544.902
Singapore,50977866.021
Slovak Republic,149667.402
Slovenia,125586.39499999999
Solomon Islands,54930.675
Somalia,874.38
South Africa,817171.378
Spain,3612365.286
Sri Lanka,230358.895
St. Vincent and the Grenadines,0.68
Sudan,8959.635
Suriname,172.67999999999998
Swaziland,830.346
Sweden,1149767.281
Switzerland,3152652.376
Syrian Arab Republic,2101.331
Tajikistan,14.315999999999999
Tanzania,24236.97
Thailand,48587726.169
Togo,250.07100000000003
Tokelau,6620.207
Tonga,2672.268
Trinidad and Tobago,4773.744
Tunisia,55877.017
Turkey,845910.248
Turkmenistan,113.315
Turks and Caicos Isl.,114.84
Tuvalu,86.835
Uganda,5550.201
Ukraine,1302922.0489999999
United Arab Emirates,7469300.334
United Kingdom,6264098.217
United States,93916119.68399999
United States Minor Outlying I,969.3799999999999
Unspecified,16.896
Uruguay,140665.901
Uzbekistan,21332.236
Vanuatu,15470.991000000002
Venezuela,3424.0879999999997
Vietnam,22841011.362000003
Western Sahara,0.368
Yemen,20703.475000000002
Zambia,1466.366
Zimbabwe,12486.407
