Partner,Value
Afghanistan,42064.293000000005
Albania,435269.707
Algeria,1752705.2929999998
American Samoa,601.172
Andorra,27812.250000000004
Angola,1045275.92
Anguila,1096.677
Antarctica,5615.718
Antigua and Barbuda,1334911.474
Argentina,3026524.4749999996
Armenia,285281.18
Aruba,8229.275
Australia,5574915.66
Austria,42265629.708000004
Azerbaijan,371519.393
BLM,611.602
"Bahamas, The",3441934.8269999996
Bahrain,467386.70499999996
Bangladesh,10014339.446999999
Barbados,350699.257
Belarus,13446406.827999998
Belgium,53008654.66399999
Belize,10014.454000000002
Benin,91203.703
Bermuda,134101.77899999998
Bhutan,1876.1470000000002
Bolivia,54232.757
Bonaire,805.615
Bosnia and Herzegovina,1539824.763
Botswana,7102.233
Brazil,8693710.162
British Indian Ocean Ter.,258.676
British Virgin Islands,52117.123
Brunei,5983.71
Bulgaria,8429007.816999998
Bunkers,584015.5439999999
Burkina Faso,22859.094
Burundi,3997.6780000000003
Cambodia,1616528.6250000002
Cameroon,115296.951
Canada,9085992.270999998
Cape Verde,10736.630000000001
Cayman Islands,954.462
Central African Republic,3700.071
Chad,34633.718
Chile,1256114.991
China,154668179.464
Christmas Island,204.017
Cocos (Keeling) Islands,64.758
Colombia,1240805.391
Comoros,8316.402
"Congo, Dem. Rep.",291929.22699999996
"Congo, Rep.",87462.616
Cook Islands,85.45100000000001
Costa Rica,452943.49700000003
Cote d'Ivoire,859321.894
Croatia,5203125.050000001
Cuba,354262.416
Curaçao,13569.009000000002
Cyprus,1352200.617
Czech Republic,107055671.599
Denmark,30080358.381
Djibouti,44113.157999999996
Dominica,6004.636
Dominican Republic,319243.54
East Timor,273.211
Ecuador,876064.276
"Egypt, Arab Rep.",2937229.537
El Salvador,23544.093
Equatorial Guinea,15674.156
Eritrea,986.1540000000001
Estonia,6703442.227
Ethiopia(excludes Eritrea),94997.845
Faeroe Islands,362153.193
Falkland Island,878.4430000000001
Fiji,2476.068
Finland,17586242.289
Fr. So. Ant. Tr,6690.404
France,108327784.28500001
French Polynesia,7343.375
Gabon,80841.765
"Gambia, The",26402.722
Georgia,811340.109
Germany,552403252.8050001
Ghana,490230.073
Gibraltar,562821.282
