Partner,Value
Afghanistan,1621.34460179425
Albania,42313.57799398045
Algeria,4001195.547653877
Andorra,25691.503306107952
Angola,10975856.21779525
Anguila,240.66714649975
Antigua and Barbuda,5847.83952716665
Argentina,618524.27932702
Armenia,19221.8006736953
Aruba,4656.6150019903
Australia,697729.9391578168
Austria,4988396.95667634
Azerbaijan,2766497.739344861
BLM,32787.28444965375
"Bahamas, The",12071.267823590999
Bahrain,38041.7036643415
Bangladesh,567809.0775187697
Barbados,4458.610890085
Belarus,86721.4282674022
Belgium,19347002.616404664
Belize,19858.27170859875
Benin,25347.06820805475
Bermuda,17612.827946656747
Bhutan,6.938036231250001
Bolivia,46234.8758284454
Bonaire,8070.3990482815
Bosnia and Herzegovina,40095.74832369995
Botswana,4400.87241813975
Brazil,8332863.518401597
British Virgin Islands,29.7962601495
Brunei,695.80855752775
Bulgaria,1331009.237453065
Bunkers,5438506.3794866325
Burkina Faso,53914.0856408125
Burundi,3840.47375290075
Cambodia,84105.03990484509
Cameroon,738172.318378225
Canada,3782225.3573492914
Cape Verde,1436696.0868722522
Cayman Islands,1142.4194562175999
Central African Republic,8706.81170681935
Chad,2302.6275914047496
Chile,766388.8052772491
China,18344424.8487073
Colombia,997716.6903164758
Comoros,3671.39270929625
"Congo, Dem. Rep.",517891.9878000278
"Congo, Rep.",124055.60445050479
Cook Islands,0.1298745918
Costa Rica,344682.1396440931
Cote d'Ivoire,351054.0841954511
Croatia,519537.9690233986
Cuba,340813.8343573011
Curaçao,19570.278758623997
Cyprus,580593.4997464421
Czech Republic,5315850.030800174
Denmark,4338125.416413221
Djibouti,2047.6285275645
Dominica,806.71657467275
Dominican Republic,167187.37135718457
East Timor,24453.3065803847
Ecuador,229533.05315165987
"Egypt, Arab Rep.",1455963.5534341792
El Salvador,56170.59096821135
Equatorial Guinea,835712.9384518217
Eritrea,1615.61070181175
Estonia,291624.74234755384
Ethiopia(excludes Eritrea),76440.0203263895
Faeroe Islands,12861.9813772418
Falkland Island,108.396210685
Fiji,14307.609872841549
Finland,2761668.135100729
Fr. So. Ant. Tr,1.7633136937499998
France,80531707.20106283
French Polynesia,11975.4750485087
Gabon,65323.2903520709
"Gambia, The",11005.223708036301
Georgia,48461.80946181175
Germany,94005208.46884331
Ghana,374637.9906508555
Gibraltar,410240.54128583014
Greece,1887731.8624693921
Greenland,2569.51750799625
Grenada,91.18969041125001
Guam,100.52903270025
Guatemala,76492.2650431042
Guinea,62912.7690839681
Guinea-Bissau,425772.7637568458
Guyana,136469.91169062507
Haiti,16387.2052420917
Holy See,13.79446764775
Honduras,65633.6501153044
