Partner,Value
Albania,5524.926
Algeria,116488.728
Andorra,428.8
Angola,23902.582000000002
Argentina,16541717.649
Aruba,40930.88
Australia,18931.071
Austria,88571.824
"Bahamas, The",0.004
Bahrain,11337.498
Bangladesh,179847.748
Barbados,430.1
Belarus,48402.207
Belgium,205821.954
Belize,1484.3110000000001
Benin,118.8
Bermuda,273.195
Bolivia,562500.8319999999
Bosnia and Herzegovina,310.416
Brazil,22605158.365000002
British Virgin Islands,13518.273000000001
Bulgaria,23238.717999999997
Cambodia,6329.502
Cameroon,469.572
Canada,194544.104
Cape Verde,3937.1659999999997
Chile,4444352.964
China,9241216.295
Colombia,208459.63900000002
"Congo, Dem. Rep.",492.04
"Congo, Rep.",9809.012
Costa Rica,40957.269
Cote d'Ivoire,1609.8010000000002
Croatia,2726.623
Cuba,10500.31
Curaçao,12380.078
Cyprus,2133.191
Czech Republic,12723.876
Denmark,102121.861
Djibouti,2364.256
Dominica,2422.535
Dominican Republic,22029.27
Ecuador,209192.17700000003
"Egypt, Arab Rep.",200841.441
El Salvador,13600.285
Equatorial Guinea,1904.697
Estonia,14507.485999999999
Ethiopia(excludes Eritrea),2.712
Falkland Island,12.795000000000002
Finland,58110.637
France,471719.82500000007
Gabon,22849.256
"Gambia, The",15502.196
Georgia,1935.29
Germany,1267913.9639999997
Ghana,2846.3329999999996
Gibraltar,236.10000000000002
Greece,115089.852
Greenland,22.745
Guatemala,49197.877
Guinea,71.588
Haiti,789.836
Honduras,6483.307
"Hong Kong, China",500616.089
Hungary,18027.323
Iceland,36.505
India,1413315.1260000002
Indonesia,199253.41700000002
Iraq,53749.839
Ireland,33856.139
Israel,621684.9339999999
Italy,735975.858
Jamaica,226.0
Japan,650830.598
Jordan,6404.905000000001
Kazakhstan,5796.112
Kenya,100.72099999999999
Kiribati,5.052
"Korea, Rep.",1201297.2519999999
Kuwait,82745.13
Lao PDR,5.05
Latvia,39730.5
Lebanon,102835.794
Liberia,530.472
Libya,278.885
Lithuania,27720.821
Luxembourg,17157.086000000003
Macao,4.865
"Macedonia, FYR",167.2
Madagascar,17261.966
Malawi,18332.536
Malaysia,31674.175000000003
Malta,1754.804
Mauritania,1650.0
Mauritius,33559.145
Mexico,746956.791
Montenegro,35.335
Montserrat,93.233
Morocco,11704.490000000002
Mozambique,665.198
Myanmar,13717.717
Netherlands,720547.134
New Caledonia,130.425
New Zealand,5269.192
Nicaragua,5878.38
Nigeria,542.7
Norway,8242.371
Occ.Pal.Terr,8.4
Oman,60264.758
"Other Asia, nes",420521.157
Pakistan,49538.369000000006
Panama,719539.0750000001
Peru,609414.136
Philippines,7923.165000000001
Poland,274292.706
Portugal,110496.095
Qatar,9499.050000000001
Romania,12867.047999999999
Russian Federation,2772856.236
Rwanda,19.155
Saint Pierre and Miquelon,2.6950000000000003
San Marino,258.534
Saudi Arabia,187799.38799999998
Senegal,15296.848
"Serbia, FR(Serbia/Montenegro)",3783.582
Seychelles,561.672
Sierra Leone,17958.38
Singapore,140857.415
Slovak Republic,9026.632
Slovenia,6568.872
South Africa,39342.72
Spain,871080.508
Sri Lanka,2106.494
Suriname,28614.108
Sweden,99172.51
Switzerland,271566.913
Syrian Arab Republic,931.062
Tanzania,20176.12
Thailand,336163.35699999996
Togo,302.94
Trinidad and Tobago,440.155
Tunisia,25039.825
Turkey,235027.875
Turkmenistan,227.444
Ukraine,4527.622
United Arab Emirates,196617.40399999998
United Kingdom,556587.867
United States,12137380.834999999
Unspecified,266360.16000000003
Uruguay,2005224.408
Uzbekistan,0.24
Venezuela,13654.692
Vietnam,566371.351
Yemen,1.05
Zimbabwe,309.28
