Partner,Value
Albania,286.9095290068
Algeria,13971.05762
Andorra,0.27416052846
Antigua and Barbuda,3.5301478636
Argentina,22512.621356798958
Armenia,105.210653495392
Australia,29131.922567138103
Austria,62365.155369359236
Azerbaijan,1354.5984
Bahrain,14109.662443371131
Bangladesh,5136.102654299168
Belgium,151248.61666234522
Belize,54.329590827204
Bolivia,533.88065148
Bosnia and Herzegovina,131.326521157848
Brazil,147638.32810525785
Bulgaria,19836.632170944573
Burkina Faso,297.782187479116
Cambodia,1954.60540397997
Cameroon,0.28570951335
Canada,31106.76610294891
Central African Republic,11.524976328
Chad,453.280818
Chile,4308.044277518843
China,2014203.7453939028
Colombia,22418.89828193308
"Congo, Dem. Rep.",3.469850472
"Congo, Rep.",25.282745282220002
Cook Islands,1.4800370359500001
Costa Rica,9063.499165059477
Cote d'Ivoire,1160.0565536860001
Croatia,2713.2034565101453
Cuba,84.23016940786
Cyprus,11964.882477122825
Czech Republic,141263.07030608636
Denmark,46048.899286856315
Dominica,31.855529972
Dominican Republic,69.08912483508601
Ecuador,44.211736564544
"Egypt, Arab Rep.",307307.44976948405
Estonia,2834.621801349485
Ethiopia(excludes Eritrea),46878.80541371377
Finland,24948.196387485066
France,420169.17019514844
Gabon,384.423973885
Georgia,181.472263653736
Germany,882176.4325840293
Ghana,179.34071620216
Gibraltar,45.985124391544005
Greece,29945.874510313195
Grenada,1.29233186507
Guam,244.7999956
Guatemala,11148.806757922883
Guinea,55.8098975
Haiti,34.95096
Honduras,1767.899890885578
"Hong Kong, China",45151.97373264916
Hungary,52909.878534582655
Iceland,165.345304337308
India,293872.56211915246
Indonesia,33650.33762011541
Iraq,4541.036354
Ireland,143758.0663487601
Israel,18849370.15286284
Italy,511231.06445579004
Jamaica,18.10545182
Japan,96609.14772837069
Jordan,1619414.5561605904
Kazakhstan,419.694726913
Kenya,566.618854011444
"Korea, Rep.",228676.68220259176
Kuwait,48213.822352904805
Latvia,1188.556020478414
Lebanon,1421.812
Lesotho,18.4500219
Lithuania,4487.10014337941
Luxembourg,222.08175042021
"Macedonia, FYR",589.343632315978
Madagascar,78.265505853
Malawi,300.158030055652
Malaysia,39814.67797556764
Malta,2437.204044578417
Mauritania,73.81524999999999
Mauritius,2715.202043217556
Mexico,34163.44721165238
Moldova,3285.554857124908
Morocco,21828.880631092365
Mozambique,0.2331934548
Myanmar,16.7539820862
Netherlands,223337.51899919627
New Zealand,2561.598678838148
Nicaragua,2578.40791349094
Nigeria,4173.202351711089
Norway,4381.703290336211
Oman,14781.128865694967
"Other Asia, nes",36373.191663656035
Pakistan,1513.638191988701
Palau,727.860424390122
Panama,338.244590547845
Paraguay,569.5168972
Peru,543.347136035732
Philippines,8191.310401776462
Poland,160701.29583986365
Portugal,117664.24747168092
Qatar,59548.90720167852
Romania,42255.95210556323
Russian Federation,85888.91956724835
Saudi Arabia,456686.55514370435
"Serbia, FR(Serbia/Montenegro)",5721.565737330609
Seychelles,652.151396
Sierra Leone,136.14617151029
Singapore,73515.36096632722
Slovak Republic,39170.02239237603
Slovenia,12587.690941048575
South Africa,4116.48170947598
Spain,341498.7290471907
Sri Lanka,17885.479783359006
Sudan,85.2
Swaziland,196.7796989524
Sweden,138310.2126658904
Switzerland,223258.92141912738
Tanzania,9557.2066455772
Thailand,114881.76170830315
Tokelau,28.773603436
Tonga,0.705999724292
Tunisia,906.1011650212549
Turkey,2872478.3127841055
Ukraine,239210.75733860876
United Arab Emirates,281552.6192233929
United Kingdom,222836.92295707169
United States,447578.6584524682
Uruguay,9191.46242286216
Venezuela,1.47593748471
Vietnam,65099.1415642722
Yemen,7926.78784
Zimbabwe,5041.830786763923
