Partner,Value
Afghanistan,49.81327671284
Albania,356.43513270627
Algeria,284.02083988683
American Samoa,1564.47357264002
Andorra,19.55740972715
Angola,15.29899709015
Anguila,2.46171713736
Antarctica,230.7902972693
Antigua and Barbuda,1.2912681720499999
Argentina,13381.26148858265
Armenia,9.0912747249
Aruba,0.5614087072
Australia,183127.46290985623
Austria,16279.69988531169
Azerbaijan,7.76658847439
"Bahamas, The",0.6463142687
Bahrain,0.55195182256
Bangladesh,10023.865750801311
Barbados,6.36748554832
Belarus,15.02470052644
Belgium,95539.56697495085
Belize,49.00111983523
Bermuda,0.76270525168
Bolivia,187.2110401912
Bosnia and Herzegovina,389.69880500813
Brazil,14502.30509914821
Brunei,29.711936627780002
Bulgaria,2925.60991204759
Burkina Faso,0.231731201
Burundi,0.2754505288
Cambodia,2917.34283108819
Cameroon,198.17419640136
Canada,60453.90224158457
Cape Verde,0.53847013285
Chile,10863.68653031375
China,1141973.5827722556
Colombia,1070.38820202826
Comoros,8.909689405249999
"Congo, Dem. Rep.",72.49812885232001
"Congo, Rep.",0.6844044985
Cook Islands,1322.00878880996
Costa Rica,675.98384636533
Cote d'Ivoire,215.90859459572
Croatia,2362.84386982868
Cuba,385.68545515256
Cyprus,1882.86063749031
Czech Republic,25465.024369339622
Denmark,20611.722088418617
Dominica,0.41332590248
Dominican Republic,1333.42881199563
Ecuador,378.96477185022997
"Egypt, Arab Rep.",1536.4652074673
El Salvador,224.48475056264
Equatorial Guinea,1.82506615356
Estonia,856.86382127227
Ethiopia(excludes Eritrea),102.06106325604
Faeroe Islands,0.51138478964
Fiji,21841.909790580812
Finland,6320.98715360106
France,2057616.4047090576
Gabon,0.49568898804999995
Georgia,29.28590772748
Germany,266722.57480491616
Ghana,45.93602906508
Gibraltar,0.6894237775500001
Greece,4775.85250663115
Greenland,3.07970766129
Grenada,0.10879170068
Guam,2.16904156868
Guatemala,287.72886746688
Guyana,1715.50555562052
Haiti,41.78525416367
Holy See,0.90230688208
Honduras,146.1437680956
"Hong Kong, China",166213.65411325585
Hungary,21759.654070673332
Iceland,627.0168763913
India,44348.9269312805
Indonesia,82328.61276744779
"Iran, Islamic Rep.",241.51875762018
Ireland,31011.67076620357
Israel,7579.994270757639
Italy,237309.13382034766
Jamaica,51.80136154448
Japan,229143.91961712297
Jordan,332.00028781689
Kazakhstan,1.21198232672
Kenya,57.56405680368
Kiribati,8.3008555474
"Korea, Dem. Rep.",778.16974425135
"Korea, Rep.",593869.5444011576
Kyrgyz Republic,0.91168871208
Lao PDR,62.5832795627
Latvia,949.70431880418
Lebanon,528.72576079331
Lesotho,1.4126221431
Liberia,20.38566582504
Libya,10.47315261109
Lithuania,3564.9736238466
Luxembourg,2172.79105456682
Macao,17.35027792867
"Macedonia, FYR",410.42975032265997
Madagascar,1308.82568522154
Malawi,8.87490157961
Malaysia,56152.320521114096
Maldives,211.57476142734998
Mali,120.82621496701
Malta,3157.07458463912
Mauritania,12.75773141622
Mauritius,337.54334505396
Mexico,32262.35311352808
Mongolia,53.38811045238
Montenegro,3.89587996214
Montserrat,0.026222214849999998
Morocco,8397.89048287014
Mozambique,4.94895285232
Myanmar,629.54117971659
Namibia,29.85374298823
Nepal,2.8103271765
Netherlands,113198.05188546564
New Caledonia,12929.42771475837
New Zealand,479642.8304998244
Nicaragua,39.59487831357
Niger,0.70828125585
Nigeria,143.89242911416
Niue,11.0187716984
Norway,5528.84502178522
"Other Asia, nes",55429.91917016807
Pakistan,4096.83484851689
Panama,68.22028644539
Papua New Guinea,2832.03555839125
Paraguay,11.45229668087
Peru,1130.86267137088
Philippines,114903.95963197752
Poland,38230.99106211532
Portugal,21470.17734951379
Qatar,8.17264345862
Romania,37682.46095244743
Russian Federation,815.70710280945
Rwanda,4.55611686656
Saint Helena,2.03975056945
Samoa,87.06412356457
San Marino,97.54153552648
Saudi Arabia,0.42063434805
Senegal,14.86909349406
"Serbia, FR(Serbia/Montenegro)",1730.65025913449
Seychelles,450.1606557894
Sierra Leone,36.50715856946
Singapore,363454.32500215573
Slovak Republic,16648.17020779673
Slovenia,4572.07004927422
Solomon Islands,0.7989566428
Somalia,10.392318763810001
South Africa,16937.16410245715
South Georgia and the South Sa,0.5250072068
Spain,155630.720177912
Sri Lanka,4407.16416918057
St. Lucia,1.1190646824
Sudan,5.2120756565
Suriname,160.65491662967
Swaziland,0.71509246443
Sweden,17168.54781923761
Switzerland,75537.51977853259
Syrian Arab Republic,32.90435759469
Tanzania,5.96053929024
Thailand,238181.4070440857
Tokelau,39.1176340033
Tonga,259.53987392117
Trinidad and Tobago,28.35116785909
Tunisia,9783.39220409777
Turkey,88481.24550541112
Turks and Caicos Isl.,32.032128859589996
Tuvalu,3.05236900867
Uganda,3.29223425628
Ukraine,1483.64055096106
United Arab Emirates,2226.11295744489
United Kingdom,165696.80454836847
United States,2474576.8655927037
Unspecified,11144.377514806001
Uruguay,32947.12057626712
Uzbekistan,0.57874632904
Vanuatu,2044.1544192156598
Venezuela,42.13657555168
Vietnam,99489.57385727396
Wallis and Futura Isl.,2592.47688084016
Zimbabwe,13.6174447901
