Partner,Value
Afghanistan,1206.183424155678
Albania,9007.219163828917
Algeria,156524.2712216602
Andorra,382.146035157432
Angola,15123.573369390582
Argentina,330892.66859871626
Armenia,11057.638421148797
Australia,3202927.0367187113
Austria,917901.7712518995
Azerbaijan,4086.8500380780806
Bangladesh,5581101.589667339
Belarus,46705.1966567678
Belgium,4328319.040534986
Benin,3515.9025212652
Bhutan,5591.0686462464
Bolivia,742.180815533376
Bosnia and Herzegovina,21771.601024965134
Botswana,589.00145528703
Brazil,2443104.0814661025
Brunei,137031.32934863935
Bulgaria,81665.90441436146
Burkina Faso,2515.0985830374
Burundi,82.73118892995001
Cambodia,97629.9964572335
Cameroon,13524.447832161164
Canada,1258771.9421476664
Cape Verde,1602.98391121077
Chad,1312.080527304804
Chile,60722.97635849133
China,51781783.25442636
Colombia,20572.907079520468
Comoros,68847.6085317816
"Congo, Dem. Rep.",24981.969452187128
"Congo, Rep.",3715.369347308454
Costa Rica,30826.561750878587
Cote d'Ivoire,11596.872533945141
Croatia,177935.45576017036
Cuba,599.458423282038
Cyprus,50123.59344378775
Czech Republic,718267.6594350128
Denmark,502648.18137000204
Djibouti,225728.88240441788
Dominica,11142.111178920282
Dominican Republic,1973.493434308632
Ecuador,57095.325549472844
"Egypt, Arab Rep.",191805.7792120641
El Salvador,775.311271878081
Eritrea,286.399482392706
Estonia,138769.19347006126
Ethiopia(excludes Eritrea),31040.393031540054
Fiji,6414.888598411455
Finland,566523.9536229463
France,6243801.280885709
Gabon,3721.875059445441
"Gambia, The",266.191859654484
Georgia,17027.80798139337
Germany,9955162.920196338
Ghana,41119.54399728343
Greece,721175.1225431601
Guatemala,41572.06111034354
Guinea,932.287333023174
Guinea-Bissau,12503.9154360744
Guyana,246.1928797926
Honduras,1846.363397887395
"Hong Kong, China",1660590.0995022974
Hungary,461639.3568032347
Iceland,961.123286225532
India,41783063.27965413
Indonesia,2697332.568355122
"Iran, Islamic Rep.",884161.9887000376
Iraq,719259.9335977305
Ireland,533824.5604744928
Italy,11295091.150362566
Japan,58295215.80896155
Jordan,882223.0478320948
Kenya,146421.957190599
"Korea, Rep.",46754918.1529274
Kuwait,4317233.908855813
Kyrgyz Republic,351.684900486876
Lao PDR,557.62084800441
Latvia,20579.436157044223
Lebanon,782735.6531655195
Lesotho,106.22564164089
Liberia,1046.0451511812
Libya,33241.05697026487
Lithuania,81320.95002273552
Luxembourg,100173.88204841389
Macao,819.95183367732
"Macedonia, FYR",20020.171391306154
Madagascar,457634.18988530897
Malawi,2268.612933987096
Malaysia,2575382.7163802423
Maldives,3517.536526910031
Mali,9777.27339950906
Malta,159636.44234589205
Mauritania,5641.578573970239
Mauritius,65187.304766462286
Mexico,1060179.839596975
Moldova,6079.083303781106
Mongolia,390.761673312708
Morocco,410907.5220809609
Mozambique,447446.2588628536
Myanmar,335609.68285136274
Nauru,587.1071364314339
Nepal,14095.781588020576
Netherlands,3074271.432431847
New Caledonia,67.126379802
New Zealand,335750.25971319684
Nicaragua,310.666940669268
Niger,764.026158202488
Nigeria,158353.70734875943
Norway,191478.55677811374
Occ.Pal.Terr,11551.64960121322
Oman,6213053.883752001
"Other Asia, nes",9465080.258957634
Pakistan,8211812.476401516
Panama,361.832379442422
Papua New Guinea,651.416222018199
Paraguay,9275.606578630444
Peru,30218.33486525138
Philippines,678755.6307669415
Poland,3833170.576626936
Portugal,843654.6498607262
Romania,406095.11575635144
Russian Federation,804346.9858735406
Rwanda,3454.904845323744
San Marino,1338.488950064049
Saudi Arabia,225.305847651213
Senegal,31094.598426636803
"Serbia, FR(Serbia/Montenegro)",32939.20172546124
Seychelles,719.85124754499
Sierra Leone,8322.821842622616
Singapore,22889410.2112239
Slovak Republic,291612.558103078
Slovenia,57925.3796313323
Somalia,28008.17759873013
South Africa,597291.5712777427
Spain,5938622.052070211
Sri Lanka,260305.54982448212
Sudan,209312.3588940978
Suriname,264.640397973288
Sweden,1245072.8078461383
Switzerland,3364970.117497552
Syrian Arab Republic,40525.47625581601
Tajikistan,2449.971307814922
Tanzania,187739.48929675663
Thailand,12461330.256890085
Togo,34141.91892677054
Trinidad and Tobago,140.54385908388
Tunisia,250030.17322804857
Turkey,8064085.376266666
Turkmenistan,573.0402615109081
Uganda,41364.831786333416
Ukraine,347621.8534372517
United Arab Emirates,4407526.257695673
United Kingdom,16346789.00246765
United States,26118183.07515835
Unspecified,3922185.998527892
Uruguay,14713.37693604814
Uzbekistan,9627.10999008964
Venezuela,710.61676867344
Vietnam,1457671.5364244503
Yemen,21657.704357893224
Zambia,11577.7461200976
Zimbabwe,698.469943380108
