Partner,Value
Afghanistan,18163.41694
Albania,648928.5905
Algeria,1355037.14982
American Samoa,2173.18591
Andorra,1964.39914
Angola,17599.01596
Antarctica,0.01864
Antigua and Barbuda,81.57642000000001
Argentina,375722.34812999994
Armenia,18814.20447
Aruba,2.31148
Australia,455486.87437999994
Austria,21768813.96893
Azerbaijan,1084648.39616
BLM,6.550000000000001
"Bahamas, The",354.18710999999996
Bahrain,45850.95605
Bangladesh,242235.35997
Barbados,576.07781
Belarus,540793.44614
Belgium,17020554.56487
Belize,497.68001
Benin,2980.38016
Bermuda,31.13661
Bhutan,28.89529
Bolivia,3405.86641
Bonaire,242.45936
Bosnia and Herzegovina,766171.88107
Botswana,91.03450000000001
Brazil,2532737.33898
British Indian Ocean Ter.,24.32858
British Virgin Islands,794.8508
Brunei,18192.01447
Bulgaria,24202062.36568
Burkina Faso,8010.84793
Burundi,2373.8912
Cambodia,32714.46795
Cameroon,29836.269920000002
Canada,1104003.97151
Cape Verde,4688.60969
Central African Republic,167.21547
Chad,5915.8566200000005
Chile,164389.19748
China,27722282.39668
Colombia,601931.4281700001
Comoros,1171.13621
"Congo, Dem. Rep.",4131.2352
"Congo, Rep.",22828.61822
Cook Islands,1.91264
Costa Rica,16508.04834
Cote d'Ivoire,127891.89042
Croatia,2423029.92279
Cuba,2335.96198
Curaçao,38.35317
Cyprus,617213.92301
Czech Republic,25007623.48081
Denmark,3464227.0260699997
Djibouti,16013.07295
Dominica,11.8224
Dominican Republic,13064.323639999999
Ecuador,76634.33244
"Egypt, Arab Rep.",3798443.59636
El Salvador,26743.165119999998
Equatorial Guinea,2339.94241
Estonia,692130.80258
Ethiopia(excludes Eritrea),262921.74465
Faeroe Islands,245.20358
Finland,2051963.99022
France,47043268.08939001
French Polynesia,25380.979020000002
Gabon,26615.23245
"Gambia, The",1383.23639
Georgia,950325.42423
Germany,173370924.46425003
Ghana,14995.60703
Gibraltar,468970.90706000006
Greece,9017773.309679998
Greenland,1.54036
Guam,259.33575
Guatemala,19727.46371
Guinea,11532.085319999998
Guinea-Bissau,15.91304
Guyana,1176.32297
Haiti,272.84907999999996
Honduras,35046.419559999995
"Hong Kong, China",407969.64839
Hungary,47330993.84958
Iceland,33492.93318
India,3110526.55168
Indonesia,694140.13451
"Iran, Islamic Rep.",474915.44207
Iraq,1478685.0594900001
Ireland,3442677.0940199997
Israel,2792618.16011
Italy,79024369.53415
Jamaica,252.43938000000003
Japan,2848796.10398
Jordan,1018275.35549
Kazakhstan,7835881.31656
Kenya,63944.43602000001
"Korea, Dem. Rep.",4.03805
"Korea, Rep.",3742448.21275
Kuwait,188603.17141
Kyrgyz Republic,12475.39021
Lao PDR,1491.2575100000001
Latvia,494129.84103
Lebanon,1247894.67742
Liberia,235375.01183
Libya,675449.0000199999
Lithuania,1084880.78614
Luxembourg,696952.27495
Macao,6831.11769
"Macedonia, FYR",1898304.60535
Madagascar,20533.95958
Malawi,5810.5518
Malaysia,886975.08834
Maldives,416.50049
Mali,5776.95697
Malta,177589.06395
Marshall Islands,69.36812
Mauritania,1978.62554
Mauritius,19231.50372
Mexico,1999506.8176799999
Moldova,9850032.709900001
Mongolia,4326.78378
Montenegro,153128.96596000003
Montserrat,229.80987
Morocco,4249767.69706
Mozambique,30373.733010000004
Myanmar,49031.81505999999
Namibia,76113.58656
Nepal,1947.97777
Netherlands,28528797.51634
New Caledonia,38423.02622
New Zealand,84288.63835
Nicaragua,3341.20388
Niger,3976.56093
Nigeria,210029.23438
Northern Mariana Islands,93.47050000000002
Norway,2400354.94186
Occ.Pal.Terr,7416.38772
Oman,237389.15716
"Other Asia, nes",1340667.27712
Pakistan,209339.3809
Panama,5208.47101
Papua New Guinea,2283.69988
Paraguay,15505.031920000001
Peru,96686.43937000001
Philippines,354980.08006
Poland,38272984.896519996
Portugal,3784033.86462
Qatar,244706.73761
Russian Federation,19645304.14713
Rwanda,1607.5331099999999
Saint Helena,14.20866
Saint Maarten (Dutch part),3.68925
Saint Pierre and Miquelon,578.67945
San Marino,152541.30705
Saudi Arabia,1230068.67049
Senegal,18816.533349999998
"Serbia, FR(Serbia/Montenegro)",8535001.73225
Seychelles,92.39401000000001
Sierra Leone,299425.32224999997
Singapore,402484.21676
Slovak Republic,17624552.297569998
Slovenia,6259638.817040002
Somalia,2806.43995
South Africa,1550842.88893
Spain,23178118.09427
Sri Lanka,115446.16887
St. Lucia,99.5547
St. Vincent and the Grenadines,39.9005
Sudan,418733.39573
Suriname,175.09916
Swaziland,33773.01386000001
Sweden,5074120.99957
Switzerland,6108451.193620001
Syrian Arab Republic,203250.92262
Tajikistan,1748.01178
Tanzania,26380.38004
Thailand,1835145.56323
Togo,2695.64201
Tokelau,318.63435000000004
Trinidad and Tobago,17464.5073
Tunisia,1021915.40241
Turkey,30427864.80343
Turkmenistan,676089.05932
Turks and Caicos Isl.,78.92432
Uganda,39052.81838
Ukraine,7708128.821349999
United Arab Emirates,1232940.83153
United Kingdom,22301143.10318
United States,10392297.2482
United States Minor Outlying I,7.5412
Unspecified,332893.60713
Uruguay,52575.5243
Uzbekistan,76636.18613
Vanuatu,326.41052
Venezuela,1725.98389
Vietnam,1224320.68072
Yemen,49400.70334
Zambia,20981.53634
Zimbabwe,10299.36495
