Partner,Value
Afghanistan,505086.24786999996
Albania,525450.5330700001
Algeria,10551449.592099998
American Samoa,205.1147
Andorra,962.55968
Angola,330117.29008
Anguila,1.7291999999999998
Antarctica,45.25811
Antigua and Barbuda,27.70081
Argentina,4713326.933409999
Armenia,9455730.521000002
Aruba,67.77744999999999
Australia,3546162.1561000003
Austria,20100725.66341
Azerbaijan,13374837.35707
BLM,11.66268
"Bahamas, The",1125843.0202600001
Bahrain,201837.31395000004
Bangladesh,9377927.34403
Barbados,6953.16562
Belarus,143501859.747
Belgium,37977276.64695
Belize,10226.703959999999
Benin,40580.80435
Bermuda,1130.23643
Bhutan,0.5206500000000001
Bolivia,213548.41619000002
Bonaire,256336.14853
Bosnia and Herzegovina,587483.37228
Botswana,127922.95194
Brazil,20674115.83705
British Indian Ocean Ter.,0.04072
British Virgin Islands,115451.32705
Brunei,4472.545819999999
Bulgaria,13449108.56259
Burkina Faso,172913.70090000003
Burundi,25025.43252
Cambodia,1171440.69267
Cameroon,396986.41981999995
Canada,7649426.027200001
Cape Verde,257.3208
Cayman Islands,55312.79165
Central African Republic,12456.49539
Chad,90380.47431
Chile,4202571.165730001
China,486408492.59679
Christmas Island,2.99251
Cocos (Keeling) Islands,1.53575
Colombia,1199253.12485
Comoros,2381.74541
"Congo, Dem. Rep.",148542.0369
"Congo, Rep.",114182.50807000001
Cook Islands,4.92183
Costa Rica,522271.6098300001
Cote d'Ivoire,1143934.75468
Croatia,5789019.41647
Cuba,1359676.4356900002
Curaçao,156563.59082
Cyprus,3238563.53439
Czech Republic,34883468.82625
Denmark,17787784.95776
Djibouti,100590.50676
Dominica,20581.504439999997
Dominican Republic,480009.11376
East Timor,10.439
Ecuador,6824518.117779999
"Egypt, Arab Rep.",20764257.492110003
El Salvador,121727.03602
Equatorial Guinea,19132.48415
Eritrea,1229.02527
Estonia,12974591.74455
Ethiopia(excludes Eritrea),274987.25413
Faeroe Islands,1329745.6603899999
Falkland Island,419.83254999999997
Fiji,404.08470000000005
Finland,56316472.11442
Fr. So. Ant. Tr,2.14848
France,61547376.66683999
French Polynesia,19.01798
Gabon,311865.15166000003
"Gambia, The",34268.38219
Georgia,5544799.37124
Germany,211114330.21308
Ghana,893609.9724600001
Gibraltar,512067.25576
Greece,15563989.152
Greenland,161234.97534
Grenada,705.5313100000001
Guam,1.7449999999999999
Guatemala,399768.77614000003
Guinea,626327.31559
Guinea-Bissau,542.4264000000001
Guyana,10665.121259999998
Haiti,34408.69877
Holy See,1.91215
Honduras,266737.65698
"Hong Kong, China",5625125.950449999
Hungary,24455152.91361
Iceland,447070.09608
India,47723659.2674
Indonesia,10350379.783920001
"Iran, Islamic Rep.",8627154.95558
Iraq,834695.47512
Ireland,9324114.42275
Israel,9458070.38472
Italy,102450822.52487
Jamaica,360673.17921000003
Japan,88787571.53748
Jordan,1190700.89976
Kazakhstan,83752055.63800001
Kenya,1035071.54703
Kiribati,865.46905
"Korea, Dem. Rep.",196848.19517999998
"Korea, Rep.",103555258.95856
Kuwait,2228164.5240700003
Kyrgyz Republic,7980315.081
Lao PDR,166445.88356
Latvia,22751393.52992
Lebanon,2118849.81865
Lesotho,6914.298900000001
Liberia,41096.980800000005
Libya,638639.57761
Lithuania,16631334.351710001
Luxembourg,1037751.4797099999
Macao,4225.6345
"Macedonia, FYR",452662.18314
Madagascar,93313.69627
Malawi,278377.65718
Malaysia,12829380.73345
Maldives,13226.05644
Mali,341565.17585000006
Malta,15185250.57017
Marshall Islands,41499.28371999999
