Partner,Value
Afghanistan,2705.96395067662
Albania,10.9282229035
Algeria,719.8563484810101
American Samoa,1.50310166125
Andorra,29.29782712185
Angola,40.56192368608
Anguila,1.5007439636
Argentina,21897.1928546997
Armenia,48.8717273079
Aruba,0.37275055474999996
Australia,10927.043564712956
Austria,13549.964558048516
Azerbaijan,1181.956137086956
Bahrain,86.53779633239999
Bangladesh,766.8764926798049
Belarus,2999.550844565431
Belgium,270991.40132983355
Belize,2.49677737925
Benin,317.96777317993997
Bhutan,0.63781662875
Bolivia,36.418070337824
Bosnia and Herzegovina,47435.29243523632
Botswana,11.24304742778
Brazil,18107.529957132283
British Virgin Islands,3321.87182936
Bulgaria,10193.068916710567
Burkina Faso,55620.212482190596
Burundi,166703.5758332099
Cambodia,251.29556551655998
Cameroon,199736.8242752112
Canada,33671.93063983468
Central African Republic,51.645254621085996
Chad,94.91738428935201
Chile,947.096224440296
China,2919715.2448133472
Cocos (Keeling) Islands,81.58760188810001
Colombia,298.4512212903785
"Congo, Dem. Rep.",1612400.5662057407
"Congo, Rep.",11574.475570073231
Cook Islands,0.0412125105
Costa Rica,55.188469518549994
Cote d'Ivoire,1196.765544706156
Croatia,12.05565501606
Cuba,18.502389261356
Cyprus,843.398085281774
Czech Republic,8667.234054475046
Denmark,24555.78828226291
Djibouti,57.367762020352
Ecuador,55.261374638988
"Egypt, Arab Rep.",194755.30880977993
El Salvador,10997.73010356228
Equatorial Guinea,456.21391218072245
Eritrea,1947.3167211142281
Estonia,2248.871810402139
Ethiopia(excludes Eritrea),40003.192002712734
Finland,79963.77444173064
France,147500.36910239278
Gabon,406.829348365228
Georgia,438.6421218804265
Germany,447574.1048028562
Ghana,3564.0408517394744
Gibraltar,82.8460171784
Greece,1686.8796002220806
Grenada,11.04553585275
Guatemala,16328.695154839561
Guinea,299.70039081275
Haiti,837.8939219997501
Honduras,2645.38606612283
"Hong Kong, China",127627.539411649
Hungary,8727.284578619776
Iceland,143.845365832
India,1317849.7222299583
Indonesia,233703.96327462117
"Iran, Islamic Rep.",26411.418578137916
Iraq,2421.60118374356
Ireland,26933.972501744316
Israel,12372.077251045715
Italy,132408.1604542136
Jamaica,459.49922166338
Japan,154904.46033715754
Jordan,10278.716778003012
Kazakhstan,29667.414242187406
Kenya,1192525.5539239417
"Korea, Dem. Rep.",3680.8649366674654
"Korea, Rep.",69839.95664020826
Kuwait,37.41351661158
Kyrgyz Republic,677.576437714264
Lao PDR,3.302120364445
Latvia,3754.526683143064
Lebanon,8830.607747450475
Lithuania,9280.72075334124
Luxembourg,16634.243275663543
Macao,51.0149376008256
"Macedonia, FYR",268.07764910270004
Madagascar,585.4118914964605
Malawi,58240.810939061936
Malaysia,132536.24778937228
Mali,2748.56010212067
Malta,1.18312999525
Mauritius,11034.099061329802
Mexico,4918.575021459425
Montenegro,13.296130861356
Morocco,52479.585371196896
Mozambique,39053.95613470635
Myanmar,33701.740441842296
Namibia,316.475187014028
Nepal,16.82477092456
Netherlands,109727.77036314417
New Caledonia,24.63161586025
New Zealand,6448.7369199323875
Nicaragua,1.4233752767499999
Niger,6117.948194686654
Nigeria,6471.765735722866
Norway,19349.959928700355
Oman,99960.503567843
"Other Asia, nes",5607.938246392496
Pakistan,304692.80027455185
Palau,0.1054489436
Panama,41.358333444428
Paraguay,7.3196017335
Philippines,3610.3993941806475
Poland,12181.83581343171
Portugal,92950.4469867404
Qatar,81000.78700296149
Romania,283.02322416844
Russian Federation,170471.61230643926
Saint Helena,4.233389857956
Saudi Arabia,624059.8354458525
Senegal,118.494554383945
"Serbia, FR(Serbia/Montenegro)",139.532866233537
Seychelles,258.310347010324
Sierra Leone,53.000415419999996
Singapore,154377.35080389032
Slovak Republic,4315.592700417636
Slovenia,1951.4521075096309
Somalia,6490.487456716477
South Africa,452211.41325089557
South Georgia and the South Sa,20.6140304881875
South Sudan,81195.27835917186
Spain,64725.07457554202
Sri Lanka,7485.579023841296
St. Vincent and the Grenadines,26.09768401065
Sudan,22514.649591209953
Suriname,38.6662459022
Swaziland,7394.213952506185
Sweden,124675.31045985245
Switzerland,656132.4247484796
Syrian Arab Republic,230.829171074098
Tanzania,1065476.9382957674
Thailand,154118.19375841823
Togo,174.607982760827
Tokelau,214.3698951723
Trinidad and Tobago,1.8845633702
Tunisia,21557.916199175626
Turkey,327569.823171273
Turks and Caicos Isl.,281.2599618991225
Uganda,417391.825514615
Ukraine,23068.563084803467
United Arab Emirates,2138245.276691718
United Kingdom,256213.9419586
United States,298904.9308772894
Uruguay,354.8179454524
Uzbekistan,982.545924820784
Vietnam,54011.772754162404
Yemen,823.3678365271161
Zambia,86785.64947655238
Zimbabwe,3109.649991846926
