Partner,Value
Afghanistan,90298.23307
Albania,21232.529240000003
Algeria,2690993.8573100003
Andorra,46.02473
Angola,124511.01146
Anguila,1754.9823999999999
Antarctica,2329.51038
Argentina,5073644.545379999
Armenia,9908.67798
Aruba,3974.10468
Australia,4630729.350350001
Austria,4042788.76383
Azerbaijan,25337.406600000002
"Bahamas, The",113452.43356
Bahrain,10780520.45354
Bangladesh,4936348.72391
Barbados,285.97919
Belarus,57869.56659
Belgium,14765007.85787
Belize,412.7578
Benin,6150.94949
Bermuda,598.55745
Bhutan,20.3384
Bolivia,3883.69936
Bosnia and Herzegovina,80676.52443
Botswana,362.09336
Brazil,11935714.11183
British Indian Ocean Ter.,2857.90716
British Virgin Islands,1087.85715
Brunei,8739.088670000001
Bulgaria,661597.28282
Burundi,3018.39992
Cambodia,458899.93361
Cameroon,87297.93626999999
Canada,6644736.66711
Cape Verde,325.81786
Cayman Islands,110.47979
Central African Republic,4628.77969
Chad,4017.9093199999998
Chile,686592.99269
China,171411298.35202
Colombia,306625.34878999996
Comoros,9772.68628
"Congo, Dem. Rep.",2224191.93697
"Congo, Rep.",31798.74365
Cook Islands,2.39946
Costa Rica,174050.83878
Cote d'Ivoire,436309.8178
Croatia,250307.11583999998
Cuba,47679.57107
Curaçao,11789.890599999999
Cyprus,154222.92044000002
Czech Republic,3162743.0219
Denmark,3673903.31111
Djibouti,792654.76705
Dominica,111003.33425
Dominican Republic,49400.068530000004
East Timor,191.03475
Ecuador,626976.4878900001
"Egypt, Arab Rep.",18035549.91417
El Salvador,38476.52984
Equatorial Guinea,2499.80109
Eritrea,4326.86252
Estonia,851568.59239
Ethiopia(excludes Eritrea),1082536.77373
Faeroe Islands,116.99394000000001
Falkland Island,321.90864
Fiji,4139.49612
Finland,1769733.31468
Fr. So. Ant. Tr,181.5746
France,20330331.08802
Gabon,21858.73394
"Gambia, The",17435.372910000002
Georgia,119186.16446999999
Germany,33429467.061919987
Ghana,442287.44739
Gibraltar,2374.60822
Greece,4209046.87024
Greenland,45.961079999999995
Guam,0.10506
Guatemala,911073.07835
Guinea,145040.15315
Guinea-Bissau,26126.67629
Guyana,526.14065
Haiti,7510.456729999999
Heard Island and McDonald Isla,0.95572
Holy See,2.09492
Honduras,27049.58513
"Hong Kong, China",3032646.6241900004
Hungary,1549148.7546599999
Iceland,4678.931390000001
India,46860951.06069
Indonesia,12315380.95072
"Iran, Islamic Rep.",522.2966
Iraq,2998570.56202
Ireland,5122002.793980001
Italy,22424719.92235
Jamaica,1382.10942
Japan,35372301.91646
Jordan,10180710.52127
Kazakhstan,63776.1867
Kenya,2091578.83112
"Korea, Dem. Rep.",19715.1116
"Korea, Rep.",23624838.34775
Kuwait,9106510.969339998
Kyrgyz Republic,11684.790899999998
Lao PDR,31172.41931
Latvia,75937.26642
Lebanon,2406522.62749
Lesotho,25282.923179999998
Liberia,53322.73696
Libya,534219.70822
Lithuania,532468.15308
Luxembourg,261168.29372
Macao,2636.2860699999997
"Macedonia, FYR",14449.038480000001
Madagascar,84834.70733
Malawi,94271.15632000001
Malaysia,11308784.87051
Maldives,13440.921269999999
Mali,11979.999979999999
Malta,490309.80877999996
Marshall Islands,27.8112
Mauritania,102469.44703
Mauritius,41297.897639999996
Mexico,4676049.433909999
"Micronesia, Fed. Sts.",3.18184
Moldova,16284.835720000001
Mongolia,5590.28786
Montenegro,365.54913999999997
Montserrat,0.03306
Morocco,2361262.3857000005
Mozambique,363621.51359000005
Myanmar,760349.69847
Namibia,27556.86539
Nauru,816.59388
Nepal,47777.34097
Netherlands,12363521.406399999
New Caledonia,7.63834
New Zealand,2530241.15235
Nicaragua,21436.13962
Niger,7905.17781
Nigeria,1149776.2542500002
Niue,431.20185
Northern Mariana Islands,1516.88737
Norway,925517.1701000001
Occ.Pal.Terr,137658.8206
Oman,11825079.61615
"Other Asia, nes",7535393.6097
Pakistan,5872023.18959
Palau,27.112
Panama,361794.53539000003
Papua New Guinea,1659.75494
Paraguay,246039.97035000002
Peru,278397.7475
Philippines,1616872.4726999998
Pitcairn,30.79757
Poland,5848245.48004
Portugal,2127925.97023
Qatar,42.770419999999994
Romania,1977815.5480699998
Russian Federation,5224108.43429
Rwanda,11968.473250000001
Saint Helena,523.5978399999999
Saint Pierre and Miquelon,75.48327
Samoa,146.03736
San Marino,22168.61346
Sao Tome and Principe,9464.74907
Senegal,117917.13723000001
"Serbia, FR(Serbia/Montenegro)",173120.77044
Seychelles,3294.1456200000002
Sierra Leone,26859.046219999997
Singapore,24607128.75124
Slovak Republic,1057219.06189
Slovenia,400363.35408
Solomon Islands,399.44445
Somalia,534160.07322
South Africa,5450017.43145
South Georgia and the South Sa,64.97602
South Sudan,1889.13859
Spain,12217940.627849998
Sri Lanka,821624.95239
St. Lucia,6.07782
St. Vincent and the Grenadines,3059.3514800000003
Sudan,3626262.7503000004
Suriname,1004.92766
Swaziland,8737.93019
Sweden,5021937.71316
Switzerland,8438171.42209
Syrian Arab Republic,621177.368
Tajikistan,821.39706
Tanzania,844766.17215
