Partner,Value
Afghanistan,3314.8744822240396
Albania,24486.623763915202
Algeria,27532.07080244688
Andorra,202.06278418144
Angola,5388.52306926996
Antigua and Barbuda,22666.667992321523
Argentina,409751.44448517385
Armenia,1104.57964687904
Australia,58436.89946180992
Austria,37936.63524109924
Azerbaijan,6763.1516060482
"Bahamas, The",1053.5893420864
Bahrain,14360.451617636321
Bangladesh,35431.733845514806
Barbados,626.43832542
Belarus,55785.34810470388
Belgium,2566698.3245900213
Benin,95561.67651556464
Bermuda,8.9110935864
Bhutan,25.061102707200003
Bosnia and Herzegovina,43.99446554384
Botswana,1421.355531929
Brazil,526799.3086209748
Brunei,12076.47419653116
Bulgaria,31918.65558916132
Bunkers,751358.1062234015
Burkina Faso,272745.6986475478
Burundi,607.441178973
Cambodia,2999.09340518144
Cameroon,253804.60394460172
Canada,174335.8850794523
Cape Verde,14625.04424376112
Central African Republic,21794.5108923036
Chad,45136.2955671984
Chile,30430.31182900416
China,5014798.142224767
Colombia,18755.86851851876
Comoros,121.81729693899999
"Congo, Dem. Rep.",14580.23124852268
"Congo, Rep.",137138.47625652884
Costa Rica,12369.2665750704
Cote d'Ivoire,1029229.7678567937
Croatia,4220.02248768128
Cuba,9551.15722752864
Cyprus,3789.3507284636
Czech Republic,17286.70908063728
Denmark,715988.9344601503
Djibouti,104.0101831568
Dominican Republic,29967.40540538656
East Timor,599.19090199584
Ecuador,6150.17326403072
"Egypt, Arab Rep.",159879.3657196759
El Salvador,29.1060992992
Equatorial Guinea,34972.81880548048
Estonia,680.22223405952
Ethiopia(excludes Eritrea),7723.02610751868
Falkland Island,102.58813860288
Finland,118180.00017205896
France,6708433.016202427
Gabon,46836.45213805152
"Gambia, The",339355.5601035064
Georgia,2952.57468159468
Germany,753752.6798141295
Ghana,344268.14662680024
Gibraltar,379.83056684944
Greece,119603.68943940525
Guatemala,15068.738587429441
Guinea,586647.0100648634
Guinea-Bissau,270334.8301021196
Guyana,17.947176560000003
Haiti,828.1677215246
Honduras,2118.83371240128
"Hong Kong, China",154346.34591496436
Hungary,43026.5230099982
Iceland,19805.31223707688
India,2993978.3929492785
Indonesia,135912.55118233032
"Iran, Islamic Rep.",75510.14241353405
Iraq,1167.4752816804
Ireland,147934.10132391014
Israel,18489.80093904604
Italy,998905.6301004795
Japan,748777.377634679
Jordan,2376.3872689081604
Kazakhstan,47779.79586787
Kenya,11313.521806764362
"Korea, Dem. Rep.",7343.96110818544
"Korea, Rep.",388878.48377125536
Kuwait,8963.890959804
Lao PDR,7.4309992104
Latvia,173.90004009839998
Lebanon,89004.84048188472
Liberia,12458.02466929628
Libya,394.26535056592
Lithuania,11132.6142902688
Macao,2176.24497927344
"Macedonia, FYR",1671.33350221152
Madagascar,866.002095996
Malawi,4784.0656915598
Malaysia,288311.9751959943
Maldives,10.8743838024
Mali,3951948.674809637
Malta,26032.66858844776
Mauritania,318530.0956717092
Mauritius,3666.5258025705602
Mexico,41050.93752534092
Mongolia,221.1896384
Montenegro,6244.2215321026
Morocco,612206.6403311731
Mozambique,58001.818963487276
Myanmar,12982.972459642719
Namibia,809.41648735976
Nauru,34.370040544
Nepal,169.9879537032
Netherlands,2479446.6578547223
New Caledonia,8.952909136
New Zealand,30977.0357218128
Nicaragua,436.00297478848
Niger,70187.20550131296
Nigeria,1798905.2943221405
Norway,114311.75013118729
Oman,15629.3476892784
"Other Asia, nes",26733.595598601438
Pakistan,210467.34791684145
Panama,667.32278241552
Papua New Guinea,1639.04770662096
Paraguay,15704.41704072316
Peru,8698.82972124848
Philippines,1424.41926160464
Poland,371750.19892431854
Portugal,196692.74219693476
Qatar,39232.389851052154
Romania,31629.47493637908
Russian Federation,1502700.1574948733
Rwanda,2841.5919327536
Saint Helena,3066.1321642766397
Saudi Arabia,125305.90768329654
Seychelles,125.00010092800001
Sierra Leone,89839.98631519436
Singapore,621782.0084678177
Slovak Republic,23231.01784816624
Slovenia,4485.93491664768
Somalia,5936.170577116
South Africa,451106.28933443653
Spain,1997159.7256759393
Sri Lanka,848.2273502606399
St. Vincent and the Grenadines,11.308215864
Sudan,37157.195098862736
Suriname,1041.28300954672
Swaziland,64761.71205622496
Sweden,139984.48015781352
Switzerland,2267619.1113568745
Syrian Arab Republic,172.60779527440002
Tanzania,4954.4563772929605
Thailand,495255.0383202205
Togo,285769.9727454042
Tonga,70.16029345248
Trinidad and Tobago,25476.38963036808
Tunisia,218151.4880514996
Turkey,1330341.6974601906
Uganda,6558.59076796796
Ukraine,583504.296393904
United Arab Emirates,873556.2933065493
United Kingdom,527035.4770121453
United States,1297520.493276141
United States Minor Outlying I,370.21583738944
Unspecified,122248.66189393293
Uruguay,83965.89491583993
Venezuela,3862.54347900656
Vietnam,208108.0943638708
Zambia,9250.4112804598
Zimbabwe,623.346878702
