Partner,Value
Afghanistan,5811.37
Albania,874103.927
Algeria,325104.118
American Samoa,1.9040000000000001
Andorra,617.588
Angola,3207.275
Antarctica,0.956
Antigua and Barbuda,39.283
Argentina,91762.19
Armenia,698914.907
Aruba,10.418
Australia,96476.06
Austria,5892203.409
Azerbaijan,27326.853
BLM,0.45999999999999996
"Bahamas, The",5.468999999999999
Bahrain,95900.967
Bangladesh,452840.407
Barbados,188.223
Belarus,534952.113
Belgium,2906149.359
Belize,472.905
Benin,782.578
Bolivia,9658.47
Bosnia and Herzegovina,9235890.613
Botswana,117.733
Brazil,328696.37
British Virgin Islands,78.55600000000001
Brunei,77.271
Bulgaria,4856657.3100000005
Burkina Faso,21107.101
Burundi,16.023
Cambodia,89599.66
Cameroon,36150.816
Canada,269276.612
Cape Verde,216.42100000000002
Cayman Islands,0.032
Central African Republic,2822.214
Chile,36869.797999999995
China,12098044.219
Christmas Island,0.235
Cocos (Keeling) Islands,8.28
Colombia,51347.218
Comoros,88.132
"Congo, Dem. Rep.",2696.896
"Congo, Rep.",392.693
Cook Islands,1.504
Costa Rica,72427.931
Cote d'Ivoire,82557.683
Croatia,4928876.985
Cuba,7716.197
Curaçao,16.116
Cyprus,152015.797
Czech Republic,5929030.984999999
Denmark,1201918.241
Djibouti,2825.454
Dominica,0.784
Dominican Republic,12697.929
East Timor,14.622
Ecuador,115624.091
"Egypt, Arab Rep.",416233.821
El Salvador,492.255
Equatorial Guinea,6872.4
Eritrea,76.123
Estonia,71900.17499999999
Ethiopia(excludes Eritrea),5184.776
Faeroe Islands,11240.738000000001
Falkland Island,768.824
Fiji,90.332
Finland,650447.3400000001
France,5762179.8440000005
French Polynesia,316.404
Gabon,9680.265
"Gambia, The",16.33
Georgia,34448.989
Germany,26161371.901
Ghana,32587.178999999996
Gibraltar,10.77
Greece,2152356.5139999995
Greenland,606.416
Grenada,90.827
Guam,0.035
Guatemala,13655.544999999998
Guinea,760.578
Guyana,48.445
Haiti,380.3
Holy See,23.771
Honduras,7520.135
"Hong Kong, China",283158.275
Hungary,8394835.634
Iceland,10309.313
India,796680.3339999999
Indonesia,277845.133
"Iran, Islamic Rep.",180881.111
Iraq,1888766.433
Ireland,603506.887
Israel,321847.66099999996
Italy,18863033.096
Jamaica,137.828
Japan,978722.6440000001
Jordan,31459.551000000003
Kazakhstan,74733.677
Kenya,14968.029999999999
Kiribati,0.27
"Korea, Dem. Rep.",118.507
"Korea, Rep.",1020523.132
Kuwait,17118.754
Kyrgyz Republic,32964.264
Lao PDR,4017.3179999999998
Latvia,178444.864
Lebanon,50875.774
Lesotho,630.227
Liberia,1892.281
Libya,64263.938
Lithuania,412271.00600000005
Luxembourg,127714.383
Macao,648.258
"Macedonia, FYR",4293238.633000001
Madagascar,3328.3329999999996
Malawi,4395.16
Malaysia,277310.03699999995
Maldives,1624.1440000000002
Mali,6009.732
Malta,84876.628
Marshall Islands,77.76400000000001
Mauritania,228.93499999999997
Mauritius,5937.976000000001
Mexico,391974.76300000004
Moldova,136674.42500000002
Mongolia,3595.802
Montenegro,4137293.437999999
Montserrat,0.155
Morocco,178143.53100000002
Mozambique,6563.022999999999
Myanmar,98656.554
Namibia,361.404
Nauru,59.585
Nepal,465.459
Netherlands,3690764.659
New Caledonia,119.84299999999999
New Zealand,14393.396
Nicaragua,1684.996
Niger,29.912
Nigeria,27995.285000000003
Niue,90.922
Norway,345007.793
Occ.Pal.Terr,4634.789
Oman,20846.525
"Other Asia, nes",401466.825
Pakistan,78951.232
Panama,10591.679
Papua New Guinea,12.52
Paraguay,1452.402
Peru,18674.989
Philippines,106821.07299999999
Pitcairn,318.543
Poland,6083989.3780000005
Portugal,351199.238
Qatar,48406.354999999996
Romania,8370905.896
Russian Federation,14996614.125
Rwanda,35.572
Saint Helena,225.868
Saint Maarten (Dutch part),173.592
Saint Pierre and Miquelon,0.43499999999999994
San Marino,2867.031
Sao Tome and Principe,17.108
Saudi Arabia,330387.144
Senegal,3187.3860000000004
Seychelles,4957.469999999999
Sierra Leone,2354.847
Singapore,97086.859
Slovak Republic,3191265.184
Slovenia,5478305.818
Solomon Islands,5.745
Somalia,4975.517
South Africa,273680.718
Spain,2726320.389
Sri Lanka,33500.666
St. Kitts and Nevis,16.483
St. Vincent and the Grenadines,0.54
Sudan,1866.2799999999997
Suriname,9209.795
Swaziland,160.635
Sweden,1790490.986
Switzerland,2139331.865
Syrian Arab Republic,51588.22
Tajikistan,5162.2
Tanzania,8848.755
Thailand,359724.947
Togo,12193.188
Tokelau,283.438
Trinidad and Tobago,611.746
Tunisia,134227.621
Turkey,6072861.8999999985
Turkmenistan,1964.3010000000002
Turks and Caicos Isl.,2.108
Tuvalu,1.769
Uganda,33104.273
Ukraine,2112400.414
United Arab Emirates,434097.355
United Kingdom,2711524.778
United States,3887170.9799999986
Unspecified,158125.798
Uruguay,12933.316
Uzbekistan,9317.538
Vanuatu,0.03
Venezuela,417.979
Vietnam,1053244.368
Yemen,4893.058
Zambia,1428.526
Zimbabwe,8274.432
