Partner,Value
Afghanistan,150084.885886082
Albania,15294.14380014045
Algeria,2209192.5102040116
American Samoa,174829.85443444515
Andorra,6080.4573944061995
Angola,1357338.1172307173
Anguila,754.1427140014499
Antigua and Barbuda,192135.29003864204
Argentina,925448.1815766615
Armenia,12205.37932699795
Aruba,699.07359552665
Australia,72749891.93755233
Austria,4609778.460824393
Azerbaijan,145579.5746899975
"Bahamas, The",1386233.793115864
Bahrain,2011354.010096482
Bangladesh,14432908.181000765
Barbados,41434.123662675695
Belarus,77644.67155418805
Belgium,27015886.510849714
Belize,14909.60475305055
Benin,19493.97491680135
Bermuda,110053.1721533205
Bhutan,31513.06858810365
Bolivia,48102.1778859253
Bosnia and Herzegovina,19048.6301688585
Botswana,1133935.7459259932
Brazil,12466310.1472911
British Indian Ocean Ter.,124944.96323222145
British Virgin Islands,2578.56659531385
Brunei,6687363.122656335
Bulgaria,1436340.206072894
Burkina Faso,20030.563934640548
Burundi,1048.8021676853
Cambodia,14855437.274224736
Cameroon,343368.45209862327
Canada,14440665.11406381
Cape Verde,1008.77468841665
Cayman Islands,209002.1526173629
Central African Republic,2472.6316360261
Chad,8912.4094628444
Chile,749514.360778688
China,464987621.0633652
Christmas Island,1917.7777231113
Cocos (Keeling) Islands,71.818330868
Colombia,1156675.2062114554
Comoros,14833.8114837295
"Congo, Dem. Rep.",170758.17128677224
"Congo, Rep.",246149.69384932175
Cook Islands,8879.363750183751
Costa Rica,766546.6773713385
Cote d'Ivoire,114547.1861705818
Croatia,144006.0457220833
Cuba,45864.257590511756
Curaçao,38464.6039737839
Cyprus,996040.270189377
Czech Republic,4836420.725226851
Denmark,2593273.0887232986
Djibouti,81855.0351848513
Dominica,27418.9149372626
Dominican Republic,234799.2464489868
East Timor,488624.87555504637
Ecuador,437365.694842712
"Egypt, Arab Rep.",2945765.2956404584
El Salvador,61485.8577307257
Equatorial Guinea,878128.5677547404
Eritrea,1197.3426145785002
Estonia,500707.19439689466
Ethiopia(excludes Eritrea),609251.478628923
Faeroe Islands,833.42876976955
Fiji,1651560.009352064
Finland,1933076.3629323582
Fr. So. Ant. Tr,410.3298317636
France,77764330.0725863
French Polynesia,420196.7287711376
Gabon,1707856.4818727956
"Gambia, The",6733.068153664749
Georgia,187378.34727543965
Germany,74379547.47703764
Ghana,782305.3550887043
Gibraltar,38101.339242320544
Greece,2530375.7411588207
Grenada,10650.65842946435
Guam,1451252.5197888745
Guatemala,154847.42978839355
Guinea,151977.0292354739
Guinea-Bissau,1614.84948951965
Guyana,82179.15711136139
Haiti,8162.39874661835
Holy See,434.40949802085004
Honduras,25662.281419161947
"Hong Kong, China",219816437.76700327
Hungary,2986523.612862881
Iceland,14845.556227540801
India,80727517.9229941
Indonesia,184353773.682556
"Iran, Islamic Rep.",136239.0899038122
Iraq,16168133.71093535
Ireland,4984998.881912366
Israel,6216263.283952933
Italy,22264443.232611444
Jamaica,131222.85788996785
Japan,170553161.10066468
Jordan,639247.0199651893
Kazakhstan,978963.7726693568
Kenya,579680.3911132187
Kiribati,12180.45700770395
"Korea, Rep.",135049082.55774307
Kuwait,9456108.986998634
Kyrgyz Republic,20651.2815980871
Lao PDR,282545.5972659773
Latvia,281712.452764745
Lebanon,146650.9754225216
Lesotho,7522.6663415575495
Liberia,5334948.731136139
Libya,1611539.9363629427
Lithuania,828905.0656341846
Luxembourg,1022984.8355298192
Macao,997024.4080268625
"Macedonia, FYR",8040.4935444406
Madagascar,281614.21964084404
Malawi,7946.54716352685
Malaysia,372786876.27460766
Maldives,1340241.3031077518
Mali,65381.455014388746
Malta,3771180.9489130555
Marshall Islands,5790025.34350467
Mauritania,14785.7443473021
Mauritius,574226.648028326
Mexico,18400658.02299443
"Micronesia, Fed. Sts.",22161.7072705396
Moldova,26832.281279435752
Mongolia,425998.25045177573
Montenegro,8194.65106008375
Montserrat,3891.8520390332
Morocco,1906586.146248265
Mozambique,492182.1803018634
Myanmar,14076195.511022044
Namibia,219896.00707422738
Nauru,4853.474958882601
Nepal,650863.9348711815
Netherlands,52954795.04022544
New Caledonia,1197600.9783946492
New Zealand,14007668.13200648
Nicaragua,14402.94660927405
Niger,9545.1288772603
Nigeria,2483280.3422845313
Niue,4395.873869790899
Norfolk Island,16492.59466434545
Northern Mariana Islands,114367.09885797605
Norway,6207995.102589324
Oman,2021724.29314414
"Other Asia, nes",238100901.33037835
