Partner,Value
Afghanistan,57.385889999999996
Albania,321.09648
Algeria,5271.941000000001
American Samoa,2.69198
Andorra,16042.54422
Angola,72.14
Anguila,13.43523
Antarctica,49.8161
Antigua and Barbuda,323.34259
Argentina,298666.844
Armenia,563.22197
Aruba,1354.0360600000001
Australia,72488.42093
Austria,99843.97836000001
Azerbaijan,6.2
"Bahamas, The",971.5628599999999
Bahrain,8716.58846
Bangladesh,49639.59897000001
Barbados,1445.97613
Belarus,518.47206
Belgium,213333.80985999998
Belize,83831.55988
Bermuda,25.55184
Bhutan,37.19625
Bolivia,5815.456050000001
Bosnia and Herzegovina,206.01684
Brazil,761483.99514
British Virgin Islands,50.27536
Bulgaria,5883.4667
Cambodia,14590.35458
Cameroon,132.66377
Canada,605294.2168
Cape Verde,0.46738999999999997
Cayman Islands,355.59591
Central African Republic,15.3578
Chile,416866.60073
China,8023880.34079
Cocos (Keeling) Islands,3.62823
Colombia,742578.3002499999
Comoros,26.153930000000003
"Congo, Dem. Rep.",48.59014
"Congo, Rep.",1.31168
Costa Rica,2397920.8669499997
Croatia,14553.06715
Cuba,46002.37515
Curaçao,1955.2252200000003
Cyprus,336.22718000000003
Czech Republic,52346.0251
Denmark,70106.73354
Djibouti,4e-05
Dominica,645.49511
Dominican Republic,513087.2366
East Timor,124.1775
Ecuador,548111.91692
"Egypt, Arab Rep.",4393.31383
Eritrea,2.5462800000000003
Estonia,19155.57806
Ethiopia(excludes Eritrea),1715.2455
Faeroe Islands,3.70308
Fiji,58.83736
Finland,53758.79273
France,333244.94
French Polynesia,45.91284
Gabon,6.09708
"Gambia, The",4.78895
Georgia,248.25549
Germany,897311.9989499999
Ghana,2.36942
Gibraltar,131.39968
Greece,23230.71122
Grenada,63.07336
Guam,3.90447
Guatemala,9423427.151190002
Guyana,9245.781379999999
Haiti,41910.81741
Honduras,8071949.630890001
"Hong Kong, China",65016.59745
Hungary,16612.5604
Iceland,2480.8485
India,556923.1781900001
Indonesia,182403.40519999998
"Iran, Islamic Rep.",1807.81942
Ireland,100433.51646
Israel,47462.19977000001
Italy,651752.3695799999
Jamaica,71966.87824
Japan,1100485.8449000001
Jordan,2710.24479
Kazakhstan,1212.13928
Kenya,741.82998
"Korea, Dem. Rep.",1652.90726
"Korea, Rep.",1155700.49829
Kuwait,653.82034
Kyrgyz Republic,22.7588
Lao PDR,183.6494
Latvia,2067.62254
Lebanon,292.12687999999997
Lesotho,292.79406
Lithuania,2898.9558
Luxembourg,1930.8277799999998
Macao,17.8806
"Macedonia, FYR",30.11636
Madagascar,407.9143
Malaysia,135716.97423
Mali,288.40102
Malta,55.56652
Marshall Islands,9.3138
Mauritania,22.625799999999998
Mauritius,159.71346
Mexico,5038194.443500001
Moldova,73.93200999999999
Mongolia,49.04324
Montenegro,2.39412
Montserrat,110.69630000000001
Morocco,11190.04442
Mozambique,12.615450000000001
Myanmar,2949.3275300000005
Namibia,9.30128
Nauru,0.57104
Nepal,24.004739999999998
Netherlands,229432.89934
New Caledonia,21.148809999999997
New Zealand,135731.47121
Nicaragua,3183466.4511699993
Niger,80.68673
Nigeria,5671.92796
Niue,2.65245
Northern Mariana Islands,0.25275
Norway,24923.650759999997
Occ.Pal.Terr,0.0733
Oman,6494.697429999999
"Other Asia, nes",625047.7074300001
Pakistan,29149.422700000003
Palau,0.10085
Panama,816609.60037
Papua New Guinea,2.4
Paraguay,7488.47116
Peru,308813.14481
Philippines,25936.89876
Pitcairn,392.23804
Poland,38084.57084
Portugal,78598.26784
Qatar,351.97115
Romania,27263.910640000002
Russian Federation,195176.31745
Rwanda,2857.52008
Saint Helena,0.59994
Sao Tome and Principe,0.5
Saudi Arabia,48790.522300000004
Senegal,391.11301
"Serbia, FR(Serbia/Montenegro)",624.84898
Seychelles,1208.43049
Sierra Leone,28.41944
Singapore,43635.62523
Slovak Republic,12593.23904
Slovenia,5815.71478
South Africa,14303.71333
Spain,1009359.2962799999
Sri Lanka,21261.40215
St. Kitts and Nevis,35.22919
St. Lucia,147.46068
St. Vincent and the Grenadines,29.03884
Sudan,4.05955
Suriname,1664.4905299999998
Swaziland,1583.10215
Sweden,97609.43297
Switzerland,146667.33609
Tanzania,9.76685
Thailand,407303.94720999995
Togo,0.90572
Tokelau,273.79517
Trinidad and Tobago,15985.61546
Tunisia,4054.46073
Turkey,104428.26472
Turks and Caicos Isl.,46.0196
Uganda,38.2242
Ukraine,8201.564750000001
United Arab Emirates,43668.52896
United Kingdom,230150.08928000001
United States,27108642.25102999
United States Minor Outlying I,150.73086
Unspecified,6202.99407
Uruguay,211317.81331
Uzbekistan,108.12285
Venezuela,11660.995009999999
Vietnam,396120.1477299999
Zimbabwe,269.45501
