Partner,Value
Albania,9.573976246464
Andorra,7.416125812800001
Angola,116915.20027196649
Antigua and Barbuda,10.584223477487999
Argentina,0.55563826176
Belgium,23008.84082450712
Brazil,10850.240641496126
Cameroon,218.63451721536
Canada,1110.0312723761278
Cape Verde,41.99478341112
China,40859.94691142265
"Congo, Rep.",503.17545455064
Cote d'Ivoire,0.982967951232
Cyprus,3.8019639448800002
Denmark,2187.1370869043258
East Timor,61.84466787130552
Ecuador,0.17866328976
"Egypt, Arab Rep.",1404.593118345888
Equatorial Guinea,1664.8942451240162
France,4136.1728198292
Gabon,8456.927025233394
Germany,1021.706036436528
Ghana,13.573840628160001
Greece,0.5037756444
Guinea,67.28098510267199
"Hong Kong, China",17.585082799920002
Hungary,729.44474306256
India,6044.294881014626
Indonesia,1933.4424419411039
Italy,2282.834589332256
Japan,9560.550545576358
"Korea, Dem. Rep.",602.0927733247199
"Korea, Rep.",1213.45433309736
Lebanon,227.771659433664
Luxembourg,24.754598440128
Macao,193.599175232448
Malaysia,2059.43917523112
Malta,166.846106807424
Mauritius,230.49574912224
Morocco,583.053526705536
Netherlands,8434.392558061678
Niger,1.094643930816
Nigeria,27312.210589184346
Oman,2.216338671744
"Other Asia, nes",91.16031619872001
Pakistan,252.03411362080072
Paraguay,0.22846967999999998
Peru,39.207590396928
Poland,252.280607273856
Portugal,313535.39255462494
Russian Federation,380.62957300128
Saudi Arabia,70.01773201152
Senegal,1783.728636721776
Singapore,564.566536996848
Slovenia,647.779352601024
South Africa,1867.480229525328
Spain,6489.711372703828
Sweden,403.86603611174405
Switzerland,1165.908696034896
Thailand,4085.4318515161917
Togo,1442.600329044096
Turkey,7044.786776560182
Turkmenistan,82.699809784704
Turks and Caicos Isl.,35.988406911792
United Arab Emirates,5691.331021422092
United Kingdom,1033.871727038976
United States,11733.012894706564
United States Minor Outlying I,2.145238907328
Unspecified,36294.28061147611
Venezuela,22.27716461808
Vietnam,1422.90276988896
