Partner,Value
Antigua and Barbuda,394353.46530030976
Argentina,21049.571224734038
Aruba,5224.899721844247
Australia,39859.226538563824
Austria,2316.922381648933
BLM,137.1154414893618
"Bahamas, The",12253.307920212792
Bangladesh,10608.759519946805
Barbados,15374.529353723414
Belgium,435021.4930186193
Belize,2934.989686170212
Bermuda,10883.347703457435
Bolivia,362.23111835106397
Bonaire,71.8498882978723
Bosnia and Herzegovina,115.32981382978718
Botswana,109.217319148936
Brazil,287904.7110970748
British Virgin Islands,1235.4317593085098
Bulgaria,504.5691941489354
Cambodia,134.32
Cameroon,27.83237765957448
Canada,100566.2877260639
Cayman Islands,484.84666090425515
Chile,15660.519378989355
China,781235.4038723396
Colombia,87631.09722872337
Costa Rica,26003.14514095743
Croatia,102.2692646276595
Cuba,996.8620000000001
Curaçao,26498.98744424817
Cyprus,371.96359175531916
Czech Republic,1772.1891768617
Denmark,9146.631977393627
Dominica,1104.2512619680847
Dominican Republic,42705.78984574462
Ecuador,1583.4145678191494
"Egypt, Arab Rep.",1684.9338776595723
El Salvador,234.0906382978724
Estonia,312.7181170212768
Finland,57172.9823098402
France,49957.47363164897
Georgia,1795.4756476063835
Germany,72357.98007845743
Ghana,99.01407978723401
Greece,939.606936170211
Grenada,469.5592819148928
Guatemala,30506.51901994679
Guyana,56020.55967154256
Haiti,1272.3266808510639
Holy See,161.048
Honduras,1086.389619680851
"Hong Kong, China",46972.466642287225
Hungary,743.8564428191477
Iceland,100.56158909574478
India,94975.05065292565
Indonesia,19311.29932047872
"Iran, Islamic Rep.",347.5
Iraq,8.77312234042552
Ireland,6208.814154255317
Israel,505.93917154255337
Italy,61899.75112500004
Jamaica,97275.70411569145
Japan,440192.78402526607
Jordan,8.955
"Korea, Dem. Rep.",103611.8862140958
"Korea, Rep.",10468.804999999993
Kuwait,387.4704906914893
Lao PDR,230.28327792553202
Latvia,116.4934414893617
Lebanon,27.299999999999997
Lithuania,271.2974148936171
Luxembourg,565.6373404255318
"Macedonia, FYR",14.73282978723404
Malaysia,40700.53517952126
Malta,58.68890691489363
Mauritius,49.2203989361704
Mexico,68507.87341223395
Morocco,2168.866836436173
Mozambique,44.0
Nepal,90.0
Netherlands,874211.529417553
New Zealand,1115.2904042553168
Nicaragua,139.945
Niger,330.84809042553155
Nigeria,108.5104720744683
Norway,463.8838324468083
Oman,181.655
"Other Asia, nes",29425.770055851048
Pakistan,1655.0578470744674
Panama,47722.40561835107
Papua New Guinea,40.0
Paraguay,578.1088085106388
Peru,27008.319824468075
Philippines,260.7233311170212
Poland,15344.774465425553
Portugal,30347.15617952127
Romania,202.432
Russian Federation,19975.419413563814
Saint Maarten (Dutch part),181.41304388297857
Saudi Arabia,400.9875664893615
"Serbia, FR(Serbia/Montenegro)",7393.321469414903
Sierra Leone,16.14694813829785
Singapore,75893.49849601054
Slovak Republic,1154.2047034574443
Slovenia,2329.0514042553195
South Africa,38831.0293324467
Spain,52602.39917819151
Sri Lanka,11630.463819148932
St. Lucia,176034.06627970806
St. Vincent and the Grenadines,253.72812101063812
Swaziland,75.168
Sweden,7827.600877659591
Switzerland,2185107.2370660887
Thailand,91729.87363696804
Trinidad and Tobago,499093.4589290333
Tunisia,242.08
Turkey,54664.67728590425
Turks and Caicos Isl.,128.2674401595745
Ukraine,20360.91849867024
United Arab Emirates,1615294.6601489359
United Kingdom,27189.036367021272
United States,1887942.1914880325
United States Minor Outlying I,28.32119680851065
Unspecified,1798883.2271507254
Uruguay,416.2176250000003
Venezuela,20248.09564760635
Vietnam,67545.64572473399
